Keith watches Carrie . <eos>	[5.545644283294678, 5.799797534942627, 4.255792140960693, 4.625507354736328, 2.713608182602911e-07]	[10.266757011413574, 11.330135345458984, 11.403519630432129, 2.8574228286743164, -0.0]
The university watches Carrie . <eos>	[4.987627983093262, 7.805072784423828, 4.186548709869385, 4.864652633666992, 5.286041259765625, 2.6431160904394346e-07]	[1.712153434753418, 6.325796127319336, 13.329198837280273, 12.697383880615234, 6.4056549072265625, -0.0]
Aaron could mess up some restaurant . <eos>	[4.9873151779174805, 5.813220500946045, 3.4467153549194336, 2.44696044921875, 4.454774379730225, 5.407438278198242, 5.725292682647705, 2.8575669830388506e-07]	[10.423073768615723, 7.439276695251465, 13.597180366516113, 1.7105340957641602, 5.22504997253418, 9.046567916870117, 4.436797142028809, -0.0]
Every book could mess up some restaurant . <eos>	[4.9885382652282715, 6.180816650390625, 4.45002555847168, 3.2530322074890137, 3.354118585586548, 4.363705158233643, 3.391287326812744, 5.7685980796813965, 2.7842804684041766e-07]	[7.6825971603393555, 6.4985575675964355, 6.385860443115234, 14.175846099853516, 1.300734519958496, 5.0234174728393555, 10.541645050048828, 3.455838203430176, -0.0]
Mary lifts the wheelbarrows . <eos>	[4.989247798919678, 6.053219318389893, 3.480534076690674, 7.392325401306152, 4.85650634765625, 2.8151663400421967e-07]	[8.611397743225098, 12.665750503540039, 1.725381851196289, 3.154177665710449, 4.869672775268555, -0.0]
Every dress lifts the wheelbarrows . <eos>	[4.98820686340332, 6.179513931274414, 4.599527359008789, 4.42963171005249, 7.169361591339111, 5.649969577789307, 2.787487005662115e-07]	[7.682672500610352, 9.625274658203125, 13.827905654907227, 1.7957048416137695, 2.5103416442871094, 3.4924745559692383, -0.0]
Sandra fled from Homer . <eos>	[4.988245964050293, 5.9008636474609375, 2.612092971801758, 4.191370964050293, 2.7054359912872314, 2.765730755527329e-07]	[11.794550895690918, 11.306381225585938, 2.438894271850586, 12.053140640258789, 3.879166603088379, -0.0]
An apple fled from Homer . <eos>	[4.987768650054932, 6.440523147583008, 4.6214280128479, 3.4345951080322266, 2.7323789596557617, 2.724947690963745, 2.661650739810284e-07]	[5.6329545974731445, 8.21438980102539, 12.38703441619873, 2.1036949157714844, 11.852142333984375, 2.4337730407714844, -0.0]
Bill fired Sandra . <eos>	[4.987392425537109, 6.073486328125, 6.211404800415039, 4.886447906494141, 2.5866353325909586e-07]	[8.787710189819336, 12.318254470825195, 8.879926681518555, 6.506455421447754, -0.0]
The steak fired Sandra . <eos>	[4.984623908996582, 7.804557800292969, 4.547878265380859, 4.342942237854004, 4.798290252685547, 2.69931945240387e-07]	[1.7102813720703125, 12.84786319732666, 10.476654052734375, 15.977581024169922, 6.140105247497559, -0.0]
