Karla imagined some boy was n't leaving himself . <eos>	[5.545644760131836, 4.654704570770264, 4.0324506759643555, 4.762842655181885, 5.190312385559082, 5.6316680908203125, 5.576202392578125, 3.6489453315734863, 3.2337396144866943, 2.8734791612805566e-07]	[13.162971496582031, 13.061144828796387, 6.312064170837402, 10.151061058044434, 3.217824935913086, 5.642528533935547, 7.346275329589844, 7.303793907165527, 1.2776317596435547, -0.0]
Karla imagined some boy was n't leaving herself . <eos>	[4.989199638366699, 5.696902751922607, 4.0452680587768555, 6.022296905517578, 5.70758056640625, 5.424533843994141, 5.459489822387695, 3.790712833404541, 3.345708131790161, 2.8642065785788873e-07]	[13.113523483276367, 9.892688751220703, 6.616959571838379, 9.609468460083008, 4.357508659362793, 6.032981872558594, 7.601156234741211, 8.007185935974121, 2.1286697387695312, -0.0]
Rodney is thinking all banks would n't embarrass themselves . <eos>	[4.989238262176514, 5.332530498504639, 5.203539848327637, 2.3501157760620117, 3.6511287689208984, 4.19749116897583, 5.242149353027344, 5.2973127365112305, 4.492537975311279, 3.098062038421631, 2.7276976766188454e-07]	[11.411956787109375, 3.1864490509033203, 10.825307846069336, 7.891432762145996, 12.218461990356445, 4.172181129455566, 6.260001182556152, 9.54942798614502, 4.523980140686035, 2.158864974975586, -0.0]
Rodney is thinking all banks would n't embarrass himself . <eos>	[4.988858222961426, 5.33267879486084, 5.204118728637695, 2.350142240524292, 3.6518940925598145, 4.197336196899414, 5.242208480834961, 5.29779052734375, 4.492469787597656, 3.087364673614502, 2.727433638938237e-07]	[11.42080307006836, 3.1860876083374023, 10.824235916137695, 7.89021110534668, 12.217819213867188, 4.17266845703125, 6.25970458984375, 9.548287391662598, 4.494729995727539, 2.372171401977539, -0.0]
Marie is n't thinking the face was aggravating itself . <eos>	[4.9887895584106445, 5.185684680938721, 5.857194900512695, 5.672745704650879, 1.7365190982818604, 6.587475299835205, 2.9956512451171875, 6.122786045074463, 2.6335084438323975, 1.7921180725097656, 2.698874652651284e-07]	[10.190755844116211, 3.1710052490234375, 7.028874397277832, 8.293036460876465, 5.1459550857543945, 9.30028247833252, 4.56689453125, 14.029170989990234, 7.552427291870117, 1.0061779022216797, -0.0]
Marie is n't thinking the face was aggravating herself . <eos>	[4.990510940551758, 5.185145378112793, 5.857380390167236, 5.673200607299805, 1.7368578910827637, 6.586949348449707, 2.997514009475708, 6.122243404388428, 2.63362979888916, 1.840498685836792, 2.7137747338201734e-07]	[10.189440727233887, 3.1711177825927734, 7.029924392700195, 8.293539047241211, 5.145395278930664, 9.299989700317383, 4.565559387207031, 14.030121803283691, 5.963654518127441, 1.0259761810302734, -0.0]
These girls explain David ca n't cure himself . <eos>	[4.991873741149902, 7.005584716796875, 4.7695698738098145, 3.851848840713501, 1.3130946159362793, 0.2490987628698349, 5.465559005737305, 3.4275004863739014, 2.982581615447998, 2.8821662567679596e-07]	[4.849146842956543, 9.953607559204102, 9.414688110351562, 11.31791877746582, 11.982961654663086, 0.05339813232421875, 7.620293617248535, 4.882757186889648, 1.8491039276123047, -0.0]
These girls explain David ca n't cure themselves . <eos>	[4.990099906921387, 7.003720283508301, 4.770320415496826, 3.8498659133911133, 1.3140379190444946, 0.2492569088935852, 5.465624809265137, 3.42616605758667, 3.1448187828063965, 2.915809034220729e-07]	[4.85194206237793, 9.955751419067383, 9.414665222167969, 11.315823554992676, 11.98124885559082, 0.053455352783203125, 7.619729995727539, 6.5409746170043945, 1.7208328247070312, -0.0]
Karla says Paul visits himself . <eos>	[4.989833354949951, 5.696707725524902, 2.255075216293335, 4.398077964782715, 4.590164661407471, 3.3847599029541016, 2.8008318508909724e-07]	[13.10547161102295, 5.16411018371582, 9.156074523925781, 8.008552551269531, 6.364391326904297, 3.977627754211426, -0.0]
Karla says Paul visits herself . <eos>	[4.989953994750977, 5.695913791656494, 2.253467559814453, 4.398993492126465, 4.592261791229248, 3.2905521392822266, 2.7879698905053374e-07]	[13.105162620544434, 5.165239334106445, 9.155264854431152, 8.006078720092773, 5.897152900695801, 3.6863937377929688, -0.0]
