Rebecca was criticizing those good documentaries . <eos>	[5.545644760131836, 5.304505348205566, 5.925098419189453, 3.9084410667419434, 3.413766384124756, 6.18902063369751, 3.5482866764068604, 2.7208233177589136e-07]	[11.559436798095703, 5.967691421508789, 12.422799110412598, 6.2641096115112305, 9.677284240722656, 11.402647972106934, 2.0385560989379883, -0.0]	Rebecca was criticizing those good documentary . <eos>	[5.545644760131836, 5.304505348205566, 5.925098419189453, 3.9084410667419434, 3.413766384124756, 6.18902063369751, 5.882567405700684, 2.888609174078738e-07]	[11.559436798095703, 5.967691421508789, 12.422799110412598, 6.2641096115112305, 9.677284240722656, 11.925765991210938, 4.774096488952637, -0.0]
Some college campus embarrassed those bad legislatures . <eos>	[5.545644760131836, 5.850346565246582, 4.783703804016113, 6.087113380432129, 5.058741569519043, 3.2817740440368652, 5.695430755615234, 3.5766820907592773, 2.7104721311843605e-07]	[9.399500846862793, 9.239521026611328, 8.188692092895508, 17.362075805664062, 4.718998908996582, 9.349613189697266, 13.12565803527832, 1.8447303771972656, -0.0]	Some college campus embarrassed those bad legislature . <eos>	[5.545644760131836, 5.850346565246582, 4.783703804016113, 6.087113380432129, 5.058741569519043, 3.2817740440368652, 5.695430755615234, 5.03831672668457, 2.7335065055922314e-07]	[9.399500846862793, 9.239521026611328, 8.188692092895508, 17.362075805664062, 4.718998908996582, 9.349613189697266, 13.450398445129395, 2.003981590270996, -0.0]
All men were n't questioning these unemployed cashiers . <eos>	[5.545644760131836, 5.225571155548096, 4.8149800300598145, 6.565942764282227, 5.83496618270874, 3.9612159729003906, 6.345429420471191, 5.34539794921875, 3.4428038597106934, 2.7191967433282116e-07]	[8.75776481628418, 8.342568397521973, 2.444446563720703, 6.37844181060791, 11.218008041381836, 5.166425704956055, 13.885096549987793, 3.4158620834350586, 1.0360708236694336, -0.0]	All men were n't questioning these unemployed cashier . <eos>	[5.545644760131836, 5.225571155548096, 4.8149800300598145, 6.565942764282227, 5.83496618270874, 3.9612159729003906, 6.345429420471191, 5.34539794921875, 2.577472686767578, 2.6971821398547036e-07]	[8.75776481628418, 8.342568397521973, 2.444446563720703, 6.37844181060791, 11.218008041381836, 5.166425704956055, 13.885096549987793, 13.861844062805176, 1.4722232818603516, -0.0]
Sara has n't bored this displeased senator . <eos>	[5.545644760131836, 5.759335994720459, 4.876454830169678, 4.673863410949707, 4.149813652038574, 6.45010232925415, 5.90045690536499, 2.880450963973999, 2.762209305728902e-07]	[10.94874095916748, 7.178663730621338, 6.776214599609375, 12.640663146972656, 5.242927551269531, 13.962098121643066, 12.741250038146973, 1.066263198852539, -0.0]	Sara has n't bored this displeased senators . <eos>	[5.545644760131836, 5.759335994720459, 4.876454830169678, 4.673863410949707, 4.149813652038574, 6.45010232925415, 5.90045690536499, 2.8780248165130615, 2.7305134153721156e-07]	[10.94874095916748, 7.178663730621338, 6.776214599609375, 12.640663146972656, 5.242927551269531, 13.962098121643066, 13.101526260375977, 1.0440177917480469, -0.0]
A lot of pedestrians kiss this displeased teenager . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.326170921325684, 3.3045825958251953, 5.709225654602051, 5.88633918762207, 2.7897558212280273, 2.648258714543772e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 11.11208438873291, 13.004833221435547, 4.863507270812988, 15.900047302246094, 9.823040008544922, 0.8912086486816406, -0.0]	A lot of pedestrians kiss this displeased teenagers . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.326170921325684, 3.3045825958251953, 5.709225654602051, 5.88633918762207, 2.5755181312561035, 2.637383147430228e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 11.11208438873291, 13.004833221435547, 4.863507270812988, 15.900047302246094, 12.314789772033691, 0.9148235321044922, -0.0]
James is healing this uncertain actress . <eos>	[5.545644760131836, 5.998834609985352, 5.241179466247559, 4.649537086486816, 6.531510353088379, 5.199495315551758, 2.877086639404297, 2.73503644621087e-07]	[7.836430549621582, 7.113055229187012, 13.580596923828125, 6.940094947814941, 10.90390396118164, 10.251565933227539, 1.0382118225097656, -0.0]	James is healing this uncertain actresses . <eos>	[5.545644760131836, 5.998834609985352, 5.241179466247559, 4.649537086486816, 6.531510353088379, 5.199495315551758, 2.6636314392089844, 2.698460548344883e-07]	[7.836430549621582, 7.113055229187012, 13.580596923828125, 6.940094947814941, 10.90390396118164, 17.96025848388672, 0.8729228973388672, -0.0]
Diane should complain about these unconvinced drivers . <eos>	[5.545644760131836, 5.393370151519775, 4.563503742218018, 1.7734243869781494, 3.698362112045288, 6.153083801269531, 6.508632659912109, 3.0750017166137695, 2.734786050950788e-07]	[11.577279090881348, 9.86306381225586, 9.82290267944336, 0.5303802490234375, 5.726380348205566, 14.932992935180664, 9.40402603149414, 0.9478921890258789, -0.0]	Diane should complain about these unconvinced driver . <eos>	[5.545644760131836, 5.393370151519775, 4.563503742218018, 1.7734243869781494, 3.698362112045288, 6.153083801269531, 6.508632659912109, 4.051640510559082, 2.7742163410948706e-07]	[11.577279090881348, 9.86306381225586, 9.82290267944336, 0.5303802490234375, 5.726380348205566, 14.932992935180664, 12.473068237304688, 1.6326160430908203, -0.0]
Phillip liked that smooth horse . <eos>	[5.545644760131836, 5.771147727966309, 3.590029239654541, 5.752251625061035, 6.012874126434326, 5.125923156738281, 2.722206033922703e-07]	[11.350703239440918, 13.0147705078125, 4.893887519836426, 13.257464408874512, 8.58427906036377, 1.9630393981933594, -0.0]	Phillip liked that smooth horses . <eos>	[5.545644760131836, 5.771147727966309, 3.590029239654541, 5.752251625061035, 6.012874126434326, 3.808474540710449, 2.7014561965188477e-07]	[11.350703239440918, 13.0147705078125, 4.893887519836426, 13.257464408874512, 10.167257308959961, 1.3313112258911133, -0.0]
Tracy praises those lucky guys . <eos>	[5.545644760131836, 4.969809532165527, 5.161810874938965, 3.603774070739746, 6.491447925567627, 3.190524101257324, 2.726693537624669e-07]	[11.268583297729492, 14.439532279968262, 6.295915603637695, 9.894506454467773, 7.436224937438965, 2.1369495391845703, -0.0]	Tracy praises those lucky guy . <eos>	[5.545644760131836, 4.969809532165527, 5.161810874938965, 3.603774070739746, 6.491447925567627, 4.3675923347473145, 2.748232930116501e-07]	[11.268583297729492, 14.439532279968262, 6.295915603637695, 9.894506454467773, 10.659308433532715, 2.1115522384643555, -0.0]
A doctor had returned to these fast girls . <eos>	[5.545644760131836, 6.766556739807129, 4.30066442489624, 4.876355171203613, 2.2736215591430664, 4.664314270019531, 6.577181816101074, 5.859163284301758, 3.377267360687256, 2.7721017659132485e-07]	[7.048109531402588, 8.858104705810547, 5.191391944885254, 6.623875617980957, 0.5825862884521484, 7.439029693603516, 9.726715087890625, 9.276544570922852, 1.4965629577636719, -0.0]	A doctor had returned to these fast girl . <eos>	[5.545644760131836, 6.766556739807129, 4.30066442489624, 4.876355171203613, 2.2736215591430664, 4.664314270019531, 6.577181816101074, 5.859163284301758, 6.371190547943115, 2.90809822445226e-07]	[7.048109531402588, 8.858104705810547, 5.191391944885254, 6.623875617980957, 0.5825862884521484, 7.439029693603516, 9.726715087890625, 12.98538875579834, 4.393680572509766, -0.0]
