Tina revealed Margaret . <eos>	[5.545644283294678, 3.397721290588379, 3.270073890686035, 4.12443208694458, 2.8934380225109635e-07]	[11.781136512756348, 12.789363861083984, 10.23495864868164, 3.2357072830200195, -0.0]
The horse revealed Margaret . <eos>	[4.988487243652344, 7.804767608642578, 4.841652870178223, 3.8509323596954346, 4.3817830085754395, 2.8518712724689976e-07]	[1.7117958068847656, 9.075830459594727, 10.269702911376953, 10.871526718139648, 5.137691497802734, -0.0]
Danielle visited Irene . <eos>	[4.9847517013549805, 5.514435291290283, 5.217794418334961, 3.408054828643799, 2.7258289492237964e-07]	[12.47109603881836, 9.857054710388184, 9.27033805847168, 4.546743392944336, -0.0]
The eye visited Irene . <eos>	[4.987570762634277, 7.804330825805664, 4.9516377449035645, 5.704885482788086, 3.992483615875244, 2.5182666263390274e-07]	[1.7111568450927734, 9.81106185913086, 11.16382884979248, 10.993609428405762, 3.758469581604004, -0.0]
Paul runs around the art galleries . <eos>	[4.988449573516846, 6.181934356689453, 3.7318503856658936, 4.277243137359619, 6.762737274169922, 4.390347003936768, 3.168017864227295, 2.7200849217479117e-07]	[8.174501419067383, 8.211140632629395, 5.495924949645996, 1.2784576416015625, 8.697736740112305, 4.269824981689453, 2.9089746475219727, -0.0]
The river runs around the art galleries . <eos>	[4.990438461303711, 7.804892539978027, 4.106415748596191, 3.293848991394043, 3.719867467880249, 5.643371105194092, 4.983214378356934, 2.9470112323760986, 2.637827094531531e-07]	[1.7123003005981445, 6.655631065368652, 4.4107818603515625, 5.172501564025879, 0.849945068359375, 12.128924369812012, 4.6272783279418945, 2.8995532989501953, -0.0]
Most banks have praised Raymond . <eos>	[4.991577625274658, 4.844573020935059, 4.603175163269043, 5.578174591064453, 4.608017921447754, 5.164288520812988, 2.593140777662484e-07]	[5.724047660827637, 8.485753059387207, 2.6178741455078125, 12.818161010742188, 11.219904899597168, 5.049591064453125, -0.0]
The jackets have praised Raymond . <eos>	[4.9896111488342285, 7.804835319519043, 3.7143948078155518, 3.6720423698425293, 3.9176793098449707, 3.7022621631622314, 2.5824238036875613e-07]	[1.7124099731445312, 13.2715482711792, 3.572516441345215, 11.33182430267334, 10.343873977661133, 5.698877334594727, -0.0]
Every doctor was selling some restaurants . <eos>	[4.987873554229736, 6.170762538909912, 4.359994888305664, 5.968148231506348, 4.980330467224121, 3.835484266281128, 3.33522367477417, 2.759414883257705e-07]	[7.6802802085876465, 9.376630783081055, 3.3052101135253906, 10.042293548583984, 5.035305976867676, 9.408178329467773, 2.9444189071655273, -0.0]
A cup was selling some restaurants . <eos>	[4.988816261291504, 7.2456254959106445, 3.474792242050171, 5.098757743835449, 4.559309959411621, 5.522668838500977, 3.2268693447113037, 2.7294805704514147e-07]	[3.9361324310302734, 9.905695915222168, 3.5339889526367188, 12.35982894897461, 5.770475387573242, 8.276470184326172, 3.3031349182128906, -0.0]
Steve bikes to a public park . <eos>	[4.987819671630859, 5.882723808288574, 5.534406661987305, 5.643795013427734, 6.486557483673096, 6.025575637817383, 5.615968227386475, 2.9821003977303917e-07]	[9.125399589538574, 15.340737342834473, 6.456246376037598, 4.242483139038086, 8.863019943237305, 5.386016845703125, 4.5236968994140625, -0.0]
Every fork bikes to a public park . <eos>	[4.992582321166992, 6.18776273727417, 3.781278610229492, 3.4344701766967773, 5.462594032287598, 6.219281196594238, 6.058803558349609, 4.906194686889648, 2.8742840640916256e-07]	[7.680135250091553, 12.197300910949707, 13.194594383239746, 6.629970550537109, 4.442680358886719, 7.94624137878418, 4.6356916427612305, 6.046202659606934, -0.0]
Beth scares Roger . <eos>	[4.987630844116211, 5.822576999664307, 3.810976028442383, 4.414868354797363, 2.78907350548252e-07]	[11.459957122802734, 11.578125953674316, 9.007209777832031, 4.469019889831543, -0.0]
A carriage scares Roger . <eos>	[4.992244720458984, 7.245450973510742, 5.948788642883301, 4.130053520202637, 4.516119956970215, 2.778325267627224e-07]	[3.9376230239868164, 9.865626335144043, 12.968145370483398, 9.676909446716309, 2.9604368209838867, -0.0]
