Susan revealed herself . <eos>	[5.545644760131836, 5.577103614807129, 3.0935332775115967, 2.838552713394165, 2.716182336826023e-07]	[10.481151580810547, 12.01158332824707, 5.155780792236328, 2.900766372680664, -0.0]	Susan revealed themselves . <eos>	[5.545644760131836, 5.577103614807129, 3.0935332775115967, 2.7375540733337402, 2.7301854288452887e-07]	[10.481151580810547, 12.01158332824707, 6.6468706130981445, 3.1256237030029297, -0.0]
Renee has n't hurt herself . <eos>	[5.545644760131836, 5.796079635620117, 4.5811920166015625, 4.552828788757324, 3.410702705383301, 3.162971019744873, 2.897143076552311e-07]	[13.283686637878418, 7.637235641479492, 6.426969528198242, 7.4540557861328125, 3.152604103088379, 1.1418609619140625, -0.0]	Renee has n't hurt themselves . <eos>	[5.545644760131836, 5.796079635620117, 4.5811920166015625, 4.552828788757324, 3.410702705383301, 3.1997385025024414, 2.8687506414826203e-07]	[13.283686637878418, 7.637235641479492, 6.426969528198242, 7.4540557861328125, 5.933013916015625, 1.1116371154785156, -0.0]
These patients do respect themselves . <eos>	[5.545644760131836, 6.692653656005859, 4.427962303161621, 0.9762299656867981, 2.9525272846221924, 3.0753235816955566, 2.628703441587277e-07]	[9.371075630187988, 8.116630554199219, 4.950677871704102, 13.368287086486816, 5.608002662658691, 1.6171875, -0.0]	These patients do respect himself . <eos>	[5.545644760131836, 6.692653656005859, 4.427962303161621, 0.9762299656867981, 2.9525272846221924, 3.170222759246826, 2.6206106440440635e-07]	[9.371075630187988, 8.116630554199219, 4.950677871704102, 13.368287086486816, 8.737617492675781, 1.713409423828125, -0.0]
Mary should criticize herself . <eos>	[5.545644760131836, 5.568297386169434, 4.034394264221191, 3.56655216217041, 3.3048489093780518, 2.648931740623084e-07]	[8.868919372558594, 9.228710174560547, 11.084224700927734, 6.925887107849121, 2.033374786376953, -0.0]	Mary should criticize themselves . <eos>	[5.545644760131836, 5.568297386169434, 4.034394264221191, 3.56655216217041, 3.380457878112793, 2.683754871668498e-07]	[8.868919372558594, 9.228710174560547, 11.084224700927734, 7.2368268966674805, 2.0443115234375, -0.0]
Kristin irritated herself . <eos>	[5.545644760131836, 5.235808372497559, 5.745473861694336, 2.3328118324279785, 2.6406769393361174e-07]	[13.467056274414062, 17.548105239868164, 6.389959335327148, 3.074342727661133, -0.0]	Kristin irritated themselves . <eos>	[5.545644760131836, 5.235808372497559, 5.745473861694336, 2.3303747177124023, 2.641061769281805e-07]	[13.467056274414062, 17.548105239868164, 9.377311706542969, 3.0312280654907227, -0.0]
Tracy described herself . <eos>	[5.545644760131836, 4.969809532165527, 4.130409240722656, 0.6542460918426514, 2.707842838844954e-07]	[11.268583297729492, 10.131682395935059, 3.991973876953125, 4.820855140686035, -0.0]	Tracy described themselves . <eos>	[5.545644760131836, 4.969809532165527, 4.130409240722656, 0.804245114326477, 2.71471748192198e-07]	[11.268583297729492, 10.131682395935059, 5.005382537841797, 4.512969970703125, -0.0]
A lot of girls had bothered themselves . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.625220775604248, 4.331886291503906, 2.778148651123047, 3.4774694442749023, 2.826076581641246e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 6.696481227874756, 4.251914978027344, 10.901962280273438, 6.415386199951172, 1.964254379272461, -0.0]	A lot of girls had bothered himself . <eos>	[5.545644760131836, 6.766556739807129, 1.8607481718063354, 6.38814640045166, 4.625220775604248, 4.331886291503906, 2.778148651123047, 3.3815722465515137, 2.814871322698309e-07]	[7.048109531402588, 6.730053901672363, 0.3049907684326172, 6.696481227874756, 4.251914978027344, 10.901962280273438, 9.934331893920898, 2.2250471115112305, -0.0]
Many teenagers were helping themselves . <eos>	[5.545644760131836, 5.432359218597412, 5.021459579467773, 6.437484264373779, 4.421713352203369, 3.029416561126709, 2.773838332359446e-07]	[9.974100112915039, 9.356657028198242, 2.627971649169922, 9.195344924926758, 5.706277847290039, 2.462656021118164, -0.0]	Many teenagers were helping herself . <eos>	[5.545644760131836, 5.432359218597412, 5.021459579467773, 6.437484264373779, 4.421713352203369, 2.8644556999206543, 2.7475266506371554e-07]	[9.974100112915039, 9.356657028198242, 2.627971649169922, 9.195344924926758, 9.704717636108398, 2.523749351501465, -0.0]
Girls talked to themselves . <eos>	[5.545644760131836, 2.856823444366455, 2.610374689102173, 4.867862701416016, 3.641266345977783, 2.675068913049472e-07]	[13.464814186096191, 12.850911140441895, 1.7002086639404297, 4.446873664855957, 2.1248960494995117, -0.0]	Girls talked to itself . <eos>	[5.545644760131836, 2.856823444366455, 2.610374689102173, 4.867862701416016, 3.74566650390625, 2.669451646397647e-07]	[13.464814186096191, 12.850911140441895, 1.7002086639404297, 8.390697479248047, 2.204901695251465, -0.0]
All senators listened to themselves . <eos>	[5.545644760131836, 5.225571155548096, 4.691898345947266, 0.9803950190544128, 4.329159736633301, 3.3940367698669434, 2.6804153208104253e-07]	[8.75776481628418, 11.315023422241211, 10.499143600463867, 0.14275741577148438, 6.970619201660156, 1.644608497619629, -0.0]	All senators listened to itself . <eos>	[5.545644760131836, 5.225571155548096, 4.691898345947266, 0.9803950190544128, 4.329159736633301, 3.307140588760376, 2.6815501996679814e-07]	[8.75776481628418, 11.315023422241211, 10.499143600463867, 0.14275741577148438, 9.870357513427734, 1.5023117065429688, -0.0]
Laura hired herself . <eos>	[5.545644760131836, 5.37175178527832, 5.571889877319336, 2.4515063762664795, 2.717445113376016e-07]	[10.462615966796875, 12.573823928833008, 6.291875839233398, 2.1633224487304688, -0.0]	Laura hired themselves . <eos>	[5.545644760131836, 5.37175178527832, 5.571889877319336, 2.076277494430542, 2.7004568892152747e-07]	[10.462615966796875, 12.573823928833008, 8.657007217407227, 3.007587432861328, -0.0]
Claire wo n't conceal herself . <eos>	[5.545644760131836, 5.625855922698975, 0.28945648670196533, 4.691418647766113, 3.9700021743774414, 3.2465720176696777, 2.8589113298949087e-07]	[11.168253898620605, 12.434215545654297, 0.05290412902832031, 8.823572158813477, 4.757838249206543, 1.6362438201904297, -0.0]	Claire wo n't conceal themselves . <eos>	[5.545644760131836, 5.625855922698975, 0.28945648670196533, 4.691418647766113, 3.9700021743774414, 3.203664779663086, 2.8322656930868106e-07]	[11.168253898620605, 12.434215545654297, 0.05290412902832031, 8.823572158813477, 6.055487632751465, 1.6228065490722656, -0.0]
Becca should n't impress herself . <eos>	[5.545644760131836, 5.139961242675781, 4.575100898742676, 4.630417823791504, 5.480227470397949, 2.965864896774292, 2.770530045381747e-07]	[13.79185962677002, 8.064346313476562, 2.754580497741699, 9.721524238586426, 6.751974105834961, 1.021036148071289, -0.0]	Becca should n't impress themselves . <eos>	[5.545644760131836, 5.139961242675781, 4.575100898742676, 4.630417823791504, 5.480227470397949, 3.0608420372009277, 2.7656199108605506e-07]	[13.79185962677002, 8.064346313476562, 2.754580497741699, 9.721524238586426, 8.51208782196045, 1.0330524444580078, -0.0]
This woman has criticized herself . <eos>	[5.545644760131836, 5.908446311950684, 4.455081462860107, 4.99357271194458, 4.00666618347168, 2.486567497253418, 2.647337851158227e-07]	[7.818253993988037, 9.479031562805176, 3.1078739166259766, 9.06967830657959, 5.781673431396484, 3.612211227416992, -0.0]	This woman has criticized themselves . <eos>	[5.545644760131836, 5.908446311950684, 4.455081462860107, 4.99357271194458, 4.00666618347168, 2.0782699584960938, 2.6561818344816857e-07]	[7.818253993988037, 9.479031562805176, 3.1078739166259766, 9.06967830657959, 7.854180335998535, 3.9960155487060547, -0.0]
Sonia would cure herself . <eos>	[5.545644760131836, 1.8178720474243164, 4.940820693969727, 4.238027095794678, 3.1364431381225586, 2.732695634222182e-07]	[12.325803756713867, 9.02169132232666, 10.191986083984375, 4.389865875244141, 1.482522964477539, -0.0]	Sonia would cure themselves . <eos>	[5.545644760131836, 1.8178720474243164, 4.940820693969727, 4.238027095794678, 3.212183952331543, 2.7225593157709227e-07]	[12.325803756713867, 9.02169132232666, 10.191986083984375, 6.597628593444824, 1.3185958862304688, -0.0]
Most girls hate themselves . <eos>	[5.545644760131836, 5.654247283935547, 5.044342994689941, 5.075902462005615, 2.473505735397339, 2.68954693183332e-07]	[10.129074096679688, 9.103117942810059, 11.731399536132812, 5.602307319641113, 0.8672561645507812, -0.0]	Most girls hate himself . <eos>	[5.545644760131836, 5.654247283935547, 5.044342994689941, 5.075902462005615, 2.4941039085388184, 2.654267916568642e-07]	[10.129074096679688, 9.103117942810059, 11.731399536132812, 9.248470306396484, 0.9094352722167969, -0.0]
