John kisses some men . <eos>	[5.545644283294678, 6.085351943969727, 4.3985185623168945, 4.620100498199463, 3.4191744327545166, 2.7525857149157673e-07]	[6.859533786773682, 13.167311668395996, 6.939518928527832, 5.242398262023926, 1.6115951538085938, -0.0]
John kisses some deer . <eos>	[4.990412712097168, 6.538766860961914, 4.334662914276123, 4.022563457489014, 3.6936402320861816, 2.753338890215673e-07]	[6.861623764038086, 11.507144927978516, 7.2621307373046875, 9.754707336425781, 2.913837432861328, -0.0]
Melinda does n't visit some dancer . <eos>	[4.98898458480835, 5.774933338165283, 1.3641067743301392, 4.547614097595215, 4.675158500671387, 3.8453238010406494, 4.498688697814941, 2.874457436519151e-07]	[12.383125305175781, 6.4268035888671875, 1.586883544921875, 7.192697525024414, 7.213430404663086, 12.366575241088867, 3.006808280944824, -0.0]
Melinda does n't visit some analyses . <eos>	[4.989010810852051, 5.774630546569824, 1.3634127378463745, 4.5485429763793945, 4.674532413482666, 3.842348575592041, 3.2961833477020264, 2.7537629421203746e-07]	[12.380025863647461, 6.42857551574707, 1.5861263275146484, 7.189227104187012, 7.213082313537598, 14.509840965270996, 2.6321144104003906, -0.0]
Patrick notice some lady . <eos>	[4.989864349365234, 6.262119293212891, 3.900338649749756, 5.4476118087768555, 5.454319000244141, 2.8745296276611043e-07]	[9.425464630126953, 18.311119079589844, 6.399152755737305, 10.933257102966309, 5.28249454498291, -0.0]
Patrick notice some cup . <eos>	[4.994999885559082, 6.26375675201416, 3.896270990371704, 5.446338653564453, 6.395181655883789, 2.9390957934083417e-07]	[9.41710376739502, 18.319116592407227, 6.398373603820801, 12.393144607543945, 5.86440372467041, -0.0]
Walter respected the child . <eos>	[4.989093780517578, 6.138797760009766, 4.522554874420166, 7.734954357147217, 2.8407411575317383, 2.6209022507828195e-07]	[9.240433692932129, 11.059814453125, 1.3724555969238281, 7.1568169593811035, 4.123021125793457, -0.0]
Walter respected the series . <eos>	[4.990386962890625, 6.138219833374023, 4.520340442657471, 7.734671592712402, 3.408561944961548, 2.632689586334891e-07]	[9.240555763244629, 11.056253433227539, 1.3726234436035156, 7.961146354675293, 4.0757856369018555, -0.0]
Bradley ca n't observe some patients . <eos>	[4.990478515625, 5.397026062011719, 0.07914187014102936, 5.491863250732422, 4.142765998840332, 5.357315540313721, 3.904554843902588, 2.8241532845640904e-07]	[10.278854370117188, 11.598930358886719, 0.011127471923828125, 8.686019897460938, 7.530970096588135, 8.644411087036133, 2.3850784301757812, -0.0]
Bradley ca n't observe some documentary . <eos>	[4.994469165802002, 5.39512825012207, 0.07904861867427826, 5.491661071777344, 4.142153739929199, 5.36092472076416, 5.2174272537231445, 2.971100059312448e-07]	[10.270767211914062, 11.603023529052734, 0.011114120483398438, 8.683252334594727, 7.527866840362549, 10.210481643676758, 3.4835519790649414, -0.0]
Catherine finds some pedestrians . <eos>	[4.990139007568359, 5.859630584716797, 4.431046485900879, 6.540163040161133, 5.196405410766602, 2.9876500207137724e-07]	[9.954000473022461, 7.371462821960449, 5.319333076477051, 13.897594451904297, 4.344097137451172, -0.0]
Catherine finds some art galleries . <eos>	[4.997478008270264, 5.8603363037109375, 4.430270671844482, 6.542452812194824, 5.503289222717285, 4.298981666564941, 2.8036785693075217e-07]	[9.940861701965332, 7.371014595031738, 5.319960594177246, 9.038589477539062, 4.9967193603515625, 4.231845855712891, -0.0]
Carrie had seen the ladies . <eos>	[4.992284297943115, 6.2690839767456055, 4.738704204559326, 4.627770900726318, 7.508905410766602, 5.274343013763428, 3.065198939111724e-07]	[11.308177947998047, 5.338994979858398, 5.819762229919434, 1.535604476928711, 9.548271179199219, 5.55413818359375, -0.0]
Carrie had seen the light . <eos>	[4.9986724853515625, 6.268733978271484, 4.738480567932129, 4.6276726722717285, 7.507741451263428, 4.817976951599121, 3.0886292279319605e-07]	[11.294352531433105, 5.338624000549316, 5.8224334716796875, 1.5357980728149414, 6.8140668869018555, 5.261675834655762, -0.0]
Adam left some teachers . <eos>	[4.996163845062256, 5.78912353515625, 4.540187835693359, 4.828542709350586, 3.0097525119781494, 2.909920908678032e-07]	[9.383015632629395, 7.457210540771484, 7.5847368240356445, 9.549690246582031, 4.516624450683594, -0.0]
Adam left some public park . <eos>	[4.993824005126953, 5.787579536437988, 4.541698455810547, 4.830051898956299, 5.647996425628662, 4.4044189453125, 3.2348890499633853e-07]	[9.385336875915527, 7.459190845489502, 7.585061073303223, 7.3681488037109375, 9.672425270080566, 5.382645606994629, -0.0]
Robert describes the children . <eos>	[4.997488498687744, 6.322885513305664, 3.9457764625549316, 7.37654972076416, 2.5713889598846436, 2.716400899771543e-07]	[7.7974138259887695, 9.778884887695312, 1.3194046020507812, 8.221712112426758, 5.930342674255371, -0.0]
Robert describes the glacier . <eos>	[4.990893363952637, 6.327138900756836, 3.94692063331604, 7.375029563903809, 1.8262720108032227, 2.715918867579603e-07]	[7.803815841674805, 9.766439437866211, 1.3202667236328125, 12.339728355407715, 6.239487648010254, -0.0]
Pasta annoys some actress . <eos>	[4.9950456619262695, 6.39979887008667, 5.251164436340332, 6.759457588195801, 4.079897880554199, 2.6842695888262824e-07]	[2.939824104309082, 3.1658382415771484, 8.655502319335938, 11.763692855834961, 3.5890378952026367, -0.0]
Pasta annoys some shoe . <eos>	[4.988759517669678, 6.396947383880615, 5.247706413269043, 6.757521629333496, 5.844024181365967, 2.789995221519348e-07]	[2.940519332885742, 3.165067672729492, 8.654682159423828, 11.124911308288574, 5.358654022216797, -0.0]
A spotlight had n't impressed the girls . <eos>	[4.9895172119140625, 7.244688987731934, 4.448523998260498, 4.894009590148926, 3.701212167739868, 3.920840263366699, 6.319329261779785, 3.1260294914245605, 2.795248974507558e-07]	[3.933169364929199, 11.822887420654297, 6.284206390380859, 7.034531593322754, 8.244433403015137, 1.2942743301391602, 6.065729141235352, 1.91619873046875, -0.0]
A spotlight had n't impressed the vases . <eos>	[4.990426063537598, 7.244934558868408, 4.447040557861328, 4.8949079513549805, 3.701340913772583, 3.91907000541687, 6.318309783935547, 3.0367722511291504, 2.7652373546516174e-07]	[3.9358692169189453, 11.817211151123047, 6.281902313232422, 7.035405158996582, 8.243627548217773, 1.2958192825317383, 15.859148025512695, 1.9147186279296875, -0.0]
Phillip has hurt the children . <eos>	[4.988395690917969, 6.177868843078613, 5.044022560119629, 5.057809352874756, 6.662037372589111, 3.5204997062683105, 2.798139178139536e-07]	[10.924283027648926, 4.457977294921875, 11.885541915893555, 2.2848949432373047, 4.289508819580078, 3.0145111083984375, -0.0]
Phillip has hurt the high school . <eos>	[4.993710994720459, 6.179779052734375, 5.043818950653076, 5.0579118728637695, 6.661389350891113, 5.280824661254883, 5.018764019012451, 2.847191922228376e-07]	[10.924427032470703, 4.460351943969727, 11.880529403686523, 2.286073684692383, 7.9407057762146, 1.371002197265625, 4.353069305419922, -0.0]
Jerry escapes from some teenager . <eos>	[4.990606307983398, 5.982282638549805, 3.433414936065674, 3.715338945388794, 5.976807117462158, 2.9164328575134277, 2.941669379197265e-07]	[9.953302383422852, 7.782128810882568, 1.6017951965332031, 8.491878509521484, 13.921802520751953, 4.499712944030762, -0.0]
Jerry escapes from some committees . <eos>	[4.989873886108398, 5.979860305786133, 3.4304275512695312, 3.7163190841674805, 5.978626728057861, 3.21858549118042, 2.7323494578013197e-07]	[9.963465690612793, 7.7746758460998535, 1.6023502349853516, 8.492897033691406, 10.64802360534668, 2.9295482635498047, -0.0]
