Who and these students has that actress escaped from ? <eos>	[5.545644760131836, 4.913530349731445, 4.6378021240234375, 6.2757978439331055, 4.669866561889648, 5.162618160247803, 6.639662742614746, 4.715410232543945, 3.147235870361328, 3.835477590560913, 4.900300041299488e-07]	[11.848838806152344, 4.6694231033325195, 7.205111503601074, 7.245203971862793, 6.984125137329102, 7.288092613220215, 12.062623977661133, 11.091017723083496, 1.9509391784667969, 8.468242645263672, -0.0]	Who has that actress escaped from and these students ? <eos>	[5.545644760131836, 4.913530349731445, 5.412986755371094, 6.361991882324219, 3.9488422870635986, 3.3731956481933594, 3.819814443588257, 6.107187271118164, 7.255833625793457, 4.789677619934082, 3.7886533732489625e-07]	[11.848838806152344, 3.5583438873291016, 7.486360549926758, 11.385064125061035, 11.061487197875977, 1.8191394805908203, 6.2761640548706055, 8.558420181274414, 8.920337677001953, 6.433845520019531, -0.0]
What and most books had a lady scanned ? <eos>	[5.545644760131836, 4.401399612426758, 4.9318695068359375, 2.2891979217529297, 4.595113754272461, 4.521822929382324, 7.041983604431152, 4.7638959884643555, 3.35182523727417, 3.3081749961638707e-07]	[10.586628913879395, 7.363546371459961, 6.129011154174805, 8.969146728515625, 4.868401527404785, 4.232901573181152, 10.550501823425293, 13.436544418334961, 6.538354873657227, -0.0]	What had a lady scanned and most books ? <eos>	[5.545644760131836, 4.401399612426758, 2.5707969665527344, 6.722263336181641, 5.283938884735107, 3.92364501953125, 6.377195358276367, 6.139468193054199, 5.253782272338867, 3.8720321526852786e-07]	[10.586628913879395, 4.347801208496094, 5.181889533996582, 10.533684730529785, 13.474470138549805, 3.156522750854492, 8.541847229003906, 6.457738876342773, 7.093055725097656, -0.0]
Who and Cynthia might Randolf find ? <eos>	[5.545644760131836, 4.913530349731445, 4.6378021240234375, 5.411626815795898, 3.5574898719787598, 4.831271171569824, 4.62894344329834, 3.628320541793073e-07]	[11.848838806152344, 4.6694231033325195, 12.043941497802734, 5.403726577758789, 5.23057746887207, 9.231155395507812, 6.243100166320801, -0.0]	Who might Randolf find and Cynthia ? <eos>	[5.545644760131836, 4.913530349731445, 4.689848899841309, 4.8443732261657715, 4.507494926452637, 6.218811988830566, 5.257143974304199, 3.664108305656555e-07]	[11.848838806152344, 6.426299095153809, 3.8803749084472656, 8.9447021484375, 4.636883735656738, 16.365886688232422, 2.0330543518066406, -0.0]
What and this legislature has Andrea confused ? <eos>	[5.545644760131836, 4.401399612426758, 4.9318695068359375, 4.957969665527344, 4.904681205749512, 5.127340793609619, 5.419969081878662, 3.0499191284179688, 3.458799824329617e-07]	[10.586628913879395, 7.363546371459961, 6.09332275390625, 10.52765941619873, 3.659564971923828, 16.557950973510742, 14.064281463623047, 4.12586784362793, -0.0]	What has Andrea confused and this legislature ? <eos>	[5.545644760131836, 4.401399612426758, 2.1673245429992676, 5.1165032386779785, 3.4984452724456787, 6.0223541259765625, 6.5078020095825195, 5.436688423156738, 4.301866169953428e-07]	[10.586628913879395, 4.81784725189209, 17.42430305480957, 14.76618480682373, 2.7118539810180664, 8.757519721984863, 12.61694622039795, 3.660956382751465, -0.0]
What and those stairs can Mark descend ? <eos>	[5.545644760131836, 4.401399612426758, 4.9318695068359375, 4.228384494781494, 4.805995464324951, 1.7807574272155762, 5.939643859863281, 3.3608922958374023, 3.2109394965118554e-07]	[10.586628913879395, 7.363546371459961, 6.920931816101074, 12.738916397094727, 4.090293884277344, 15.52332878112793, 11.443646430969238, 5.180998802185059, -0.0]	What can Mark descend and those stairs ? <eos>	[5.545644760131836, 4.401399612426758, 3.119795322418213, 5.704391956329346, 3.4125819206237793, 6.459959030151367, 4.092079162597656, 4.64079475402832, 4.3591956000454957e-07]	[10.586628913879395, 4.876186370849609, 12.681053161621094, 11.295634269714355, 3.745541572570801, 7.898996353149414, 9.864395141601562, 2.9260711669921875, -0.0]
Who and Jessica had most organizations boasted about ? <eos>	[5.545644760131836, 4.913530349731445, 4.6378021240234375, 5.854353427886963, 5.108119010925293, 3.538891315460205, 5.758928298950195, 2.906899929046631, 5.146609783172607, 3.165372959301749e-07]	[11.848838806152344, 4.6694231033325195, 12.240123748779297, 2.9843568801879883, 7.970696449279785, 12.164761543273926, 11.015897750854492, 2.79681396484375, 8.066900253295898, -0.0]	Who had most organizations boasted about and Jessica ? <eos>	[5.545644760131836, 4.913530349731445, 5.477552890777588, 4.137067794799805, 5.971305847167969, 3.1740894317626953, 5.275949954986572, 6.595760345458984, 5.6678667068481445, 4.1958770680139423e-07]	[11.848838806152344, 3.569822311401367, 6.9332685470581055, 11.146381378173828, 10.99563217163086, 3.1777830123901367, 6.2524309158325195, 14.458410263061523, 6.432127952575684, -0.0]
What and some planes is Curtis fixing ? <eos>	[5.545644760131836, 4.401399612426758, 4.9318695068359375, 3.494513988494873, 5.209109306335449, 5.766845226287842, 4.063626289367676, 4.454066753387451, 3.2850476827661623e-07]	[10.586628913879395, 7.363546371459961, 7.4467010498046875, 12.062979698181152, 6.194146156311035, 14.630595207214355, 14.830046653747559, 2.3483877182006836, -0.0]	What is Curtis fixing and some planes ? <eos>	[5.545644760131836, 4.401399612426758, 4.981577396392822, 4.118408203125, 3.931905746459961, 6.803592681884766, 5.975710868835449, 6.1062421798706055, 3.831214598903898e-07]	[10.586628913879395, 1.4632596969604492, 14.997318267822266, 16.425397872924805, 4.103283882141113, 6.955992698669434, 10.389678955078125, 3.711191177368164, -0.0]
Who and Guy was some documentary disagreeing with ? <eos>	[5.545644760131836, 4.913530349731445, 4.6378021240234375, 4.949192047119141, 5.850973129272461, 4.553321838378906, 4.427387237548828, 2.2784314155578613, 4.4219970703125, 2.998957882027753e-07]	[11.848838806152344, 4.6694231033325195, 8.846038818359375, 5.536617279052734, 8.336893081665039, 11.139472007751465, 14.752239227294922, 0.9321308135986328, 10.854022026062012, -0.0]	Who was some documentary disagreeing with and Guy ? <eos>	[5.545644760131836, 4.913530349731445, 5.015240669250488, 3.5799646377563477, 4.806877136230469, 2.1816587448120117, 4.507664680480957, 7.050266742706299, 4.713292121887207, 3.741845375770936e-07]	[11.848838806152344, 2.8511152267456055, 7.381287097930908, 10.988275527954102, 15.056431770324707, 0.8317184448242188, 7.055905818939209, 12.671774864196777, 5.743758201599121, -0.0]
Who and Ann had Emily approached ? <eos>	[5.545644760131836, 4.913530349731445, 4.6378021240234375, 5.887782096862793, 5.213190078735352, 5.694802284240723, 4.387117385864258, 3.46066485690244e-07]	[11.848838806152344, 4.6694231033325195, 10.635095596313477, 3.3015336990356445, 11.871906280517578, 11.090999603271484, 4.451287269592285, -0.0]	Who had Emily approached and Ann ? <eos>	[5.545644760131836, 4.913530349731445, 5.477552890777588, 5.612948894500732, 4.286609649658203, 6.441952705383301, 5.746407508850098, 3.567164981177484e-07]	[11.848838806152344, 3.569822311401367, 12.20124626159668, 10.904704093933105, 3.54213809967041, 10.526890754699707, 6.260805130004883, -0.0]
Who and Wayne have some glasses disgusted ? <eos>	[5.545644760131836, 4.913530349731445, 4.6378021240234375, 5.791807174682617, 4.768043518066406, 6.9896650314331055, 3.417755126953125, 2.4473931789398193, 3.2279550055136497e-07]	[11.848838806152344, 4.6694231033325195, 11.111642837524414, 3.8748207092285156, 6.94468879699707, 9.827857971191406, 14.482687950134277, 5.640357971191406, -0.0]	Who have some glasses disgusted and Wayne ? <eos>	[5.545644760131836, 4.913530349731445, 5.492509841918945, 6.868984222412109, 3.979605197906494, 2.8219964504241943, 6.940535068511963, 5.023785591125488, 3.770965690819139e-07]	[11.848838806152344, 5.313780784606934, 6.450972557067871, 8.809774398803711, 13.818841934204102, 3.1380720138549805, 14.674051284790039, 3.4997177124023438, -0.0]
