Stephanie would reveal which teenagers ? <eos>	[5.545644760131836, 5.568201065063477, 4.567160606384277, 3.7727270126342773, 4.434937477111816, 4.54151725769043, 4.8266599605995e-07]	[12.1594820022583, 7.925989151000977, 6.602437973022461, 7.146121978759766, 13.256449699401855, 11.003332138061523, -0.0]	Which would Stephanie reveal teenagers ? <eos>	[4.983104228973389, 6.104061126708984, 4.508150100708008, 6.616208076477051, 3.930662155151367, 4.084731101989746, 3.811587419022544e-07]	[10.303573608398438, 4.216185569763184, 16.362272262573242, 9.434935569763184, 13.972508430480957, 3.611387252807617, -0.0]
Guy did visit which adults ? <eos>	[4.987610340118408, 5.745063781738281, 1.766808032989502, 5.322229862213135, 5.627771377563477, 5.2596755027771, 4.2703172198343964e-07]	[10.140670776367188, 6.1460418701171875, 9.557221412658691, 9.282581329345703, 10.985536575317383, 12.033893585205078, -0.0]	Which did Guy visit adults ? <eos>	[4.997885704040527, 6.089602947235107, 2.4758739471435547, 6.197507858276367, 4.903999328613281, 3.8894238471984863, 3.47743707607151e-07]	[10.26282787322998, 6.188210487365723, 13.461956024169922, 7.356250762939453, 11.949085235595703, 2.5174026489257812, -0.0]
Stephanie should worry whose committee ? <eos>	[4.994912624359131, 6.039847373962402, 4.214325904846191, 1.2667759656906128, 7.142037391662598, 4.29676628112793, 6.584406264664722e-07]	[11.6587553024292, 9.942240715026855, 9.829662322998047, 11.750101089477539, 11.784225463867188, 11.562089920043945, -0.0]	Whose should Stephanie worry committee ? <eos>	[4.9896321296691895, 6.382724285125732, 2.829190731048584, 5.651169776916504, 2.7511024475097656, 4.759154319763184, 3.5140936915922794e-07]	[2.952176094055176, 7.512473106384277, 18.445262908935547, 10.866735458374023, 16.328685760498047, 8.732820510864258, -0.0]
That commentary is worrying what guests ? <eos>	[4.996146202087402, 4.973588943481445, 4.496910095214844, 5.8111958503723145, 3.078827142715454, 5.2111124992370605, 4.642784118652344, 5.208019047131529e-07]	[6.260213851928711, 12.088963508605957, 2.4295692443847656, 13.619131088256836, 5.131366729736328, 11.379382133483887, 7.205709457397461, -0.0]	What is that commentary worrying guests ? <eos>	[4.985498905181885, 4.721888542175293, 5.016452312469482, 5.059147834777832, 4.405974864959717, 4.444383144378662, 4.394034385681152, 4.682988503645902e-07]	[7.4844651222229, 1.4046382904052734, 5.331531524658203, 11.573169708251953, 13.284100532531738, 11.207615852355957, 2.127758026123047, -0.0]
That student had scanned which essays ? <eos>	[4.991202354431152, 5.013876914978027, 4.888574123382568, 4.465193271636963, 4.288735389709473, 5.862442970275879, 4.043649196624756, 3.9731759216010687e-07]	[6.2688751220703125, 10.201215744018555, 3.928274154663086, 12.942085266113281, 8.467330932617188, 9.98988151550293, 11.85832405090332, -0.0]	Which had that student scanned essays ? <eos>	[5.002493858337402, 6.11269998550415, 4.862713813781738, 6.104923248291016, 5.213665962219238, 5.097975730895996, 3.9335739612579346, 3.6300195915828226e-07]	[10.246859550476074, 5.309106826782227, 6.550693511962891, 9.657706260681152, 13.055749893188477, 10.796073913574219, 3.7095794677734375, -0.0]
Keith had disturbed which guy ? <eos>	[4.98453426361084, 6.331347465515137, 5.207275390625, 4.966853141784668, 5.503448486328125, 5.021111488342285, 3.8278233205346623e-07]	[10.030981063842773, 5.398882865905762, 12.764042854309082, 9.45388412475586, 9.929819107055664, 10.321757316589355, -0.0]	Which had Keith disturbed guy ? <eos>	[4.9839019775390625, 6.096738815307617, 4.843925952911377, 5.763925552368164, 4.646036148071289, 5.425948143005371, 3.805033657044987e-07]	[10.273131370544434, 5.312236785888672, 12.480694770812988, 14.761530876159668, 10.810757637023926, 4.369270324707031, -0.0]
Matt had biked to what high school ? <eos>	[4.97666072845459, 5.726172924041748, 5.033447265625, 5.755710601806641, 5.657814025878906, 3.810314416885376, 6.218653202056885, 5.587824821472168, 4.1915620840882184e-07]	[10.009739875793457, 5.829968452453613, 4.649456024169922, 2.645608901977539, 7.278796672821045, 9.591148376464844, 2.635316848754883, 10.52914810180664, -0.0]	What had Matt biked to high school ? <eos>	[4.988755226135254, 4.702389240264893, 2.7196149826049805, 6.213643550872803, 5.479626178741455, 6.142961025238037, 4.8921051025390625, 4.498995780944824, 6.167009019009129e-07]	[7.531628131866455, 4.31617546081543, 15.384157180786133, 1.9120359420776367, 4.005979537963867, 9.576759338378906, 1.2286691665649414, 5.523716926574707, -0.0]
Kathleen could lift what forks ? <eos>	[5.000353813171387, 6.358123302459717, 2.8377254009246826, 3.8230466842651367, 3.7443079948425293, 4.976062774658203, 3.3258922371715016e-07]	[11.101177215576172, 9.116868019104004, 9.417900085449219, 7.014370918273926, 15.01463508605957, 6.823681831359863, -0.0]	What could Kathleen lift forks ? <eos>	[4.973505020141602, 4.721956729888916, 3.2713541984558105, 4.657856464385986, 4.906222343444824, 4.414528846740723, 4.0599553585707326e-07]	[7.490340232849121, 5.437032699584961, 16.196908950805664, 12.580266952514648, 14.988383293151855, 1.971761703491211, -0.0]
Joel might praise which actor ? <eos>	[4.984649658203125, 6.097831726074219, 3.0587973594665527, 5.040223121643066, 5.426647663116455, 5.9317216873168945, 3.7087139048708195e-07]	[10.223125457763672, 10.102424621582031, 8.597304344177246, 8.699996948242188, 8.557068824768066, 9.987890243530273, -0.0]	Which might Joel praise actor ? <eos>	[4.984836578369141, 6.111994743347168, 3.663038492202759, 5.85018253326416, 4.887155055999756, 6.002931594848633, 3.193721909156011e-07]	[10.305774688720703, 6.083812713623047, 16.66006088256836, 9.625999450683594, 10.013288497924805, 4.531067848205566, -0.0]
The banks had criticized which high schools ? <eos>	[4.9928789138793945, 7.802725791931152, 3.8671085834503174, 5.23233699798584, 3.6726136207580566, 5.700231075286865, 5.9182329177856445, 4.522839546203613, 4.14496923895058e-07]	[1.7160005569458008, 9.87557315826416, 4.541093826293945, 8.844511032104492, 9.572640419006348, 7.052430152893066, 4.784111976623535, 13.72907829284668, -0.0]	Which had the banks criticized high schools ? <eos>	[5.0055975914001465, 6.090114593505859, 4.8480024337768555, 6.9759521484375, 6.176976203918457, 3.7892463207244873, 4.490360736846924, 3.721419334411621, 3.2129111104950425e-07]	[10.252176284790039, 5.327272415161133, 2.226154327392578, 10.52135944366455, 9.789108276367188, 10.910540580749512, 5.828612327575684, 4.445091247558594, -0.0]
Alice will heal whose louse ? <eos>	[4.997218132019043, 5.8233866691589355, 5.409274578094482, 4.41087532043457, 6.663919448852539, 5.692204475402832, 4.5043157115287613e-07]	[9.956029891967773, 7.345083236694336, 9.741361618041992, 12.50002384185791, 3.147665023803711, 9.179744720458984, -0.0]	Whose will Alice heal louse ? <eos>	[5.000988006591797, 6.395175933837891, 4.987944602966309, 6.436146259307861, 4.432623863220215, 3.3912551403045654, 3.0934182859709836e-07]	[2.9295129776000977, 6.814775466918945, 13.760802268981934, 10.591715812683105, 3.9485788345336914, 10.279903411865234, -0.0]
Pamela was buying which horse ? <eos>	[4.985605239868164, 6.302285671234131, 5.367785453796387, 4.972612380981445, 6.018460273742676, 5.1626129150390625, 3.587738888199965e-07]	[11.90835952758789, 2.9028263092041016, 12.59862232208252, 10.306901931762695, 10.131463050842285, 8.660810470581055, -0.0]	Which was Pamela buying horse ? <eos>	[4.991323947906494, 6.111562728881836, 5.584829330444336, 5.933053970336914, 5.072319984436035, 4.8141279220581055, 3.7268554820002464e-07]	[10.277447700500488, 2.9078540802001953, 15.258766174316406, 12.145750045776367, 10.686297416687012, 5.405374526977539, -0.0]
Janice is messing up whose cars ? <eos>	[4.983813285827637, 5.777184963226318, 5.874650955200195, 3.755192756652832, 3.190957546234131, 7.202158451080322, 4.359519004821777, 6.187506187416147e-07]	[12.475244522094727, 2.263625144958496, 4.133045196533203, 6.196280479431152, 9.871097564697266, 7.288366794586182, 11.597644805908203, -0.0]	Whose is Janice messing up cars ? <eos>	[4.994678020477295, 6.409296989440918, 4.751850128173828, 4.184094429016113, 2.6574244499206543, 3.9605226516723633, 3.975006580352783, 3.64767913652031e-07]	[2.950267791748047, 2.743572235107422, 15.920450210571289, 2.023822784423828, 11.229683876037598, 12.036162376403809, 10.599882125854492, -0.0]
A customer was looking like whose picture ? <eos>	[4.993573188781738, 7.25173282623291, 5.32791805267334, 5.747631072998047, 1.7293401956558228, 2.8232905864715576, 7.414148330688477, 4.175850868225098, 4.409414486872265e-07]	[3.9323740005493164, 8.667638778686523, 3.7610244750976562, 6.475788116455078, 6.782090187072754, 11.029921531677246, 9.437954902648926, 9.532751083374023, -0.0]	Whose was a customer looking like picture ? <eos>	[5.005504608154297, 6.390072345733643, 5.258810043334961, 6.465693473815918, 3.514430284500122, 2.212350845336914, 3.667567253112793, 6.06125545501709, 3.6200378872308647e-07]	[2.9882287979125977, 2.7148590087890625, 2.6533117294311523, 8.576814651489258, 8.272520065307617, 5.40769100189209, 11.993656158447266, 9.069991111755371, -0.0]
Cynthia has ran around what library ? <eos>	[4.979458808898926, 6.350340366363525, 4.639031887054443, 3.700835943222046, 4.2592573165893555, 2.743544101715088, 6.306713104248047, 4.524827943441778e-07]	[11.754034042358398, 4.18193244934082, 11.346548080444336, 6.100651741027832, 6.618523597717285, 13.751119613647461, 10.174882888793945, -0.0]	What has Cynthia ran around library ? <eos>	[4.976944446563721, 4.709901809692383, 2.635941505432129, 6.33022403717041, 4.12989616394043, 4.425075054168701, 5.9800801277160645, 3.8599449680987163e-07]	[7.5040717124938965, 4.722538948059082, 15.315850257873535, 10.723724365234375, 4.622684478759766, 14.655163764953613, 4.8956708908081055, -0.0]
Every child has scanned what stories ? <eos>	[4.984397888183594, 6.199377536773682, 4.455292224884033, 4.228493690490723, 4.7067155838012695, 3.9381463527679443, 4.582213401794434, 4.996458073946997e-07]	[7.675068378448486, 6.785438537597656, 2.746273994445801, 12.019224166870117, 7.372417449951172, 9.845285415649414, 7.651348114013672, -0.0]	What has every child scanned stories ? <eos>	[5.00026273727417, 4.735742092132568, 2.643674850463867, 7.388692378997803, 5.159107208251953, 4.624883651733398, 4.486588001251221, 4.129096282667888e-07]	[7.489644527435303, 4.727900505065918, 10.90674114227295, 5.573836326599121, 11.932207107543945, 12.042976379394531, 3.581451416015625, -0.0]
