Alexander did n't walk through that new oasis . <eos>	[5.545644760131836, 5.109100818634033, 2.2901508808135986, 5.456567764282227, 4.448330879211426, 2.7496047019958496, 6.139577865600586, 6.339522361755371, 2.6972815990448, 2.7935973889725574e-07]	[8.915029525756836, 9.129804611206055, 2.9046754837036133, 7.828234672546387, 3.141448974609375, 5.030614852905273, 6.411501884460449, 10.228706359863281, 0.9000053405761719, -0.0]	Alexander did n't walk through those new oasis . <eos>	[4.987626075744629, 5.817498683929443, 1.7661974430084229, 5.264270782470703, 4.3726091384887695, 2.7297723293304443, 6.8046464920043945, 6.3497443199157715, 3.938539743423462, 2.813068817886233e-07]	[8.763875961303711, 5.954490661621094, 2.6623029708862305, 7.268409729003906, 2.9108638763427734, 7.529693603515625, 7.096766471862793, 12.465536117553711, 2.2548484802246094, -0.0]
This hair irritates these old alumni . <eos>	[4.989680767059326, 6.144559383392334, 4.289714813232422, 5.585092544555664, 7.0645976066589355, 6.889543056488037, 4.714907646179199, 2.627768651564111e-07]	[3.592076301574707, 11.922521591186523, 4.299581527709961, 6.8868513107299805, 7.939858913421631, 12.741039276123047, 2.9609365463256836, -0.0]	This hair irritates this old alumni . <eos>	[4.989323139190674, 6.142850875854492, 4.28912878036499, 5.58519983291626, 6.84550142288208, 6.96831750869751, 5.927125453948975, 2.6762845095618104e-07]	[3.592301368713379, 11.919191360473633, 4.301512718200684, 5.815956115722656, 8.554895401000977, 16.3397274017334, 3.783755302429199, -0.0]
Winston Churchill was escaping from this serious person . <eos>	[4.987851142883301, 1.9387238025665283, 4.770240783691406, 5.606335639953613, 3.1459641456604004, 3.331472873687744, 6.418660640716553, 5.476218223571777, 3.7047228813171387, 2.741739990597125e-07]	[10.911370277404785, 0.2727642059326172, 2.466738700866699, 14.24885082244873, 0.980987548828125, 4.527833938598633, 8.391740798950195, 10.607812881469727, 1.86328125, -0.0]	Winston Churchill was escaping from these serious person . <eos>	[4.988521099090576, 1.9267288446426392, 4.767611026763916, 5.606385707855225, 3.1457877159118652, 3.331101417541504, 6.786426067352295, 5.44724178314209, 4.7868523597717285, 2.7865957008543774e-07]	[10.907398223876953, 0.27056312561035156, 2.465376853942871, 14.248127937316895, 0.9811477661132812, 7.03249454498291, 7.559301853179932, 14.41379451751709, 2.2614641189575195, -0.0]
Anna walks through these purple oases . <eos>	[4.988863945007324, 5.654837608337402, 3.646528720855713, 3.208159923553467, 6.703454971313477, 5.943228721618652, 4.6963887214660645, 2.783662864658254e-07]	[9.896810531616211, 7.822983741760254, 2.9461708068847656, 6.85476016998291, 10.298820495605469, 3.1084985733032227, 3.220494270324707, -0.0]	Anna walks through this purple oases . <eos>	[4.990049362182617, 5.653120994567871, 3.647494316101074, 3.209017515182495, 6.418542861938477, 6.2499518394470215, 4.853593826293945, 2.794715214804455e-07]	[9.890568733215332, 7.814248085021973, 2.946653366088867, 4.861089706420898, 10.94882583618164, 3.6421566009521484, 3.179558753967285, -0.0]
Alicia sounded like this good analysis . <eos>	[4.988180637359619, 6.017877578735352, 5.208765983581543, 5.169602394104004, 4.32368278503418, 3.892258644104004, 2.8448076248168945, 2.7205615538150596e-07]	[12.045536041259766, 13.58669662475586, 3.117870330810547, 4.888077735900879, 7.732471466064453, 12.369316101074219, 2.185474395751953, -0.0]	Alicia sounded like these good analysis . <eos>	[4.989030838012695, 6.018520832061768, 5.208169937133789, 5.169985771179199, 6.341796875, 5.26231050491333, 3.5364246368408203, 2.772836751319119e-07]	[12.050268173217773, 13.585674285888672, 3.1192121505737305, 7.649282455444336, 7.81481409072876, 14.20138168334961, 2.5052309036254883, -0.0]
Jeffrey might complain about this gray thesis . <eos>	[4.989815711975098, 6.153657913208008, 3.9179553985595703, 1.8996727466583252, 4.066295623779297, 5.859664440155029, 6.545405864715576, 3.216224193572998, 2.7228423959968495e-07]	[10.641705513000488, 10.092273712158203, 8.698799133300781, 1.3345451354980469, 3.560685157775879, 11.679248809814453, 10.880188941955566, 2.338931083679199, -0.0]	Jeffrey might complain about these gray thesis . <eos>	[4.988070964813232, 6.153624534606934, 3.914724111557007, 1.8988717794418335, 4.066723823547363, 6.53082275390625, 6.134824752807617, 5.98565673828125, 2.777340739612555e-07]	[10.639070510864258, 10.092958450317383, 8.699941635131836, 1.3357124328613281, 5.147259712219238, 12.801554679870605, 15.007957458496094, 3.1551618576049805, -0.0]
Meredith approaches these concealed women . <eos>	[4.989370346069336, 5.720109462738037, 4.924979209899902, 6.934775352478027, 6.587851524353027, 3.708786964416504, 2.7075623165728757e-07]	[11.12584114074707, 10.305645942687988, 6.707327842712402, 13.152017593383789, 7.2293500900268555, 2.9835872650146484, -0.0]	Meredith approaches this concealed women . <eos>	[4.992846965789795, 5.719202995300293, 4.923393249511719, 7.141375541687012, 6.687273025512695, 3.853510856628418, 2.756895014499605e-07]	[11.120896339416504, 10.311695098876953, 5.168210029602051, 12.259827613830566, 9.881026268005371, 3.4769229888916016, -0.0]
Julia questioned those small children . <eos>	[4.991560459136963, 6.124957084655762, 3.5810890197753906, 3.781874656677246, 6.1495771408081055, 2.7981300354003906, 2.697620971048309e-07]	[10.30532455444336, 10.038402557373047, 6.769748687744141, 9.102188110351562, 4.465198516845703, 4.167119979858398, -0.0]	Julia questioned that small children . <eos>	[4.994405746459961, 6.12525749206543, 3.5818381309509277, 4.244365692138672, 7.205657005310059, 4.194696426391602, 2.8624651804420864e-07]	[10.302251815795898, 10.026945114135742, 4.623357772827148, 10.605005264282227, 5.031502723693848, 6.020870208740234, -0.0]
That adult has brought that purple octopus . <eos>	[4.994204521179199, 4.9797773361206055, 6.401251792907715, 4.445276260375977, 5.144412040710449, 6.975368499755859, 5.673332214355469, 3.5854997634887695, 2.875767961540987e-07]	[6.274864196777344, 11.226551055908203, 5.197930335998535, 7.92673397064209, 5.924501419067383, 10.378703117370605, 12.926521301269531, 3.7578983306884766, -0.0]	That adult has brought those purple octopus . <eos>	[4.987859725952148, 4.97208309173584, 6.4006500244140625, 4.447670936584473, 5.145440101623535, 6.810864448547363, 5.3071136474609375, 4.903203964233398, 2.7944867042606347e-07]	[6.279410362243652, 11.223100662231445, 5.201298713684082, 7.926463603973389, 8.303202629089355, 11.597319602966309, 13.894487380981445, 4.871286392211914, -0.0]
The people hug this displeased woman . <eos>	[4.991268157958984, 7.806002140045166, 4.47786808013916, 3.7916038036346436, 6.543551445007324, 6.030303478240967, 2.9393246173858643, 2.737376973982464e-07]	[1.7121152877807617, 7.325071334838867, 12.514318466186523, 4.228176116943359, 14.093439102172852, 4.477537155151367, 1.9367790222167969, -0.0]	The people hug these displeased woman . <eos>	[4.990159034729004, 7.804360389709473, 4.478917121887207, 3.790985107421875, 6.777900695800781, 6.097410202026367, 3.111205577850342, 2.650439796525461e-07]	[1.7141590118408203, 7.3221259117126465, 12.508896827697754, 4.946892738342285, 15.13176441192627, 8.266313552856445, 2.0951547622680664, -0.0]
