Dennis has seen this tooth that Kristin was n't concealing that is astounding men . <eos>	[5.545644760131836, 5.381830215454102, 4.654043197631836, 4.935761451721191, 6.172086238861084, 4.1848320960998535, 4.781164169311523, 5.743033409118652, 6.059520721435547, 5.772765159606934, 3.036461353302002, 5.183443546295166, 5.720694541931152, 1.9206002950668335, 2.9648609161376953, 2.6730799618235324e-07]	[10.090421676635742, 7.710294723510742, 5.7994794845581055, 4.265229225158691, 12.183250427246094, 5.147103309631348, 15.672530174255371, 4.883411407470703, 5.7193756103515625, 10.369752883911133, 5.610074996948242, 4.75638484954834, 13.425483703613281, 12.404675483703613, 1.3444242477416992, -0.0]	Dennis has seen who this tooth that Kristin was n't concealing is astounding men . <eos>	[5.545644760131836, 5.381830215454102, 4.654043197631836, 4.935761451721191, 5.510031700134277, 5.076760768890381, 3.9748778343200684, 5.2323503494262695, 5.656063556671143, 6.1411967277526855, 5.890625953674316, 3.408987045288086, 5.873525619506836, 1.6866668462753296, 2.846059560775757, 2.671076231308689e-07]	[10.090421676635742, 7.710294723510742, 5.7994794845581055, 10.582710266113281, 7.658462047576904, 12.239912033081055, 8.669599533081055, 16.38384246826172, 3.6453561782836914, 7.513334274291992, 10.937431335449219, 3.2161483764648438, 12.148022651672363, 11.449583053588867, 1.2807464599609375, -0.0]
Renee investigates these offspring that some drivers boast about that would heal some dog . <eos>	[5.545644760131836, 5.796079635620117, 3.8418028354644775, 6.03138542175293, 2.276599645614624, 5.187496185302734, 5.349437713623047, 4.7868547439575195, 3.65878963470459, 4.763722896575928, 5.8731818199157715, 3.966693878173828, 4.182933807373047, 5.068880081176758, 4.373386383056641, 2.830491894201259e-07]	[13.283686637878418, 14.796833038330078, 5.693737983703613, 11.904973983764648, 5.539732933044434, 6.505283355712891, 7.755073547363281, 11.387941360473633, 2.106351852416992, 5.253395080566406, 6.4035186767578125, 9.618228912353516, 6.241018295288086, 6.923450469970703, 1.2666778564453125, -0.0]	Renee investigates what these offspring that some drivers boast about would heal some dog . <eos>	[5.545644760131836, 5.796079635620117, 3.8418028354644775, 3.8117058277130127, 6.389960289001465, 4.557953357696533, 4.921002388000488, 5.208235263824463, 4.541111946105957, 3.6098785400390625, 4.606653213500977, 3.9362952709198, 4.095561981201172, 5.018906593322754, 4.384632110595703, 2.82912964166826e-07]	[13.283686637878418, 14.796833038330078, 5.196514129638672, 7.216379165649414, 11.741025924682617, 7.033300399780273, 6.656622886657715, 8.262661933898926, 12.005046844482422, 2.2303409576416016, 6.298426628112793, 9.974851608276367, 6.218759536743164, 7.288447380065918, 1.3370637893676758, -0.0]
The cashiers should notice a lot of cafes that Roger will drop by that resemble all prints . <eos>	[5.545644283294678, 7.150015354156494, 6.256845951080322, 4.0134148597717285, 3.215296745300293, 7.144116401672363, 0.6527268886566162, 7.053272247314453, 2.426914930343628, 4.919370651245117, 4.922775745391846, 5.461629390716553, 3.8100833892822266, 6.01294469833374, 4.25499153137207, 4.766982078552246, 4.113223075866699, 3.157909870147705, 2.8339792379483697e-07]	[5.1062774658203125, 1.687403678894043, 8.268068313598633, 10.282151222229004, 3.0183019638061523, 5.879765510559082, 0.0879364013671875, 13.919447898864746, 3.314112663269043, 12.532169342041016, 4.006109237670898, 8.07853889465332, 5.225103378295898, 5.819826126098633, 13.825861930847168, 4.771838188171387, 11.944533348083496, 1.2251739501953125, -0.0]	The cashiers should notice what a lot of cafes that Roger will drop by resemble all prints . <eos>	[5.545644283294678, 7.150015354156494, 6.256845951080322, 4.0134148597717285, 3.215296745300293, 4.543323993682861, 7.1298723220825195, 0.8301193714141846, 4.9070024490356445, 3.172205924987793, 4.8530988693237305, 5.171175479888916, 5.0810089111328125, 3.7988624572753906, 5.854759216308594, 4.792141914367676, 4.505426406860352, 3.469801425933838, 2.8328088319540257e-07]	[5.1062774658203125, 1.687403678894043, 8.268068313598633, 10.282151222229004, 4.755317687988281, 3.769038200378418, 4.750083923339844, 0.10625076293945312, 13.71497631072998, 5.089399337768555, 13.623762130737305, 3.40634822845459, 8.987256050109863, 5.228700637817383, 12.794754981994629, 5.360910415649414, 12.287065505981445, 1.355687141418457, -0.0]
All pedestrians research those ellipses that Ellen has appreciated that disgusted this actress . <eos>	[5.545644760131836, 5.225571155548096, 4.548784255981445, 4.646657943725586, 5.607508182525635, 5.2539753913879395, 5.701053619384766, 5.688483238220215, 5.7553253173828125, 3.512756586074829, 5.324315547943115, 4.276379108428955, 5.426687240600586, 3.293283462524414, 2.802518679345667e-07]	[8.75776481628418, 14.785523414611816, 13.379664421081543, 9.894510269165039, 4.644289970397949, 4.814154624938965, 12.997749328613281, 3.1087169647216797, 12.734619140625, 5.154807090759277, 13.855155944824219, 5.549211502075195, 9.493587493896484, 1.0160160064697266, -0.0]	All pedestrians research who those ellipses that Ellen has appreciated disgusted this actress . <eos>	[5.545644760131836, 5.225571155548096, 4.548784255981445, 4.646657943725586, 5.485653400421143, 4.435870170593262, 5.386783123016357, 5.391880989074707, 5.08940315246582, 5.767133712768555, 3.899913787841797, 3.99766206741333, 5.447739124298096, 2.9064950942993164, 2.7111059353046585e-07]	[8.75776481628418, 14.785523414611816, 13.379664421081543, 7.151031494140625, 10.243535041809082, 4.696256637573242, 5.315854072570801, 12.758197784423828, 3.2128372192382812, 12.189746856689453, 14.582042694091797, 5.134366989135742, 9.618812561035156, 0.9040603637695312, -0.0]
Heidi should n't think about many pedestrians that every movie could disagree with that messed up this rug . <eos>	[5.545644283294678, 4.6687541007995605, 4.572238922119141, 3.8416075706481934, 3.077321767807007, 4.159989356994629, 4.59919548034668, 3.73931884765625, 5.406671047210693, 4.633781433105469, 4.496944427490234, 4.798446178436279, 2.12890362739563, 2.048887252807617, 5.222264289855957, 4.854855537414551, 3.4302804470062256, 5.709232330322266, 2.320051431655884, 2.7448496098259056e-07]	[12.939257621765137, 9.283740997314453, 3.8653793334960938, 6.123318672180176, 2.2401905059814453, 7.428154945373535, 12.946420669555664, 4.446205139160156, 8.738273620605469, 7.743302822113037, 4.481888771057129, 11.56376838684082, 1.0335464477539062, 5.536340713500977, 4.180710792541504, 7.6120710372924805, 5.96558952331543, 15.046843528747559, 0.5871353149414062, -0.0]	Heidi should n't think about what many pedestrians that every movie could disagree with messed up this rug . <eos>	[5.545644283294678, 4.6687541007995605, 4.572238922119141, 3.8416075706481934, 3.077321767807007, 4.159989356994629, 4.28802490234375, 3.6280364990234375, 4.253396511077881, 4.6085662841796875, 5.237466335296631, 4.440602779388428, 4.750758171081543, 2.3177132606506348, 2.126268148422241, 4.181542873382568, 3.6263680458068848, 6.137793064117432, 2.767629623413086, 2.8213085556672013e-07]	[12.939257621765137, 9.283740997314453, 3.8653793334960938, 6.123318672180176, 2.2401905059814453, 2.60455322265625, 6.532284736633301, 11.238311767578125, 7.2804107666015625, 9.666086196899414, 7.0882158279418945, 4.288164138793945, 10.708382606506348, 1.2605552673339844, 6.910192489624023, 7.094371795654297, 5.592013359069824, 14.095481872558594, 0.8191375732421875, -0.0]
The Lutherans know the man that the casserole confuses that impressed the waitresses . <eos>	[5.545644760131836, 7.150014877319336, 4.370667457580566, 3.5915699005126953, 6.633607864379883, 4.125166416168213, 5.224165916442871, 6.700631141662598, 4.715266704559326, 3.800734519958496, 5.0661444664001465, 4.142641067504883, 6.668098449707031, 3.7978692054748535, 2.830339269621618e-07]	[5.106276512145996, 12.759262084960938, 9.020319938659668, 2.097841262817383, 6.359550476074219, 3.647517204284668, 2.6480207443237305, 2.828192710876465, 12.095584869384766, 6.116523742675781, 11.947935104370117, 1.4289569854736328, 2.546215057373047, 1.354888916015625, -0.0]	The Lutherans know who the man that the casserole confuses impressed the waitresses . <eos>	[5.545644760131836, 7.150014877319336, 4.370667457580566, 3.5915699005126953, 5.0584588050842285, 6.714372158050537, 4.16490364074707, 5.234743118286133, 6.502912521362305, 4.64963960647583, 4.041419982910156, 3.8549675941467285, 6.696113586425781, 4.040736198425293, 2.7173990702067385e-07]	[5.106276512145996, 12.759262084960938, 9.020319938659668, 5.047441482543945, 3.225116729736328, 5.6127119064331055, 7.087307929992676, 3.342677116394043, 2.5612096786499023, 12.218006134033203, 11.551347732543945, 2.651784896850586, 2.589384078979492, 1.3519563674926758, -0.0]
That teenager has n't seen this tomato that that girl had bought that had stunned some actors . <eos>	[5.545644283294678, 5.165494441986084, 4.581557273864746, 5.043732643127441, 4.5376386642456055, 4.21079683303833, 5.967949867248535, 4.452278137207031, 4.425551414489746, 5.097830772399902, 4.464448928833008, 4.839956283569336, 4.029994010925293, 5.789198875427246, 4.145326614379883, 3.8630614280700684, 4.834404945373535, 2.7123241424560547, 2.686662412543228e-07]	[9.64459228515625, 11.953184127807617, 4.196383476257324, 6.5226640701293945, 2.805394172668457, 3.8550186157226562, 13.484102249145508, 5.353606224060059, 8.573455810546875, 7.795891284942627, 3.471615791320801, 6.515109062194824, 5.975175857543945, 5.884407043457031, 14.207737922668457, 5.380971908569336, 8.467147827148438, 0.7971439361572266, -0.0]	That teenager has n't seen who this tomato that that girl had bought had stunned some actors . <eos>	[5.545644283294678, 5.165494441986084, 4.581557273864746, 5.043732643127441, 4.5376386642456055, 4.21079683303833, 5.3367156982421875, 4.898275852203369, 3.187778949737549, 4.333691596984863, 5.33817720413208, 4.227499485015869, 4.266450881958008, 3.6124582290649414, 4.7737579345703125, 3.2609710693359375, 4.062736511230469, 2.7882275581359863, 2.713997560022108e-07]	[9.64459228515625, 11.953184127807617, 4.196383476257324, 6.5226640701293945, 2.805394172668457, 9.12868881225586, 6.244771957397461, 14.389670372009277, 8.243314743041992, 10.446381568908691, 7.702342987060547, 2.527303695678711, 6.533294677734375, 5.169422149658203, 14.10671615600586, 5.637799263000488, 7.809837818145752, 0.8481273651123047, -0.0]
Holly investigates every cashier that Carol cares for that has n't argued about all movies . <eos>	[5.545644283294678, 4.992477893829346, 4.052213668823242, 5.90267276763916, 2.3510942459106445, 5.338303089141846, 5.633033275604248, 2.189197540283203, 2.106138229370117, 5.244115829467773, 4.714357852935791, 3.903188943862915, 3.26603364944458, 4.004720687866211, 3.9218027591705322, 3.3167357444763184, 2.739492686032463e-07]	[11.283181190490723, 12.410858154296875, 8.2179536819458, 14.939358711242676, 6.196841239929199, 9.006328582763672, 8.167512893676758, 0.9872913360595703, 7.031885147094727, 3.3998260498046875, 4.472404479980469, 12.287870407104492, 3.441409111022949, 6.3693647384643555, 9.964853286743164, 1.029256820678711, -0.0]	Holly investigates what every cashier that Carol cares for has n't argued about all movies . <eos>	[5.545644283294678, 4.992477893829346, 4.052213668823242, 3.898552894592285, 5.985048294067383, 4.7378997802734375, 5.284207820892334, 5.567993640899658, 2.423027992248535, 2.688209056854248, 3.543764591217041, 3.2911086082458496, 3.0478663444519043, 4.073508262634277, 3.7775068283081055, 3.430131435394287, 2.751877730133856e-07]	[11.283181190490723, 12.410858154296875, 5.178193092346191, 9.605981826782227, 12.427894592285156, 6.734184265136719, 9.587788581848145, 7.865879058837891, 1.1584415435791016, 5.567377090454102, 6.503690719604492, 11.531967163085938, 3.887674331665039, 6.295223236083984, 9.95257568359375, 1.1223583221435547, -0.0]
Susan wo n't discover a car that Jane admired that is aggravating a lot of cashiers . <eos>	[5.545644283294678, 5.577104091644287, 0.13871753215789795, 4.721004962921143, 4.03423547744751, 6.820605754852295, 4.079887390136719, 4.619370460510254, 4.3881635665893555, 3.0839614868164062, 4.865423202514648, 5.6306939125061035, 2.8233766555786133, 6.152800559997559, 0.7405977249145508, 6.000062942504883, 3.8629496097564697, 2.73100567937945e-07]	[10.481151580810547, 12.377158164978027, 0.026948928833007812, 8.881341934204102, 3.390317916870117, 6.1824541091918945, 2.945013999938965, 8.331218719482422, 12.93646240234375, 5.580406188964844, 3.5163707733154297, 13.406379699707031, 4.354066848754883, 4.280799865722656, 0.166229248046875, 3.190657615661621, 1.022369384765625, -0.0]	Susan wo n't discover who a car that Jane admired is aggravating a lot of cashiers . <eos>	[5.545644283294678, 5.577104091644287, 0.13871753215789795, 4.721004962921143, 4.03423547744751, 4.968641757965088, 6.516641616821289, 3.823676586151123, 5.08400821685791, 3.836002826690674, 3.186488151550293, 5.725396156311035, 2.0339436531066895, 6.431582927703857, 1.1592742204666138, 5.9418864250183105, 3.770732879638672, 2.723170098306582e-07]	[10.481151580810547, 12.377158164978027, 0.026948928833007812, 8.881341934204102, 5.255175590515137, 6.107544898986816, 5.743535041809082, 6.543157577514648, 8.261537551879883, 13.73361587524414, 3.415548324584961, 13.882112503051758, 4.554670333862305, 5.17034912109375, 0.3491077423095703, 3.358748435974121, 0.8807601928710938, -0.0]
Most customers notice a lot of mushrooms that this cashier hides that wo n't aggravate the children . <eos>	[5.545644283294678, 5.654252052307129, 5.0593366622924805, 4.35764741897583, 7.104140281677246, 1.1128334999084473, 6.9174275398254395, 3.1443324089050293, 4.247683048248291, 6.301660060882568, 4.418011665344238, 3.111544609069824, 5.2551493644714355, 0.25944405794143677, 4.162724018096924, 4.2702155113220215, 7.294863700866699, 3.1445319652557373, 2.745171627793752e-07]	[10.129074096679688, 9.190113067626953, 10.330081939697266, 2.8611268997192383, 5.043181419372559, 0.16849136352539062, 12.907753944396973, 3.4250316619873047, 7.293774604797363, 10.496606826782227, 9.586183547973633, 6.286494255065918, 8.949798583984375, 0.062335968017578125, 5.084783554077148, 1.8096961975097656, 6.831256866455078, 0.8817958831787109, -0.0]	Most customers notice who a lot of mushrooms that this cashier hides wo n't aggravate the children . <eos>	[5.545644283294678, 5.654252052307129, 5.0593366622924805, 4.35764741897583, 5.640963554382324, 6.822963714599609, 2.7193830013275146, 5.8419189453125, 3.4098992347717285, 4.067148208618164, 5.208191394805908, 4.076303482055664, 3.166621208190918, 0.4187891483306885, 4.609259128570557, 3.648345947265625, 7.147866249084473, 3.287245750427246, 2.742156084423186e-07]	[10.129074096679688, 9.190113067626953, 10.330081939697266, 6.324504852294922, 6.417619705200195, 5.5609540939331055, 0.5499935150146484, 13.15652084350586, 6.2740936279296875, 7.25240421295166, 10.961540222167969, 10.49530029296875, 12.687362670898438, 0.09726524353027344, 6.075092315673828, 3.2467308044433594, 7.079989433288574, 1.0133514404296875, -0.0]
Victoria is n't thinking about all media that Tiffany had n't appreciated that confused those guys . <eos>	[5.545644283294678, 4.339927673339844, 4.6786909103393555, 5.3414411544799805, 2.5064334869384766, 4.433207035064697, 4.201698303222656, 4.778481483459473, 5.270941734313965, 4.099789142608643, 5.272071361541748, 4.922637939453125, 3.218064308166504, 5.183333396911621, 4.792586803436279, 5.339921951293945, 3.08313250541687, 2.755927539510594e-07]	[9.064154624938965, 4.936702728271484, 8.307315826416016, 11.031943321228027, 0.6628322601318359, 6.304316520690918, 9.11662483215332, 4.84443473815918, 11.871150016784668, 3.2041778564453125, 5.452211380004883, 8.851099967956543, 4.139381408691406, 12.414396286010742, 6.24760627746582, 6.369936943054199, 1.1313400268554688, -0.0]	Victoria is n't thinking about who all media that Tiffany had n't appreciated confused those guys . <eos>	[5.545644283294678, 4.339927673339844, 4.6786909103393555, 5.3414411544799805, 2.5064334869384766, 4.433207035064697, 5.095144748687744, 5.646456718444824, 5.448446273803711, 5.08399772644043, 3.972785472869873, 4.772525787353516, 4.849498748779297, 3.3433096408843994, 4.0533976554870605, 5.234072685241699, 2.9019556045532227, 2.735705493250862e-07]	[9.064154624938965, 4.936702728271484, 8.307315826416016, 11.031943321228027, 0.6628322601318359, 5.29698371887207, 6.866782188415527, 9.927694320678711, 7.126358985900879, 12.744756698608398, 2.588275909423828, 8.087325096130371, 9.18750286102295, 15.93720531463623, 7.01677131652832, 6.210071563720703, 0.9988422393798828, -0.0]
