Who have those men revealed they helped ? <eos>	[5.545644760131836, 4.913530349731445, 5.492509841918945, 5.1551971435546875, 4.160799980163574, 3.3039093017578125, 4.006857872009277, 5.017953395843506, 5.666527727044013e-07]	[11.848838806152344, 5.313780784606934, 7.4857048988342285, 6.888127326965332, 9.376800537109375, 4.7427978515625, 8.408727645874023, 6.060720443725586, -0.0]
Who have those men revealed who helped ? <eos>	[5.008918762207031, 5.19459342956543, 5.233218193054199, 5.926745891571045, 3.232381820678711, 3.635248899459839, 5.19328498840332, 4.564758777618408, 8.857091415848117e-07]	[10.150733947753906, 5.209720611572266, 6.624929428100586, 6.641121864318848, 9.580604553222656, 5.48284912109375, 7.39360237121582, 4.564833641052246, -0.0]
Who is n't Craig realizing he kisses ? <eos>	[5.022682189941406, 5.214661598205566, 4.881392955780029, 5.095139503479004, 3.381774425506592, 3.2535300254821777, 3.3758885860443115, 4.013270378112793, 3.996086093138729e-07]	[10.09286117553711, 1.832219123840332, 5.0747880935668945, 11.688533782958984, 12.339707374572754, 2.878936767578125, 11.960912704467773, 7.474798202514648, -0.0]
Who is n't Craig realizing who kisses ? <eos>	[4.999667167663574, 5.182856559753418, 4.945991516113281, 5.110910415649414, 3.3576643466949463, 3.2729132175445557, 4.676344871520996, 2.6738548278808594, 4.1560630847925495e-07]	[10.07309341430664, 1.8538694381713867, 5.068777084350586, 11.643234252929688, 12.35007381439209, 4.694911956787109, 10.31888198852539, 6.980837821960449, -0.0]
Who are those associations discovering they saw ? <eos>	[4.993048667907715, 5.181498050689697, 5.320010185241699, 4.311642646789551, 1.6672463417053223, 4.714141368865967, 4.058261871337891, 4.704880237579346, 3.8025652315809566e-07]	[10.101644515991211, 5.022021293640137, 6.305973052978516, 11.3444185256958, 13.111455917358398, 4.574867248535156, 7.1933441162109375, 5.231545448303223, -0.0]
Who are those associations discovering who saw ? <eos>	[4.987286567687988, 5.184663772583008, 5.294676780700684, 4.318696022033691, 1.6382784843444824, 4.708687782287598, 5.575779914855957, 4.369815826416016, 4.417964305503119e-07]	[10.144706726074219, 5.044366836547852, 6.338262557983398, 11.314776420593262, 13.122660636901855, 5.622406005859375, 7.254415988922119, 3.9990062713623047, -0.0]
What was n't Nicole discovering she climbed down ? <eos>	[4.981464385986328, 4.71537971496582, 5.625802993774414, 5.426768779754639, 4.690077304840088, 4.829597473144531, 2.8053627014160156, 4.036917686462402, 3.5564136505126953, 3.9585302147315815e-07]	[7.4766693115234375, 2.5506210327148438, 5.238101005554199, 15.61465835571289, 12.311189651489258, 3.471954345703125, 11.600248336791992, 3.9968338012695312, 5.363018989562988, -0.0]
What was n't Nicole discovering who climbed down ? <eos>	[4.99794864654541, 4.7030134201049805, 5.632246971130371, 5.429384708404541, 4.692188262939453, 4.830138206481934, 3.957603931427002, 3.4594643115997314, 3.5166144371032715, 9.218724699167069e-07]	[7.501247406005859, 2.5464706420898438, 5.219298362731934, 15.60750675201416, 12.3206205368042, 6.612074851989746, 11.039852142333984, 4.545801162719727, 4.696011543273926, -0.0]
What could Alan discover he has run around ? <eos>	[5.0276079177856445, 4.697542190551758, 3.3138763904571533, 5.649707794189453, 4.73226261138916, 3.854645252227783, 4.490841388702393, 4.404325008392334, 4.416248321533203, 4.521436096638354e-07]	[7.447594165802002, 5.417742729187012, 12.947271347045898, 9.946762084960938, 5.248965263366699, 3.1693572998046875, 8.219696044921875, 4.317480087280273, 2.445061683654785, -0.0]
What could Alan discover who has run around ? <eos>	[4.997926235198975, 4.710275650024414, 3.295309066772461, 5.622186183929443, 4.701872825622559, 4.59999942779541, 4.660694122314453, 4.445899486541748, 4.261467933654785, 5.72870476389653e-07]	[7.48382043838501, 5.444430351257324, 12.956462860107422, 9.904712677001953, 4.371123313903809, 3.2594356536865234, 6.628973007202148, 4.9033203125, 2.21466064453125, -0.0]
