Teresa had not ever sold a movie theater . <eos>	[5.545644283294678, 4.375355243682861, 4.822608947753906, 4.7458648681640625, 3.980942726135254, 4.318133354187012, 6.678152084350586, 4.343091011047363, 3.2802228927612305, 2.803272423079761e-07]	[12.189133644104004, 6.6150360107421875, 4.4961042404174805, 7.331779479980469, 7.4646148681640625, 2.5920228958129883, 6.171520233154297, 3.783689498901367, 1.3127937316894531, -0.0]
Teresa had probably ever sold a movie theater . <eos>	[4.986865997314453, 5.4088945388793945, 5.054705619812012, 4.982861518859863, 3.76010799407959, 4.289886474609375, 6.1025800704956055, 4.587665557861328, 3.4188857078552246, 2.812453772094159e-07]	[11.829095840454102, 4.165496826171875, 8.556753158569336, 9.479410171508789, 7.502719879150391, 2.624264717102051, 6.563809394836426, 3.2363338470458984, 3.241360664367676, -0.0]
Allison has not ever taken that ice cream . <eos>	[4.9887614250183105, 5.430683612823486, 4.826097011566162, 4.80113410949707, 3.818326950073242, 4.361041069030762, 5.382931232452393, 5.115209579467773, 5.186331748962402, 3.035022757558181e-07]	[10.683472633361816, 3.373501777648926, 4.926814079284668, 7.782647132873535, 5.204566955566406, 5.581915855407715, 9.316377639770508, 4.308981895446777, 2.2045974731445312, -0.0]
Allison has fortunately ever taken that ice cream . <eos>	[4.987227439880371, 5.429388523101807, 4.825348854064941, 4.860732555389404, 3.3670830726623535, 4.693146705627441, 6.360140800476074, 5.0964674949646, 5.094733238220215, 3.0087608138273936e-07]	[10.68752670288086, 3.3763723373413086, 13.311351776123047, 8.013482093811035, 4.992353439331055, 5.373885154724121, 8.637114524841309, 2.283365249633789, 2.6583614349365234, -0.0]
Teresa would not ever ascertain Carmen to remember Jessica . <eos>	[4.991401672363281, 5.409906387329102, 4.990911483764648, 5.1208295822143555, 4.86082649230957, 3.4355475902557373, 2.401200771331787, 3.981365203857422, 3.7699472904205322, 3.4395837783813477, 2.8396624429660733e-07]	[11.82975959777832, 6.118492126464844, 3.3921279907226562, 7.694162368774414, 13.856769561767578, 12.443731307983398, 4.079425811767578, 8.084376335144043, 9.863777160644531, 1.5158195495605469, -0.0]
Teresa would fortunately ever ascertain Carmen to remember Jessica . <eos>	[4.99035120010376, 5.407142639160156, 4.990829944610596, 5.4839043617248535, 4.988250732421875, 3.0396780967712402, 1.644989252090454, 4.200007438659668, 3.7098679542541504, 3.492645740509033, 2.812923867168138e-07]	[11.824848175048828, 6.118044853210449, 14.158894538879395, 8.263427734375, 12.864826202392578, 12.15408706665039, 4.472930908203125, 8.004151344299316, 9.721195220947266, 1.5971870422363281, -0.0]
Sharon might not ever argue . <eos>	[4.992239952087402, 5.659486770629883, 3.1786863803863525, 4.61346960067749, 4.701973915100098, 3.287508010864258, 2.753784542619542e-07]	[10.62924575805664, 9.66527271270752, 2.27606201171875, 7.576627731323242, 7.613560676574707, 3.6967506408691406, -0.0]
Sharon might probably ever argue . <eos>	[4.9873046875, 5.660091400146484, 3.1784281730651855, 2.477508544921875, 3.367640972137451, 3.1777076721191406, 2.739029696385842e-07]	[10.633058547973633, 9.666925430297852, 8.624944686889648, 8.793524742126465, 7.259770393371582, 4.028165817260742, -0.0]
Those banks had not ever lied . <eos>	[4.988896369934082, 5.725529193878174, 5.145094394683838, 5.278471946716309, 5.316246032714844, 4.46049165725708, 2.2745137214660645, 2.7806456159851223e-07]	[7.474602699279785, 9.357707977294922, 4.435035705566406, 4.151987075805664, 7.622223854064941, 10.249760627746582, 2.926568031311035, -0.0]
Those banks had really ever lied . <eos>	[4.9885969161987305, 5.721384525299072, 5.145561218261719, 5.2765913009643555, 5.935103416442871, 4.595090866088867, 1.9641823768615723, 2.8749113312187546e-07]	[7.472569465637207, 9.361579895019531, 4.438920974731445, 10.392141342163086, 8.153596878051758, 9.231273651123047, 2.9530582427978516, -0.0]
All children do not ever struggle . <eos>	[4.990225791931152, 5.816326141357422, 4.544095993041992, 0.9624271988868713, 4.611461162567139, 4.687060356140137, 2.5390636920928955, 2.7304702143737813e-07]	[5.907186508178711, 6.783098220825195, 6.570461273193359, 0.1954479217529297, 8.784151077270508, 10.33242416381836, 2.4634647369384766, -0.0]
All children do really ever struggle . <eos>	[4.987373352050781, 5.814450263977051, 4.544665336608887, 0.9626387357711792, 5.01145076751709, 4.653817176818848, 2.8279318809509277, 2.8251153594283096e-07]	[5.901803970336914, 6.777708053588867, 6.564308166503906, 10.620692253112793, 9.27052116394043, 9.639803886413574, 2.0605010986328125, -0.0]
Theresa can not ever shock the Impressionists . <eos>	[4.988964080810547, 5.9391045570373535, 4.397366523742676, 4.715512275695801, 4.791569709777832, 3.6387438774108887, 6.673806190490723, 2.689436912536621, 2.7855668349729967e-07]	[11.787123680114746, 7.469925403594971, 3.582958221435547, 8.64291763305664, 10.721231460571289, 2.0963878631591797, 13.276266098022461, 1.6476097106933594, -0.0]
Theresa can fortunately ever shock the Impressionists . <eos>	[4.988297462463379, 5.940609931945801, 4.394969463348389, 5.207322120666504, 4.584461212158203, 3.8599538803100586, 6.35096549987793, 3.069270610809326, 2.7466955998534104e-07]	[11.79296588897705, 7.465480327606201, 13.300431251525879, 8.538594245910645, 11.217643737792969, 1.9151010513305664, 13.147394180297852, 1.767202377319336, -0.0]
Theodore can not ever beg Sandra to stretch . <eos>	[4.988367080688477, 4.108238697052002, 4.330881118774414, 4.7160749435424805, 4.816831588745117, 3.2675399780273438, 3.9804301261901855, 5.004199981689453, 3.1236088275909424, 2.802846097438305e-07]	[10.462054252624512, 9.041563034057617, 4.556227684020996, 8.744293212890625, 10.12315845489502, 13.506649017333984, 1.7769241333007812, 12.676011085510254, 4.586827278137207, -0.0]
Theodore can really ever beg Sandra to stretch . <eos>	[4.991384029388428, 4.095439910888672, 4.331690788269043, 5.063820838928223, 4.972625255584717, 3.5944128036499023, 4.29770565032959, 4.992771148681641, 3.355991840362549, 2.7794004608949763e-07]	[10.4613618850708, 9.05448055267334, 9.12765121459961, 10.083876609802246, 10.635896682739258, 13.753106117248535, 1.6257152557373047, 11.986534118652344, 4.363516807556152, -0.0]
Valerie does not ever manage to like some coats . <eos>	[4.990461826324463, 6.1672210693359375, 1.8879005908966064, 5.310250282287598, 5.130891799926758, 1.4968528747558594, 5.820518493652344, 5.055638313293457, 2.873100757598877, 1.7560912370681763, 2.8018024522680207e-07]	[11.909388542175293, 6.389519691467285, 0.4112968444824219, 8.430145263671875, 7.43174934387207, 0.24892234802246094, 7.423127174377441, 6.732168197631836, 13.938130378723145, 3.120467185974121, -0.0]
Valerie does probably ever manage to like some coats . <eos>	[4.992964267730713, 6.167290687561035, 1.8907567262649536, 5.211410045623779, 5.388486862182617, 1.4007173776626587, 5.987006187438965, 5.070927619934082, 3.2790470123291016, 1.6991863250732422, 2.7950176217927947e-07]	[11.901373863220215, 6.390082359313965, 10.592098236083984, 8.077523231506348, 6.541590690612793, 0.23112106323242188, 7.547956466674805, 5.868572235107422, 13.984379768371582, 3.6039600372314453, -0.0]
Barbara has not ever boycotted that river . <eos>	[4.992185115814209, 6.056110858917236, 4.625567436218262, 4.620566368103027, 3.373220443725586, 2.8310258388519287, 4.868330955505371, 3.61765193939209, 2.799956462240516e-07]	[10.275087356567383, 4.67031192779541, 5.0120134353637695, 8.352096557617188, 13.728853225708008, 6.708398818969727, 12.479449272155762, 1.7932796478271484, -0.0]
Barbara has really ever boycotted that river . <eos>	[4.98707389831543, 6.058338642120361, 4.6232171058654785, 5.450100898742676, 3.889094352722168, 2.9987754821777344, 5.645865440368652, 3.02974796295166, 2.7004267622032785e-07]	[10.284538269042969, 4.673733711242676, 10.661406517028809, 8.700827598571777, 14.388116836547852, 5.999737739562988, 11.278033256530762, 1.2399349212646484, -0.0]
Sherry had not ever remembered who was n't arriving at some closets . <eos>	[4.9877400398254395, 5.615251541137695, 5.013136863708496, 4.839930534362793, 3.768624782562256, 4.450058937072754, 5.21016788482666, 5.684352874755859, 5.147521018981934, 3.093686580657959, 3.86613130569458, 3.101513385772705, 5.755635738372803, 2.7921447554035694e-07]	[11.997223854064941, 4.745927810668945, 4.548890113830566, 8.34217643737793, 10.388900756835938, 6.3838043212890625, 2.0300722122192383, 8.309083938598633, 10.523171424865723, 1.9618721008300781, 7.078706741333008, 5.126988410949707, 2.393773078918457, -0.0]
Sherry had really ever remembered who was n't arriving at some closets . <eos>	[4.990046501159668, 5.613391399383545, 5.014108657836914, 5.6019392013549805, 4.275716304779053, 4.1572418212890625, 5.298060417175293, 5.511160850524902, 4.97830867767334, 3.154578685760498, 3.9204721450805664, 3.1305344104766846, 5.743671417236328, 2.7898937560166814e-07]	[12.000384330749512, 4.743239402770996, 9.955933570861816, 9.40313720703125, 8.185916900634766, 6.519451141357422, 2.18118953704834, 7.069830894470215, 10.766828536987305, 1.9906749725341797, 6.777064323425293, 5.001047134399414, 2.230227470397949, -0.0]
Those children can not ever exercise . <eos>	[4.9906768798828125, 5.721269607543945, 4.501411437988281, 4.599713325500488, 4.541761875152588, 4.737267017364502, 3.841280460357666, 2.857267418221454e-07]	[7.468682289123535, 7.857344150543213, 4.397042274475098, 3.957550048828125, 9.126051902770996, 7.302619934082031, 5.37074089050293, -0.0]
Those children can fortunately ever exercise . <eos>	[4.988216400146484, 5.723304748535156, 4.5072550773620605, 4.597894191741943, 5.052958011627197, 4.947893142700195, 3.9585978984832764, 2.8689902364931186e-07]	[7.471615791320801, 7.849226951599121, 4.388416290283203, 15.720306396484375, 10.416253089904785, 6.990691184997559, 4.926645278930664, -0.0]
Angela did not ever heal Becca . <eos>	[4.988600254058838, 5.792685508728027, 1.7493106126785278, 5.4950337409973145, 5.147753715515137, 3.6257314682006836, 3.1675407886505127, 2.724139562815253e-07]	[11.26943588256836, 7.453041076660156, 0.3965644836425781, 8.578369140625, 11.014739990234375, 11.879911422729492, 1.9877338409423828, -0.0]
Angela did probably ever heal Becca . <eos>	[4.986177444458008, 5.797248840332031, 1.74655282497406, 5.199714183807373, 5.23070764541626, 3.911665439605713, 3.0040383338928223, 2.691858753678389e-07]	[11.263690948486328, 7.447159767150879, 11.06100845336914, 8.521286010742188, 9.936592102050781, 11.76956844329834, 1.754598617553711, -0.0]
Julia had not ever forced Kirsten to get a job . <eos>	[4.986360549926758, 6.12294864654541, 5.072660446166992, 4.855111122131348, 4.271483421325684, 3.8115129470825195, 2.4951748847961426, 5.24424934387207, 4.383853912353516, 6.103729248046875, 3.4149484634399414, 2.981058173645579e-07]	[10.304784774780273, 4.664648056030273, 4.236494064331055, 8.278816223144531, 9.354121208190918, 10.613564491271973, 0.6640052795410156, 3.549774169921875, 2.5168676376342773, 1.916489601135254, 2.6074390411376953, -0.0]
