A lot of nieces of some actor are n't scared . <eos>	[5.545644283294678, 6.766556739807129, 1.8607426881790161, 6.38814640045166, 1.552381992340088, 4.977766036987305, 3.44852352142334, 3.408535957336426, 6.616573333740234, 6.044205665588379, 2.825669765472412, 2.737592126322852e-07]	[7.048110008239746, 6.730055809020996, 0.3049907684326172, 13.642037391662598, 6.885683059692383, 6.400138854980469, 9.326913833618164, 4.349596977233887, 6.03807258605957, 7.754839897155762, 1.2622489929199219, -0.0]
A lot of nieces of some actor are n't wept . <eos>	[4.988408088684082, 7.244568824768066, 0.3992193937301636, 6.254087448120117, 1.7845795154571533, 5.0655694007873535, 4.817614555358887, 3.545158624649048, 6.878868103027344, 6.037994384765625, 3.075078010559082, 2.735435487011273e-07]	[3.9345712661743164, 6.36182975769043, 0.04449653625488281, 15.31808853149414, 7.500659942626953, 6.690593719482422, 8.943121910095215, 3.3808822631835938, 6.0936689376831055, 14.958114624023438, 1.3922462463378906, -0.0]
Mitchell 's grandfathers are forgotten . <eos>	[4.984930038452148, 5.013650894165039, 7.244146823883057, 6.861308574676514, 6.363928318023682, 3.397700786590576, 2.740157185598946e-07]	[9.675570487976074, 2.3087263107299805, 3.796095848083496, 4.128168106079102, 10.154298782348633, 2.1593446731567383, -0.0]
Mitchell 's grandfathers are concurred . <eos>	[4.987567901611328, 5.012923240661621, 7.244431018829346, 6.863705635070801, 6.364203453063965, 2.245089530944824, 2.660930817910412e-07]	[9.657981872558594, 2.3023881912231445, 3.7982702255249023, 4.128191947937012, 14.74894905090332, 4.220503807067871, -0.0]
The Clintons were attacked . <eos>	[4.98854923248291, 7.804862022399902, 7.104092597961426, 6.431825637817383, 2.074098587036133, 2.6729634328148677e-07]	[1.7094392776489258, 2.9997425079345703, 4.130167007446289, 7.522533893585205, 5.232008934020996, -0.0]
The Clintons were replied . <eos>	[4.986961841583252, 7.8056230545043945, 7.104194641113281, 6.43187141418457, 2.4530718326568604, 2.729466928030888e-07]	[1.709146499633789, 2.9992570877075195, 4.1288957595825195, 13.27058219909668, 6.887703895568848, -0.0]
Most cashiers are disliked . <eos>	[4.989311218261719, 4.838592529296875, 6.385135173797607, 6.770238876342773, 2.8379292488098145, 2.6307111511414405e-07]	[5.722962379455566, 3.267610549926758, 2.0675621032714844, 12.265922546386719, 3.429692268371582, -0.0]
Most cashiers are flirted . <eos>	[4.987858772277832, 4.840167045593262, 6.3854079246521, 6.7704901695251465, 0.2104220986366272, 2.630582400797721e-07]	[5.728118896484375, 3.2655858993530273, 2.068859100341797, 15.228713035583496, 7.739330291748047, -0.0]
A lot of libraries were distracted . <eos>	[4.988658905029297, 7.243719100952148, 0.39984792470932007, 6.253978252410889, 3.9660913944244385, 5.694825172424316, 2.2333168983459473, 2.7110786504636053e-07]	[3.931680679321289, 6.360564708709717, 0.04458045959472656, 10.945844650268555, 2.414682388305664, 12.782341003417969, 2.888072967529297, -0.0]
A lot of libraries were communicated . <eos>	[4.989285469055176, 7.243104457855225, 0.3991869390010834, 6.2531843185424805, 3.9652798175811768, 5.695237159729004, 2.6175107955932617, 2.691506608698546e-07]	[3.9345569610595703, 6.356681823730469, 0.04449272155761719, 10.942390441894531, 2.4140777587890625, 12.511394500732422, 3.466568946838379, -0.0]
Kristen was n't visited . <eos>	[4.986755847930908, 5.628984451293945, 5.521091461181641, 5.6668195724487305, 1.7631192207336426, 2.7658722956402926e-07]	[12.608156204223633, 3.146026611328125, 6.439094543457031, 9.655499458312988, 3.79337215423584, -0.0]
Kristen was n't muttered . <eos>	[4.987187385559082, 5.628177642822266, 5.524614334106445, 5.6677703857421875, 3.948784112930298, 2.735084763116902e-07]	[12.593714714050293, 3.147939682006836, 6.4329376220703125, 4.762333869934082, 2.7471113204956055, -0.0]
Stephen was disliked . <eos>	[4.988666534423828, 5.866085052490234, 5.304368019104004, 1.6963908672332764, 2.684490709725651e-07]	[9.048766136169434, 3.4149580001831055, 11.58194351196289, 4.646392822265625, -0.0]
Stephen was laughed . <eos>	[4.989953994750977, 5.865067481994629, 5.305144786834717, 1.5910025835037231, 2.80143524378218e-07]	[9.049455642700195, 3.418426513671875, 12.727315902709961, 6.063714027404785, -0.0]
Steve is n't disliked . <eos>	[4.991793632507324, 5.882558822631836, 5.88282585144043, 5.579156398773193, 2.41074800491333, 2.7170912630936073e-07]	[9.112020492553711, 3.7083911895751953, 5.588336944580078, 11.000571250915527, 2.3422985076904297, -0.0]
Steve is n't lied . <eos>	[4.988367080688477, 5.882573127746582, 5.880884647369385, 5.57912540435791, 1.3500951528549194, 2.8092219395148277e-07]	[9.119340896606445, 3.7059459686279297, 5.592170715332031, 12.481082916259766, 3.377645492553711, -0.0]
The actresses were n't bored . <eos>	[4.99117374420166, 7.803590297698975, 5.254525661468506, 6.18820858001709, 5.874032020568848, 3.2250046730041504, 2.7768317067966564e-07]	[1.715611457824707, 12.312145233154297, 2.0610733032226562, 6.298703193664551, 9.215337753295898, 2.6478519439697266, -0.0]
The actresses were n't retaliated . <eos>	[4.9858317375183105, 7.803642272949219, 5.255225658416748, 6.187738418579102, 5.873907566070557, 1.6427128314971924, 2.761395876405004e-07]	[1.712174415588379, 12.311178207397461, 2.0624561309814453, 6.296053886413574, 15.487642288208008, 3.92510986328125, -0.0]
Mary was n't known . <eos>	[4.987922191619873, 6.054492950439453, 5.493797302246094, 5.801117897033691, 2.7825498580932617, 2.7819226033898303e-07]	[8.608948707580566, 2.9707584381103516, 7.0236053466796875, 5.3705034255981445, 3.634174346923828, -0.0]
Mary was n't cried . <eos>	[4.988335132598877, 6.055088996887207, 5.491842746734619, 5.800816535949707, 3.3518292903900146, 2.725702472616831e-07]	[8.603893280029297, 2.968393325805664, 7.026983261108398, 12.497058868408203, 1.8912811279296875, -0.0]
Many teachers are n't visited . <eos>	[4.9831061363220215, 5.778595924377441, 4.853620529174805, 6.1971564292907715, 5.947379112243652, 2.566110610961914, 2.679954889117653e-07]	[5.543913841247559, 7.8419508934021, 3.3038549423217773, 7.891468048095703, 11.236640930175781, 2.616870880126953, -0.0]
Many teachers are n't conspired . <eos>	[4.9876532554626465, 5.782740116119385, 4.855284690856934, 6.197269439697266, 5.945224761962891, 1.0086119174957275, 2.79836001482181e-07]	[5.544919013977051, 7.83748722076416, 3.30269718170166, 7.889103889465332, 16.959468841552734, 6.072332382202148, -0.0]
Leslie 's piano teachers were hired . <eos>	[4.9888691902160645, 6.294475555419922, 6.249911785125732, 5.355475425720215, 4.916163444519043, 6.351673126220703, 2.267807960510254, 2.7545434022613335e-07]	[10.404682159423828, 2.9704246520996094, 8.929389953613281, 6.364640235900879, 2.181889533996582, 4.9287214279174805, 5.764139175415039, -0.0]
Leslie 's piano teachers were flirted . <eos>	[4.990827560424805, 6.295623779296875, 6.247874736785889, 5.358575344085693, 4.918281555175781, 6.353008270263672, 0.3021402955055237, 2.7519158152244927e-07]	[10.385031700134277, 2.9669666290283203, 8.929818153381348, 6.378146171569824, 2.179133415222168, 13.189101219177246, 8.673066139221191, -0.0]
Most actors are described . <eos>	[4.989681720733643, 4.84222936630249, 4.84587287902832, 6.406089782714844, 1.7741048336029053, 2.6542085151959327e-07]	[5.727577209472656, 8.299129486083984, 2.416900634765625, 7.124440670013428, 6.414663314819336, -0.0]
Most actors are corresponded . <eos>	[4.988448619842529, 4.842589378356934, 4.844574928283691, 6.406394004821777, 2.2437803745269775, 2.714928086788859e-07]	[5.72664737701416, 8.299616813659668, 2.4161300659179688, 14.830109596252441, 6.171270370483398, -0.0]
Some guy 's granddaughter was investigated . <eos>	[4.988365173339844, 6.331395626068115, 6.8844685554504395, 7.524929046630859, 4.5521559715271, 6.110974311828613, 2.746321678161621, 2.684727178348112e-07]	[5.216241836547852, 12.243358612060547, 4.364228248596191, 12.011844635009766, 3.5221481323242188, 10.533710479736328, 2.3683109283447266, -0.0]
Some guy 's granddaughter was screamed . <eos>	[4.987574577331543, 6.332744121551514, 6.883248329162598, 7.525215148925781, 4.551831245422363, 6.110952854156494, 3.156620502471924, 2.764308533187432e-07]	[5.216809272766113, 12.248064041137695, 4.364955902099609, 12.012004852294922, 3.5205087661743164, 11.753134727478027, 2.8615798950195312, -0.0]
Edward was hurt . <eos>	[4.989276885986328, 6.123594284057617, 5.71798849105835, 2.4942245483398438, 2.7180766437595594e-07]	[8.583104133605957, 3.10929012298584, 10.070158004760742, 4.418318748474121, -0.0]
Edward was spoken up . <eos>	[4.9882001876831055, 6.125887870788574, 5.7161970138549805, 2.7807321548461914, 2.8853447437286377, 2.68870564923418e-07]	[8.581687927246094, 3.10929012298584, 10.76763916015625, 5.915496826171875, 6.39520263671875, -0.0]
All companies are bothered . <eos>	[4.986173152923584, 5.8217997550964355, 4.825336933135986, 6.060738563537598, 1.1354210376739502, 2.705250778944901e-07]	[5.910060882568359, 8.10637092590332, 2.039440155029297, 12.832218170166016, 5.785318374633789, -0.0]
All companies are argued . <eos>	[4.992427825927734, 5.819420337677002, 4.824375152587891, 6.060957431793213, 1.6579337120056152, 2.691693623546598e-07]	[5.907364845275879, 8.103652954101562, 2.0381011962890625, 12.217329978942871, 5.929991722106934, -0.0]
Winston Churchill 's French teachers are n't loved . <eos>	[4.989297866821289, 1.9327529668807983, 4.769489288330078, 6.898652076721191, 6.413158416748047, 5.230094909667969, 6.480381965637207, 6.041777610778809, 2.9578709602355957, 2.7887759301847836e-07]	[10.902995109558105, 0.27158546447753906, 2.6693801879882812, 7.665153503417969, 11.038350105285645, 5.105703353881836, 7.875040054321289, 9.797329902648926, 1.8760147094726562, -0.0]
Winston Churchill 's French teachers are n't clashed . <eos>	[4.989527702331543, 1.9305551052093506, 4.768180847167969, 6.898606300354004, 6.414783954620361, 5.2285051345825195, 6.479715347290039, 6.042464256286621, 1.954009771347046, 2.715254936447309e-07]	[10.894064903259277, 0.271331787109375, 2.6673526763916016, 7.666630744934082, 11.030231475830078, 5.105075836181641, 7.876420021057129, 15.940295219421387, 2.785919189453125, -0.0]
Vincent 's partners are n't astounded . <eos>	[4.989513874053955, 3.719674587249756, 6.8847198486328125, 4.933877944946289, 6.383879661560059, 5.949704170227051, 3.954608917236328, 2.6853632562051644e-07]	[10.071236610412598, 3.536214828491211, 8.7933931350708, 3.2285022735595703, 9.25144100189209, 4.2627973556518555, 1.7129850387573242, -0.0]
Vincent 's partners are n't waved . <eos>	[4.99002742767334, 3.713979721069336, 6.88814640045166, 4.935373306274414, 6.385045051574707, 5.949276924133301, 4.213465213775635, 2.7502852617544704e-07]	[10.064449310302734, 3.541842460632324, 8.787741661071777, 3.2265939712524414, 9.249521255493164, 16.239200592041016, 1.980952262878418, -0.0]
Bill was disturbed . <eos>	[4.9886274337768555, 6.074680328369141, 5.61277437210083, 1.68574857711792, 2.680233706087165e-07]	[8.784347534179688, 4.02464485168457, 10.126728057861328, 5.635280609130859, -0.0]
Bill was left . <eos>	[4.98996639251709, 6.074427127838135, 5.612358570098877, 4.160524368286133, 2.9751453212156775e-07]	[8.78123664855957, 4.035591125488281, 5.975735664367676, 7.955322265625, -0.0]
Cindy was insulted . <eos>	[4.988731861114502, 5.937902450561523, 5.474762916564941, 2.136622428894043, 2.579534736923961e-07]	[11.920997619628906, 3.694499969482422, 10.680318832397461, 4.418743133544922, -0.0]
Cindy was lied . <eos>	[4.991558074951172, 5.942770481109619, 5.477243423461914, 0.8284999132156372, 2.778710381790006e-07]	[11.914146423339844, 3.698230743408203, 13.952469825744629, 6.901500701904297, -0.0]
Jodi 's lawyers were praised . <eos>	[4.990811824798584, 5.226888179779053, 6.04463005065918, 5.321081161499023, 6.157543182373047, 1.389441728591919, 2.6103828076884383e-07]	[13.901493072509766, 4.13298225402832, 8.856447219848633, 2.2667999267578125, 7.255019187927246, 5.343761444091797, -0.0]
Jodi 's lawyers were struggled . <eos>	[4.990718841552734, 5.221428394317627, 6.04470157623291, 5.325314044952393, 6.157703876495361, 2.6502227783203125, 2.747890732734959e-07]	[13.904117584228516, 4.140626907348633, 8.854324340820312, 2.2698535919189453, 13.385041236877441, 4.533766746520996, -0.0]
Most adults ' mentees are n't admired . <eos>	[4.987414360046387, 4.838950157165527, 4.578219413757324, 6.826332092285156, 4.651582717895508, 6.553650379180908, 6.537697792053223, 2.8775572776794434, 2.6728633883976727e-07]	[5.726118087768555, 8.310232162475586, 6.063150405883789, 2.6484127044677734, 1.2440814971923828, 8.439550399780273, 10.868873596191406, 2.414799690246582, -0.0]
Most adults ' mentees are n't gone fishing . <eos>	[4.987296104431152, 4.84269380569458, 4.582534313201904, 6.827659606933594, 4.654431343078613, 6.553459167480469, 6.538128852844238, 2.6755576133728027, 2.9894566535949707, 2.7128240276397264e-07]	[5.725963592529297, 8.310625076293945, 6.058287620544434, 2.6470565795898438, 1.2459478378295898, 8.437006950378418, 7.520936012268066, 13.216171264648438, 1.5004539489746094, -0.0]
Paul was kissed . <eos>	[4.987683296203613, 6.182749271392822, 5.352847099304199, 1.063155174255371, 2.7041377848036063e-07]	[8.178129196166992, 3.4764938354492188, 12.767610549926758, 5.176831245422363, -0.0]
Paul was screamed . <eos>	[4.987351894378662, 6.182581901550293, 5.3526411056518555, 2.6663761138916016, 2.722310910030501e-07]	[8.171548843383789, 3.4801387786865234, 15.318194389343262, 4.411005020141602, -0.0]
Many patients were impressed . <eos>	[4.989981174468994, 5.782326698303223, 4.751176357269287, 6.125192642211914, 1.7582423686981201, 2.626221657919814e-07]	[5.544363021850586, 7.095891952514648, 3.2781639099121094, 7.286472320556641, 5.397729873657227, -0.0]
Many patients were chatted . <eos>	[4.990048408508301, 5.779003143310547, 4.752425193786621, 6.124736785888672, 4.281307220458984, 2.635542841744609e-07]	[5.547580718994141, 7.0938005447387695, 3.277070999145508, 3.5632104873657227, 3.253758430480957, -0.0]
Carl 's daughter is fired . <eos>	[4.988784313201904, 5.296065330505371, 6.564784049987793, 3.9503793716430664, 5.284730911254883, 2.802046537399292, 2.728624508563371e-07]	[9.707184791564941, 4.21434211730957, 5.155376434326172, 4.118158340454102, 9.192798614501953, 3.496316909790039, -0.0]
Carl 's daughter is shouted . <eos>	[4.988336563110352, 5.297853946685791, 6.565844535827637, 3.9472227096557617, 5.284623146057129, 3.0330026149749756, 2.794654392346274e-07]	[9.702312469482422, 4.211940765380859, 5.156655311584473, 4.120549201965332, 15.214447975158691, 4.150154113769531, -0.0]
The mother of Steve is annoyed . <eos>	[4.989696979522705, 7.803622245788574, 4.673291206359863, 4.585343837738037, 5.631004810333252, 5.477046966552734, 2.242967128753662, 2.783872332656756e-07]	[1.7130060195922852, 8.830971717834473, 1.826685905456543, 8.764784812927246, 3.923431396484375, 10.030084609985352, 3.7549819946289062, -0.0]
The mother of Steve is sighed . <eos>	[4.995170593261719, 7.80502986907959, 4.673450469970703, 4.5919647216796875, 5.631524562835693, 5.477813720703125, 3.7416157722473145, 2.697701120268903e-07]	[1.7135210037231445, 8.832063674926758, 1.8289337158203125, 8.75818157196045, 3.9235801696777344, 3.4802560806274414, 2.43233585357666, -0.0]
Kristin 's brothers are astounded . <eos>	[4.989049911499023, 5.8510942459106445, 4.966970443725586, 4.663203716278076, 6.248090744018555, 4.216570854187012, 2.6716477918853343e-07]	[13.094576835632324, 4.592061996459961, 7.655810832977295, 3.382645606994629, 3.5848093032836914, 3.42523193359375, -0.0]
Kristin 's brothers are corresponded . <eos>	[4.989480018615723, 5.8511552810668945, 4.967885971069336, 4.662456512451172, 6.247532844543457, 1.967200517654419, 2.670125525128242e-07]	[13.08560848236084, 4.594265937805176, 7.6550140380859375, 3.3814563751220703, 15.13175106048584, 6.837385177612305, -0.0]
Eric is n't described . <eos>	[4.9884209632873535, 6.1198272705078125, 5.925123691558838, 5.610387802124023, 1.5831148624420166, 2.7539056191017153e-07]	[9.52694320678711, 4.107080459594727, 6.242860794067383, 8.498744010925293, 3.9327611923217773, -0.0]
Eric is n't concurred . <eos>	[4.988083839416504, 6.11817741394043, 5.930989742279053, 5.609501838684082, 2.5897185802459717, 2.736404098868661e-07]	[9.53685474395752, 4.101766586303711, 6.242915153503418, 17.056350708007812, 2.493967056274414, -0.0]
Many dancers were n't disagreed with . <eos>	[4.989960670471191, 5.778709411621094, 5.035178184509277, 6.202114582061768, 6.037383079528809, 2.1304891109466553, 3.7888121604919434, 2.665734939455433e-07]	[5.547137260437012, 9.32461929321289, 3.1184844970703125, 7.825705528259277, 15.00282096862793, 0.6822433471679688, 3.869670867919922, -0.0]
Many dancers were n't worked hard . <eos>	[4.989388465881348, 5.78275203704834, 5.035039901733398, 6.201377868652344, 6.037359237670898, 3.5428638458251953, 2.981684684753418, 2.830610696946678e-07]	[5.544971466064453, 9.312278747558594, 3.119302749633789, 7.831520080566406, 9.047130584716797, 5.394962310791016, 2.432363510131836, -0.0]
Homer 's teachers were n't scanned . <eos>	[4.991793155670166, 5.3701653480529785, 7.326730728149414, 5.067509174346924, 6.755252361297607, 5.989845275878906, 3.158345937728882, 2.687285700631037e-07]	[9.871638298034668, 2.491082191467285, 8.112358093261719, 2.515674591064453, 6.428940773010254, 13.407356262207031, 1.9213247299194336, -0.0]
Homer 's teachers were n't clashed . <eos>	[4.988309383392334, 5.36789083480835, 7.32568359375, 5.066434860229492, 6.7546067237854, 5.988520622253418, 2.0494675636291504, 2.7295973836771736e-07]	[9.868648529052734, 2.490035057067871, 8.111235618591309, 2.5134754180908203, 6.430346488952637, 16.207059860229492, 2.8059921264648438, -0.0]
