Eric imagines himself taking every rug . <eos>	[5.545644760131836, 5.521859645843506, 3.790412664413452, 2.7445316314697266, 4.305706024169922, 6.379566669464111, 3.5507545471191406, 2.979072064590582e-07]	[9.710396766662598, 13.762720108032227, 1.9334840774536133, 6.286060333251953, 7.331254959106445, 11.765792846679688, 2.3596582412719727, -0.0]
Eric imagines himself took every rug . <eos>	[5.545644760131836, 5.521859645843506, 3.790412664413452, 2.7445316314697266, 4.121738433837891, 5.88116979598999, 3.409320831298828, 2.933732048404636e-07]	[9.710396766662598, 13.762720108032227, 1.9334840774536133, 13.13969612121582, 7.295809745788574, 11.96040153503418, 1.971750259399414, -0.0]
Stacy imagines herself praising this actress . <eos>	[5.545644760131836, 4.344740867614746, 3.826871395111084, 2.903794765472412, 3.953886032104492, 5.866997718811035, 2.5146913528442383, 2.7174075967195677e-07]	[12.689432144165039, 12.405656814575195, 3.605545997619629, 14.02340316772461, 6.207127571105957, 9.055545806884766, 1.0747489929199219, -0.0]
Stacy imagines herself praises this actress . <eos>	[5.545644760131836, 4.344740867614746, 3.826871395111084, 2.903794765472412, 4.4939422607421875, 5.523069381713867, 2.617912769317627, 2.723592444908718e-07]	[12.689432144165039, 12.405656814575195, 3.605545997619629, 16.624853134155273, 6.122437477111816, 10.222955703735352, 1.009674072265625, -0.0]
All pedestrians think about themselves exploring museums . <eos>	[5.545644760131836, 5.225571155548096, 4.548784255981445, 3.447066307067871, 4.550002574920654, 3.2676124572753906, 4.318665504455566, 2.6519594192504883, 2.7077376785200613e-07]	[8.75776481628418, 14.785523414611816, 10.81959056854248, 4.256726264953613, 5.826169967651367, 11.24665641784668, 11.388128280639648, 1.541346549987793, -0.0]
All pedestrians think about themselves explored museums . <eos>	[5.545644760131836, 5.225571155548096, 4.548784255981445, 3.447066307067871, 4.550002574920654, 3.2676124572753906, 3.6079843044281006, 2.766174077987671, 2.6963596155837877e-07]	[8.75776481628418, 14.785523414611816, 10.81959056854248, 4.256726264953613, 5.826169967651367, 15.127725601196289, 13.581201553344727, 1.1216907501220703, -0.0]
Cheryl is forgetting about herself thinking about Beverly . <eos>	[5.545644760131836, 5.4136247634887695, 5.655295372009277, 3.2253427505493164, 3.862598180770874, 2.9317774772644043, 3.1164302825927734, 4.351810455322266, 2.986476421356201, 2.8340303970253444e-07]	[12.247169494628906, 5.809521675109863, 13.528219223022461, 2.698418617248535, 5.785186767578125, 8.092809677124023, 1.3998279571533203, 10.032480239868164, 1.2875032424926758, -0.0]
Cheryl is forgetting about herself thought about Beverly . <eos>	[5.545644760131836, 5.4136247634887695, 5.655295372009277, 3.2253427505493164, 3.862598180770874, 2.9317774772644043, 3.657292366027832, 4.1752729415893555, 2.9445149898529053, 2.82017992958572e-07]	[12.247169494628906, 5.809521675109863, 13.528219223022461, 2.698418617248535, 5.785186767578125, 10.834002494812012, 2.849489212036133, 10.502939224243164, 1.3067092895507812, -0.0]
Some guests imagine themselves exploring a library . <eos>	[5.545644760131836, 5.850346565246582, 5.272321701049805, 3.788163661956787, 3.7456674575805664, 4.143707275390625, 6.950458526611328, 4.173662185668945, 2.7773012334364466e-07]	[9.399500846862793, 9.207576751708984, 10.142342567443848, 5.028923988342285, 8.910036087036133, 2.1296682357788086, 9.575639724731445, 2.30615234375, -0.0]
Some guests imagine themselves explored a library . <eos>	[5.545644760131836, 5.850346565246582, 5.272321701049805, 3.788163661956787, 3.7456674575805664, 3.6492538452148438, 6.252388000488281, 4.331404209136963, 2.7337503638591443e-07]	[9.399500846862793, 9.207576751708984, 10.142342567443848, 5.028923988342285, 13.00248908996582, 5.432828903198242, 10.745280265808105, 2.6212120056152344, -0.0]
Tonya is thinking about herself listening to Andrew . <eos>	[5.545644760131836, 5.360159873962402, 5.118947982788086, 2.57146954536438, 4.509015083312988, 3.256232738494873, 1.138156771659851, 5.168949127197266, 4.508359432220459, 2.689797611310496e-07]	[2.5537118911743164, 4.57382869720459, 11.675575256347656, 1.7654533386230469, 8.857583045959473, 10.604269027709961, 0.18612289428710938, 10.032526016235352, 3.146352767944336, -0.0]
Tonya is thinking about herself listened to Andrew . <eos>	[5.545644760131836, 5.360159873962402, 5.118947982788086, 2.57146954536438, 4.509015083312988, 3.256232738494873, 0.53480064868927, 4.779130935668945, 3.87884783744812, 2.717706024668587e-07]	[2.5537118911743164, 4.57382869720459, 11.675575256347656, 1.7654533386230469, 8.857583045959473, 15.439582824707031, 0.07149314880371094, 10.657404899597168, 3.4568004608154297, -0.0]
Christina has n't thought about herself noticing Sheila . <eos>	[5.545644760131836, 4.018689155578613, 4.835381507873535, 4.359584331512451, 3.7304718494415283, 4.512608051300049, 3.2962758541107178, 3.8093738555908203, 3.190002679824829, 2.8150145681138383e-07]	[12.043608665466309, 8.476161003112793, 7.249151229858398, 6.14704704284668, 3.2995948791503906, 4.75868034362793, 12.324742317199707, 11.048893928527832, 1.15106201171875, -0.0]
Christina has n't thought about herself notices Sheila . <eos>	[5.545644760131836, 4.018689155578613, 4.835381507873535, 4.359584331512451, 3.7304718494415283, 4.512608051300049, 3.2962758541107178, 4.108393669128418, 4.323237419128418, 2.8011973540742474e-07]	[12.043608665466309, 8.476161003112793, 7.249151229858398, 6.14704704284668, 3.2995948791503906, 4.75868034362793, 16.133289337158203, 12.936336517333984, 1.620950698852539, -0.0]
Ann would n't forget about herself passing banks . <eos>	[5.545644760131836, 3.152097702026367, 4.928225040435791, 4.4657793045043945, 3.596139669418335, 3.3360819816589355, 2.9072940349578857, 3.962299346923828, 3.7777786254882812, 2.788415258692112e-07]	[10.104745864868164, 9.05030632019043, 5.572522163391113, 5.844094276428223, 3.076610565185547, 6.13715934753418, 10.70398998260498, 14.811800003051758, 1.6133947372436523, -0.0]
Ann would n't forget about herself passed banks . <eos>	[5.545644760131836, 3.152097702026367, 4.928225040435791, 4.4657793045043945, 3.596139669418335, 3.3360819816589355, 2.9072940349578857, 3.7698259353637695, 3.657406806945801, 2.798750529109384e-07]	[10.104745864868164, 9.05030632019043, 5.572522163391113, 5.844094276428223, 3.076610565185547, 6.13715934753418, 13.365083694458008, 15.252580642700195, 1.603468894958496, -0.0]
These patients think about themselves concealing that girl . <eos>	[5.545644760131836, 6.692653656005859, 4.427962303161621, 3.246614694595337, 4.003228187561035, 3.443854808807373, 3.6333022117614746, 5.302041530609131, 3.6975903511047363, 2.738379976108263e-07]	[9.371075630187988, 8.116630554199219, 9.235125541687012, 3.760104179382324, 5.581354141235352, 12.9512300491333, 4.444124221801758, 10.073745727539062, 4.027831077575684, -0.0]
These patients think about themselves concealed that girl . <eos>	[5.545644760131836, 6.692653656005859, 4.427962303161621, 3.246614694595337, 4.003228187561035, 3.443854808807373, 3.061706066131592, 3.79630708694458, 5.854992866516113, 2.7527212864697503e-07]	[9.371075630187988, 8.116630554199219, 9.235125541687012, 3.760104179382324, 5.581354141235352, 11.837364196777344, 4.280169486999512, 12.068143844604492, 5.491985321044922, -0.0]
That association is forgetting about itself impressing Renee . <eos>	[5.545644760131836, 5.165491104125977, 4.671856880187988, 5.828653335571289, 3.2775540351867676, 4.343512535095215, 3.2356929779052734, 4.478115081787109, 4.82183837890625, 2.659066922205966e-07]	[9.64459228515625, 9.542623519897461, 2.1050148010253906, 13.525238037109375, 3.5649967193603516, 6.623750686645508, 14.39116382598877, 14.360140800476074, 1.762228012084961, -0.0]
That association is forgetting about itself impresses Renee . <eos>	[5.545644760131836, 5.165491104125977, 4.671856880187988, 5.828653335571289, 3.2775540351867676, 4.343512535095215, 3.2356929779052734, 4.788135528564453, 5.193545818328857, 2.632039866057312e-07]	[9.64459228515625, 9.542623519897461, 2.1050148010253906, 13.525238037109375, 3.5649967193603516, 6.623750686645508, 5.571559906005859, 14.976968765258789, 2.0550966262817383, -0.0]
Some teachers imagine themselves bringing many carriages . <eos>	[5.545644760131836, 5.850346565246582, 5.143336772918701, 3.425990581512451, 3.619931697845459, 4.756850242614746, 5.3250017166137695, 3.106898784637451, 2.8497714765762794e-07]	[9.399500846862793, 8.739990234375, 10.361224174499512, 4.284497261047363, 8.052974700927734, 6.279619216918945, 11.913604736328125, 3.354461669921875, -0.0]
Some teachers imagine themselves brought many carriages . <eos>	[5.545644760131836, 5.850346565246582, 5.143336772918701, 3.425990581512451, 3.619931697845459, 2.659280776977539, 4.149106025695801, 2.940333843231201, 2.796658691295306e-07]	[9.399500846862793, 8.739990234375, 10.361224174499512, 4.284497261047363, 9.602205276489258, 9.880480766296387, 14.418338775634766, 3.1447534561157227, -0.0]
