Paula references Robert . <eos>	[5.545644760131836, 4.415329933166504, 4.486451148986816, 5.955746173858643, 2.721431542340724e-07]	[11.96435546875, 13.808210372924805, 8.06200122833252, 4.590014457702637, -0.0]
Paula reference Robert . <eos>	[5.545644760131836, 4.415329933166504, 4.4884724617004395, 6.11433219909668, 2.7146785441800603e-07]	[11.96435546875, 16.12312126159668, 9.494504928588867, 6.123588562011719, -0.0]
Most legislatures have n't disliked children . <eos>	[5.545644760131836, 5.654247283935547, 4.794010162353516, 5.626247882843018, 5.095760345458984, 3.660088062286377, 3.1384243965148926, 2.6776632466862793e-07]	[10.129074096679688, 12.145853996276855, 3.699204444885254, 7.903713226318359, 11.718505859375, 10.316471099853516, 1.1293487548828125, -0.0]
Most legislatures has n't disliked children . <eos>	[5.545644760131836, 5.654247283935547, 4.794010162353516, 5.364753723144531, 4.852389335632324, 3.6708106994628906, 3.175262928009033, 2.667987928361981e-07]	[10.129074096679688, 12.145853996276855, 5.963863372802734, 7.413613319396973, 11.642324447631836, 10.395716667175293, 1.1889142990112305, -0.0]
Some organizations are n't disturbing Vanessa . <eos>	[5.545644760131836, 5.850346565246582, 5.01991081237793, 6.228147983551025, 6.2654619216918945, 4.060680389404297, 3.324516773223877, 2.613875835777435e-07]	[9.399500846862793, 7.08458137512207, 2.9993553161621094, 7.55647087097168, 11.953268051147461, 15.422632217407227, 1.1521177291870117, -0.0]
Some organizations is n't disturbing Vanessa . <eos>	[5.545644760131836, 5.850346565246582, 5.01991081237793, 6.238324165344238, 6.282876014709473, 3.806907892227173, 3.5126428604125977, 2.6245731987728504e-07]	[9.399500846862793, 7.08458137512207, 8.534616470336914, 7.313071250915527, 11.668743133544922, 15.367502212524414, 1.183115005493164, -0.0]
The cups alarm Angela . <eos>	[5.545644760131836, 7.150014877319336, 4.432913780212402, 6.015795707702637, 6.028958320617676, 2.765298745543987e-07]	[5.106276512145996, 14.524452209472656, 16.817899703979492, 17.186128616333008, 2.9922332763671875, -0.0]
The cups alarms Angela . <eos>	[5.545644760131836, 7.150014877319336, 4.432913780212402, 4.525834083557129, 5.096277236938477, 2.6458008051122306e-07]	[5.106276512145996, 14.524452209472656, 15.998601913452148, 11.979676246643066, 2.4067516326904297, -0.0]
Tina is n't ascending that mountain . <eos>	[5.545644760131836, 3.397726535797119, 5.581650257110596, 5.526119709014893, 3.2320785522460938, 5.786913871765137, 3.6607584953308105, 2.811153478887718e-07]	[11.781136512756348, 6.258042335510254, 4.467339515686035, 14.20002269744873, 6.037666320800781, 7.80228328704834, 1.2125558853149414, -0.0]
Tina were n't ascending that mountain . <eos>	[5.545644760131836, 3.397726535797119, 6.296371936798096, 6.071937084197998, 3.397624969482422, 5.704160690307617, 3.8380799293518066, 2.800925926749187e-07]	[11.781136512756348, 9.099678039550781, 5.077966690063477, 14.588014602661133, 6.024752616882324, 7.696939945220947, 1.2441120147705078, -0.0]
The Borgias see Veronica . <eos>	[5.545644760131836, 7.150014877319336, 6.256845474243164, 5.174904823303223, 4.438709259033203, 2.7214019837629166e-07]	[5.106276512145996, 1.6874046325683594, 10.000329971313477, 11.668339729309082, 2.9014997482299805, -0.0]
The Borgias sees Veronica . <eos>	[5.545644760131836, 7.150014877319336, 6.256845474243164, 4.802826881408691, 4.376408100128174, 2.7354212761565577e-07]	[5.106276512145996, 1.6874046325683594, 9.967964172363281, 10.785601615905762, 4.659724235534668, -0.0]
Jeffrey has n't criticized Donald . <eos>	[5.545644760131836, 5.576028347015381, 5.0729265213012695, 4.695006847381592, 4.201669216156006, 1.9917926788330078, 2.741373634762567e-07]	[11.346118927001953, 7.827307224273682, 7.280366897583008, 9.553035736083984, 7.749842166900635, 4.89360237121582, -0.0]
