Michelle could see herself . <eos>	[5.545644760131836, 5.542261123657227, 4.383063316345215, 4.685342788696289, 3.4235410690307617, 2.856111791516014e-07]	[11.86597728729248, 10.197025299072266, 4.343432426452637, 5.212535858154297, 2.2714405059814453, -0.0]	Michelle could see himself . <eos>	[4.991613388061523, 6.21772575378418, 3.190971851348877, 5.083244323730469, 4.343550682067871, 2.9296981551851786e-07]	[11.005334854125977, 9.40286636352539, 4.36457633972168, 5.95195198059082, 5.230657577514648, -0.0]
Alexander has revealed himself . <eos>	[4.994808197021484, 5.818023681640625, 4.903586387634277, 2.791142702102661, 2.2739202976226807, 2.7232528054810246e-07]	[8.761465072631836, 5.439605712890625, 7.800175666809082, 4.146563529968262, 8.897603988647461, -0.0]	Alexander has revealed itself . <eos>	[4.989858627319336, 5.817788124084473, 4.902605056762695, 2.7921910285949707, 1.7562100887298584, 2.6814660714080674e-07]	[8.765427589416504, 5.4387311935424805, 7.799349784851074, 7.266441345214844, 9.807123184204102, -0.0]
Adam had helped himself . <eos>	[4.988905429840088, 5.790007591247559, 5.004100799560547, 5.461213111877441, 4.4191741943359375, 2.792805275930732e-07]	[9.3909273147583, 5.79566764831543, 7.123268127441406, 7.140099048614502, 6.351646423339844, -0.0]	Adam had helped itself . <eos>	[4.99142599105835, 5.78729248046875, 5.003643989562988, 5.461118698120117, 4.271116256713867, 2.82911116755713e-07]	[9.395807266235352, 5.788951873779297, 7.122492790222168, 12.226037979125977, 7.070516586303711, -0.0]
Curtis disgusted himself . <eos>	[4.990169525146484, 5.595789909362793, 6.349363803863525, 2.815373420715332, 2.6378401685178687e-07]	[10.244222640991211, 14.716833114624023, 7.463552474975586, 4.261801719665527, -0.0]	Curtis disgusted herself . <eos>	[4.988916873931885, 5.599942207336426, 6.3534440994262695, 2.8113608360290527, 2.6392328322799585e-07]	[10.242561340332031, 14.712164878845215, 9.003866195678711, 4.323613166809082, -0.0]
Carl has discussed himself . <eos>	[4.988974571228027, 5.295346260070801, 5.009523868560791, 5.295689582824707, 2.093613862991333, 2.750617795754806e-07]	[9.698583602905273, 5.478911399841309, 7.744688987731934, 5.221025466918945, 6.871340751647949, -0.0]	Carl has discussed itself . <eos>	[4.990162372589111, 5.29289436340332, 5.010364532470703, 5.2947893142700195, 2.0919761657714844, 2.741244600201753e-07]	[9.700675010681152, 5.48371696472168, 7.74307918548584, 7.155111312866211, 6.970179557800293, -0.0]
Paula praised herself . <eos>	[4.989709377288818, 5.443944931030273, 4.023260116577148, 2.554917097091675, 2.70494695087109e-07]	[11.253731727600098, 12.106112480163574, 6.831948280334473, 4.552040100097656, -0.0]	Paula praised itself . <eos>	[4.989804267883301, 5.445106506347656, 4.029610633850098, 2.305372953414917, 2.612325715745101e-07]	[11.24545955657959, 12.107489585876465, 10.216848373413086, 4.831021308898926, -0.0]
Sonia is n't complaining about herself . <eos>	[4.989534378051758, 5.77851676940918, 5.299077987670898, 5.407365322113037, 1.3224196434020996, 3.860767364501953, 2.486453056335449, 2.809958061789075e-07]	[12.023662567138672, 2.677722930908203, 6.577663421630859, 10.486716270446777, 0.26352882385253906, 5.894069671630859, 1.2150287628173828, -0.0]	Sonia is n't complaining about itself . <eos>	[4.99195671081543, 5.7793169021606445, 5.297849655151367, 5.406257629394531, 1.3235116004943848, 3.860260248184204, 2.269987106323242, 2.7750820663641207e-07]	[12.010486602783203, 2.6759510040283203, 6.579549789428711, 10.487913131713867, 0.2637462615966797, 9.758384704589844, 0.9713039398193359, -0.0]
Michelle didn't flee from herself . <eos>	[4.990804672241211, 6.218421459197998, 5.357295036315918, 2.511054754257202, 4.189969062805176, 2.9430956840515137, 2.802155165682052e-07]	[11.013696670532227, 2.001593589782715, 17.848302841186523, 1.7486629486083984, 10.302337646484375, 2.4070262908935547, -0.0]	Michelle didn't flee from itself . <eos>	[4.988672733306885, 6.218124866485596, 5.356624603271484, 2.5111947059631348, 4.189345359802246, 3.13435697555542, 2.817189397319453e-07]	[11.012754440307617, 2.0021581649780273, 17.849971771240234, 1.7489643096923828, 12.768522262573242, 2.2364025115966797, -0.0]
Richard has described himself . <eos>	[4.989541053771973, 6.328597545623779, 5.040317058563232, 4.449374198913574, 0.3990880846977234, 2.7917934630750096e-07]	[8.018918991088867, 5.210707664489746, 4.861167907714844, 2.2199010848999023, 9.890174865722656, -0.0]	Richard has described herself . <eos>	[4.990780353546143, 6.329524040222168, 5.040189743041992, 4.449759483337402, 0.36857977509498596, 2.7295419613437844e-07]	[8.01331615447998, 5.2114105224609375, 4.862700462341309, 4.37432861328125, 9.74834156036377, -0.0]
Maria talked to herself . <eos>	[4.9899139404296875, 5.199376583099365, 3.262247085571289, 4.649317741394043, 3.5081262588500977, 2.733100359364471e-07]	[9.762768745422363, 11.34992504119873, 1.0711183547973633, 5.505565643310547, 4.896529197692871, -0.0]	Maria talked to himself . <eos>	[4.988938808441162, 5.1997904777526855, 3.2645087242126465, 4.650775909423828, 3.6811635494232178, 2.760708639470977e-07]	[9.756845474243164, 11.34265422821045, 1.0723543167114258, 6.166864395141602, 4.886771202087402, -0.0]
