Lucille 's sisters are confused by Amy . <eos>	[5.545644760131836, 3.08530592918396, 6.694046497344971, 3.5731472969055176, 6.466033458709717, 2.56481671333313, 3.4473328590393066, 2.4234931468963623, 2.7233099331169797e-07]	[12.931730270385742, 2.6926774978637695, 7.995484828948975, 5.245854377746582, 9.235401153564453, 1.9059419631958008, 8.809577941894531, 2.0242061614990234, -0.0]	Lucille 's sisters are communicated by Amy . <eos>	[4.989968299865723, 3.7374751567840576, 6.533302307128906, 5.007088661193848, 6.39213752746582, 1.4836190938949585, 6.016028881072998, 4.424448013305664, 2.782448689231387e-07]	[12.467209815979004, 3.786280632019043, 7.982880592346191, 3.2716856002807617, 13.694076538085938, 2.035816192626953, 6.781896591186523, 3.968210220336914, -0.0]
A lot of hospitals were astounded by some actress . <eos>	[4.987700462341309, 7.243158340454102, 0.39976876974105835, 6.252161026000977, 3.728947877883911, 4.7552595138549805, 3.8631443977355957, 4.535651206970215, 6.205942153930664, 3.702061176300049, 2.638249156916572e-07]	[3.9319982528686523, 6.358551025390625, 0.04456329345703125, 9.740523338317871, 2.032867431640625, 4.751368522644043, 3.394725799560547, 5.584188461303711, 12.398722648620605, 1.781057357788086, -0.0]	A lot of hospitals were cooperated by some actress . <eos>	[4.989607334136963, 7.243948936462402, 0.39979851245880127, 6.252767562866211, 3.7291572093963623, 4.757131099700928, 2.456167221069336, 3.553246021270752, 5.2149977684021, 3.8161978721618652, 2.714886591093091e-07]	[3.932880401611328, 6.361372470855713, 0.04457664489746094, 9.7422456741333, 2.0323734283447266, 14.047647476196289, 2.6671009063720703, 5.552330017089844, 13.413097381591797, 2.081907272338867, -0.0]
Larry 's oncologists are n't helped by Spain . <eos>	[4.9876909255981445, 6.251811981201172, 6.725737571716309, 6.906805038452148, 6.546988010406494, 6.162810325622559, 2.7355687618255615, 4.860082149505615, 1.8355231285095215, 2.764468831628619e-07]	[9.828824043273926, 4.2018280029296875, 3.69185733795166, 3.430999755859375, 6.144807815551758, 8.763917922973633, 0.7477531433105469, 12.739500045776367, 2.7956809997558594, -0.0]	Larry 's oncologists are n't struggled by Spain . <eos>	[4.990977764129639, 6.2539262771606445, 6.7267889976501465, 6.907331466674805, 6.547865867614746, 6.162795066833496, 3.270993232727051, 4.951589584350586, 2.406590700149536, 2.781386569949973e-07]	[9.82539176940918, 4.193938255310059, 3.6907663345336914, 3.4349584579467773, 6.140570640563965, 14.769071578979492, 2.61956787109375, 11.892919540405273, 2.4339160919189453, -0.0]
Jeffrey 's sons are insulted by Tina 's supervisor . <eos>	[4.989843845367432, 6.154102325439453, 6.496829986572266, 4.862877368927002, 6.266716957092285, 2.8791093826293945, 4.30897331237793, 2.12800669670105, 6.706136703491211, 2.8028485774993896, 2.7898593657482706e-07]	[10.642509460449219, 3.963953971862793, 6.329941749572754, 3.4516124725341797, 15.307913780212402, 0.8952226638793945, 9.956735610961914, 0.47577857971191406, 15.511651992797852, 1.950307846069336, -0.0]	Jeffrey 's sons are smiled by Tina 's supervisor . <eos>	[4.992393970489502, 6.153592109680176, 6.496305465698242, 4.864274024963379, 6.268666744232178, 2.8581457138061523, 3.9766438007354736, 2.906252384185791, 6.254709720611572, 2.877525806427002, 2.783772288239561e-07]	[10.636638641357422, 3.9592857360839844, 6.325387001037598, 3.4488277435302734, 17.063152313232422, 2.1996002197265625, 10.613091468811035, 1.4278507232666016, 12.908157348632812, 2.1442346572875977, -0.0]
Tracy is n't fired by Jodi 's daughter . <eos>	[4.989511489868164, 5.9074296951293945, 5.757900714874268, 5.562625885009766, 3.2336575984954834, 5.331298828125, 3.4755330085754395, 6.345433235168457, 3.78570818901062, 2.869776096758869e-07]	[10.276798248291016, 2.5360679626464844, 6.453893661499023, 7.249102592468262, 2.1329174041748047, 11.172384262084961, 2.1745996475219727, 5.102668762207031, 1.8188390731811523, -0.0]	Tracy is n't muttered by Jodi 's daughter . <eos>	[4.990676403045654, 5.907184600830078, 5.758376121520996, 5.5616350173950195, 3.928372859954834, 5.014441967010498, 3.373786687850952, 6.694727420806885, 3.9113216400146484, 2.848352096407325e-07]	[10.279343605041504, 2.536379814147949, 6.453787803649902, 4.275239944458008, 2.970315933227539, 12.434404373168945, 1.5258235931396484, 5.170191764831543, 2.0209579467773438, -0.0]
Eva 's bosses were n't cared for by drivers . <eos>	[4.988039493560791, 5.650493144989014, 6.6900177001953125, 4.661499500274658, 6.531002044677734, 5.990360260009766, 0.5954585671424866, 2.3320422172546387, 4.5506110191345215, 2.8904967308044434, 2.6695286692302034e-07]	[11.467973709106445, 2.646160125732422, 11.182746887207031, 1.7052583694458008, 6.514050483703613, 9.552576065063477, 0.09457778930664062, 0.9359931945800781, 12.752275466918945, 1.4330158233642578, -0.0]	Eva 's bosses were n't interacted by drivers . <eos>	[4.99101448059082, 5.648672580718994, 6.6881256103515625, 4.661914825439453, 6.530618190765381, 5.9906110763549805, 1.41615891456604, 4.071544170379639, 3.303049325942993, 2.724647742979869e-07]	[11.480018615722656, 2.647563934326172, 11.178853034973145, 1.7058258056640625, 6.514427185058594, 14.443784713745117, 3.4356746673583984, 12.791778564453125, 1.7886276245117188, -0.0]
Some guys are disgusted by Angela . <eos>	[4.991329669952393, 6.334936141967773, 4.995471477508545, 6.237368583679199, 2.1920270919799805, 3.849668025970459, 1.995272159576416, 2.682220099359256e-07]	[5.220247268676758, 9.58793830871582, 2.8466644287109375, 7.907285690307617, 1.0167713165283203, 10.361974716186523, 3.144124984741211, -0.0]	Some guys are corresponded by Angela . <eos>	[4.991040229797363, 6.334306716918945, 4.994054794311523, 6.236745834350586, 2.2646384239196777, 5.70980167388916, 4.3327436447143555, 2.762685085144767e-07]	[5.219023704528809, 9.592808723449707, 2.8458595275878906, 17.06224822998047, 2.575603485107422, 12.277642250061035, 2.595778465270996, -0.0]
That guest 's supervisor was n't disliked by Wayne 's partners . <eos>	[4.989186763763428, 4.979287147521973, 5.224628448486328, 5.6604766845703125, 4.927855491638184, 6.44498872756958, 5.596922874450684, 2.6994547843933105, 4.366885185241699, 4.714693546295166, 6.248819828033447, 2.443291664123535, 2.665458396222675e-07]	[6.274713516235352, 11.656103134155273, 3.536653518676758, 10.796238899230957, 2.21893310546875, 6.828072547912598, 11.309794425964355, 1.36083984375, 8.391351699829102, 2.336301803588867, 7.794371604919434, 1.27764892578125, -0.0]	That guest 's supervisor was n't screamed by Wayne 's partners . <eos>	[4.988093852996826, 4.9741411209106445, 5.222951889038086, 5.660031318664551, 4.926090240478516, 6.446062088012695, 5.5984416007995605, 3.26320743560791, 4.2101263999938965, 4.048905372619629, 6.497759819030762, 2.73138427734375, 2.7087725129604223e-07]	[6.274968147277832, 11.66939926147461, 3.541250228881836, 10.793424606323242, 2.216083526611328, 6.841621398925781, 13.017592430114746, 2.0220603942871094, 8.269783973693848, 2.8380661010742188, 7.757575035095215, 1.4858589172363281, -0.0]
Curtis was distracted by these high schools . <eos>	[4.989042282104492, 5.597318172454834, 5.164803981781006, 1.2959182262420654, 4.130066871643066, 6.761914253234863, 5.911677837371826, 3.735076904296875, 2.718664120493486e-07]	[10.234743118286133, 2.0433349609375, 9.98712158203125, 0.2908058166503906, 6.490792274475098, 6.580525875091553, 4.637048721313477, 2.6894617080688477, -0.0]	Curtis was argued by these high schools . <eos>	[4.990443706512451, 5.598254203796387, 5.164259433746338, 2.373680591583252, 5.0473103523254395, 6.22757625579834, 4.529832363128662, 3.0784573554992676, 2.749486611719476e-07]	[10.235980987548828, 2.04434871673584, 12.080327987670898, 1.744964599609375, 7.018874168395996, 6.0341691970825195, 1.5948991775512695, 4.026849746704102, -0.0]
David was n't disgusted by these hospitals . <eos>	[4.9918694496154785, 6.405392646789551, 5.385005474090576, 5.668150901794434, 1.8779834508895874, 3.2341790199279785, 6.406371116638184, 2.9882874488830566, 2.7116414003103273e-07]	[7.8432936668396, 3.9539690017700195, 6.850773811340332, 9.420348167419434, 0.9600296020507812, 4.614581108093262, 13.139705657958984, 1.9545230865478516, -0.0]	David was n't shouted by these hospitals . <eos>	[4.990253925323486, 6.404913425445557, 5.387986660003662, 5.668160438537598, 3.262639045715332, 4.568090915679932, 6.62337064743042, 3.15193510055542, 2.730549226725998e-07]	[7.844935417175293, 3.947324752807617, 6.853815078735352, 12.478759765625, 1.6250381469726562, 5.665396690368652, 10.070741653442383, 1.6349096298217773, -0.0]
The students were n't approached by Amy . <eos>	[4.988742828369141, 7.805113792419434, 5.135130405426025, 6.056612014770508, 5.41054630279541, 3.0571677684783936, 4.136814117431641, 4.295910358428955, 2.7345038233761443e-07]	[1.7118444442749023, 7.939157485961914, 2.617722511291504, 7.36756706237793, 8.99971866607666, 1.1776561737060547, 11.133528709411621, 2.7778091430664062, -0.0]	The students were n't shouted by Amy . <eos>	[4.9896440505981445, 7.803605079650879, 5.134783744812012, 6.057077884674072, 5.41100549697876, 3.6404643058776855, 4.574295997619629, 3.559304714202881, 2.6813324893737445e-07]	[1.7113409042358398, 7.937851905822754, 2.6175012588500977, 7.367585182189941, 13.640449523925781, 2.0346298217773438, 10.759895324707031, 2.145679473876953, -0.0]
