Who have those men revealed they helped ? <eos>	[5.545644760131836, 4.913530349731445, 5.492509841918945, 5.1551971435546875, 4.160799980163574, 3.3039093017578125, 4.006857872009277, 5.017953395843506, 5.666527727044013e-07]	[11.848838806152344, 5.313780784606934, 7.4857048988342285, 6.888127326965332, 9.376800537109375, 4.7427978515625, 8.408727645874023, 6.060720443725586, -0.0]	Who have those men revealed who helped ? <eos>	[5.545644760131836, 4.913530349731445, 5.492509841918945, 5.1551971435546875, 4.160799980163574, 3.3039093017578125, 4.966655254364014, 4.730264186859131, 7.095026148817851e-07]	[11.848838806152344, 5.313780784606934, 7.4857048988342285, 6.888127326965332, 9.376800537109375, 5.73774528503418, 7.392220497131348, 5.610008239746094, -0.0]
Who is n't Craig realizing he kisses ? <eos>	[5.545644760131836, 4.913530349731445, 4.695950984954834, 4.83109188079834, 4.5592498779296875, 3.213597297668457, 3.409452438354492, 4.035501956939697, 3.720770678228291e-07]	[11.848838806152344, 2.460956573486328, 5.393953323364258, 12.695720672607422, 11.615608215332031, 2.7989892959594727, 12.163722038269043, 8.618860244750977, -0.0]	Who is n't Craig realizing who kisses ? <eos>	[5.545644760131836, 4.913530349731445, 4.695950984954834, 4.83109188079834, 4.5592498779296875, 3.213597297668457, 4.653191566467285, 2.621716260910034, 3.678694042719144e-07]	[11.848838806152344, 2.460956573486328, 5.393953323364258, 12.695720672607422, 11.615608215332031, 4.6346588134765625, 10.583731651306152, 8.028152465820312, -0.0]
Who are those associations discovering they saw ? <eos>	[5.545644760131836, 4.913530349731445, 5.924190521240234, 4.027098655700684, 3.0783028602600098, 4.733495712280273, 3.6531572341918945, 4.62009334564209, 3.450967938078975e-07]	[11.848838806152344, 5.00584602355957, 6.156429290771484, 11.635272979736328, 12.330696105957031, 4.604396820068359, 7.283285140991211, 6.782010078430176, -0.0]	Who are those associations discovering who saw ? <eos>	[5.545644760131836, 4.913530349731445, 5.924190521240234, 4.027098655700684, 3.0783028602600098, 4.733495712280273, 5.439061164855957, 4.101727485656738, 3.746552295069705e-07]	[11.848838806152344, 5.00584602355957, 6.156429290771484, 11.635272979736328, 12.330696105957031, 5.646167755126953, 6.91822624206543, 5.591683387756348, -0.0]
What was n't Nicole discovering she climbed down ? <eos>	[5.545644760131836, 4.401399612426758, 5.2688446044921875, 5.1073455810546875, 4.831712245941162, 4.499048233032227, 3.0850534439086914, 3.9912428855895996, 3.233149528503418, 3.7147833609196823e-07]	[10.586628913879395, 2.8251953125, 5.541464805603027, 15.162070274353027, 12.044188499450684, 4.202449798583984, 11.39661979675293, 3.9212589263916016, 5.428499221801758, -0.0]	What was n't Nicole discovering who climbed down ? <eos>	[5.545644760131836, 4.401399612426758, 5.2688446044921875, 5.1073455810546875, 4.831712245941162, 4.499048233032227, 4.3248186111450195, 3.4170329570770264, 3.1449174880981445, 5.01507088301878e-07]	[10.586628913879395, 2.8251953125, 5.541464805603027, 15.162070274353027, 12.044188499450684, 6.277990341186523, 10.925430297851562, 4.585260391235352, 3.899454116821289, -0.0]
What could Alan discover he has run around ? <eos>	[5.545644760131836, 4.401399612426758, 2.9679527282714844, 5.310695648193359, 4.126361846923828, 3.865363121032715, 4.685850143432617, 4.2538957595825195, 3.881540298461914, 4.3198915022912843e-07]	[10.586628913879395, 5.246374130249023, 13.057448387145996, 10.33277702331543, 5.815255165100098, 3.429231643676758, 8.273468017578125, 4.208056449890137, 2.3664512634277344, -0.0]	What could Alan discover who has run around ? <eos>	[5.545644760131836, 4.401399612426758, 2.9679527282714844, 5.310695648193359, 4.126361846923828, 4.466113090515137, 4.549183368682861, 4.405423641204834, 3.9069437980651855, 4.79166544664622e-07]	[10.586628913879395, 5.246374130249023, 13.057448387145996, 10.33277702331543, 5.134182929992676, 3.372671127319336, 6.445562362670898, 4.852025985717773, 2.073735237121582, -0.0]
Who should n't Andrew find out he was embarrassing ? <eos>	[5.545644760131836, 4.913530349731445, 5.106291770935059, 4.557535648345947, 5.402681350708008, 4.361992835998535, 3.3657665252685547, 3.472900867462158, 5.564425468444824, 3.3671460151672363, 3.3241795449612255e-07]	[11.848838806152344, 5.962506294250488, 4.642397880554199, 13.601531982421875, 7.632134437561035, 2.0511598587036133, 5.103084564208984, 1.9094696044921875, 11.73690414428711, 4.529294967651367, -0.0]	Who should n't Andrew find out what was embarrassing ? <eos>	[5.545644760131836, 4.913530349731445, 5.106291770935059, 4.557535648345947, 5.402681350708008, 4.361992835998535, 3.3657665252685547, 4.352574348449707, 3.775320053100586, 2.9542183876037598, 3.381569229077286e-07]	[11.848838806152344, 5.962506294250488, 4.642397880554199, 13.601531982421875, 7.632134437561035, 2.0511598587036133, 1.4947528839111328, 3.5165882110595703, 9.021053314208984, 2.2667407989501953, -0.0]
What was this woman revealing she would examine ? <eos>	[5.545644760131836, 4.401399612426758, 5.2688446044921875, 6.707763671875, 3.8991167545318604, 3.954152822494507, 3.255100965499878, 3.913154125213623, 3.580176830291748, 3.189301196471206e-07]	[10.586628913879395, 2.8251953125, 5.133606910705566, 6.759250640869141, 10.237590789794922, 4.032449722290039, 3.103870391845703, 10.546884536743164, 5.553169250488281, -0.0]	What was this woman revealing who would examine ? <eos>	[5.545644760131836, 4.401399612426758, 5.2688446044921875, 6.707763671875, 3.8991167545318604, 3.954152822494507, 4.669347286224365, 4.624396324157715, 3.209097146987915, 3.5796188058156986e-07]	[10.586628913879395, 2.8251953125, 5.133606910705566, 6.759250640869141, 10.237590789794922, 5.322710037231445, 3.5100975036621094, 9.123579025268555, 5.811057090759277, -0.0]
What did n't Edward conceal he has n't noticed ? <eos>	[5.545644760131836, 4.401399612426758, 3.943892240524292, 4.931407451629639, 5.365237236022949, 3.868664264678955, 4.335236072540283, 5.007129192352295, 4.840758323669434, 3.346249580383301, 3.874145022564335e-07]	[10.586628913879395, 5.901976585388184, 3.3830718994140625, 11.29849624633789, 11.728059768676758, 5.525738716125488, 4.224859237670898, 3.69205379486084, 6.991379737854004, 2.1044578552246094, -0.0]	What did n't Edward conceal who has n't noticed ? <eos>	[5.545644760131836, 4.401399612426758, 3.943892240524292, 4.931407451629639, 5.365237236022949, 3.868664264678955, 4.808056831359863, 4.949334621429443, 4.890471458435059, 4.285793304443359, 4.2623500462468655e-07]	[10.586628913879395, 5.901976585388184, 3.3830718994140625, 11.29849624633789, 11.728059768676758, 6.095160484313965, 4.208324432373047, 4.755826950073242, 6.91010856628418, 3.254791259765625, -0.0]
Who had n't Tanya known she had n't visited ? <eos>	[5.545644760131836, 4.913530349731445, 5.477552890777588, 5.039706230163574, 5.042666912078857, 3.6162405014038086, 3.6802561283111572, 5.130217552185059, 4.972477436065674, 4.325252056121826, 4.306951950638904e-07]	[11.848838806152344, 3.569822311401367, 5.664806365966797, 15.305234909057617, 10.532798767089844, 5.798138618469238, 2.304492950439453, 4.83736515045166, 6.463793754577637, 5.502691268920898, -0.0]	Who had n't Tanya known who had n't visited ? <eos>	[5.545644760131836, 4.913530349731445, 5.477552890777588, 5.039706230163574, 5.042666912078857, 3.6162405014038086, 4.673694610595703, 4.986767768859863, 4.852146148681641, 4.108121871948242, 4.794170536115416e-07]	[11.848838806152344, 3.569822311401367, 5.664806365966797, 15.305234909057617, 10.532798767089844, 4.325074195861816, 1.9665069580078125, 5.234225273132324, 6.353255271911621, 6.274600028991699, -0.0]
Who was n't Teresa forgetting she sees ? <eos>	[5.545644760131836, 4.913530349731445, 5.015240669250488, 5.203408241271973, 4.257805347442627, 3.7019548416137695, 3.5198183059692383, 4.523677349090576, 3.6829169403063133e-07]	[11.848838806152344, 2.8511152267456055, 5.5976667404174805, 13.919501304626465, 12.785834312438965, 5.57719612121582, 9.509804725646973, 5.572755813598633, -0.0]	Who was n't Teresa forgetting who sees ? <eos>	[5.545644760131836, 4.913530349731445, 5.015240669250488, 5.203408241271973, 4.257805347442627, 3.7019548416137695, 4.7336320877075195, 3.930225372314453, 3.590708672618348e-07]	[11.848838806152344, 2.8511152267456055, 5.5976667404174805, 13.919501304626465, 12.785834312438965, 4.960326194763184, 8.896257400512695, 6.220409393310547, -0.0]
