The teenager does tour at most nine restaurants . <eos>	[5.545644283294678, 7.150014877319336, 4.527799129486084, 1.9166374206542969, 4.250391006469727, 3.811359405517578, 4.949763298034668, 5.380805492401123, 3.254579782485962, 2.7342318276168953e-07]	[5.1062774658203125, 13.327560424804688, 7.156989097595215, 10.115941047668457, 3.90325927734375, 7.016837120056152, 7.4270124435424805, 6.564823150634766, 1.6424217224121094, -0.0]	No teenager does tour at most nine restaurants . <eos>	[4.988042831420898, 7.137178421020508, 4.153648853302002, 3.144789457321167, 3.851813793182373, 2.82462477684021, 3.2138962745666504, 4.844450950622559, 2.8734445571899414, 2.7606282060332887e-07]	[7.107458114624023, 12.832486152648926, 7.306755065917969, 8.216259002685547, 3.998162269592285, 7.637914657592773, 8.25805950164795, 7.068464279174805, 1.414346694946289, -0.0]
That car looks like at least seven prints . <eos>	[4.987337112426758, 4.970722198486328, 3.2871813774108887, 3.8866031169891357, 2.60465145111084, 3.52993106842041, 3.6920461654663086, 5.897286891937256, 3.604414939880371, 2.808259580433514e-07]	[6.271263122558594, 7.963491916656494, 8.341636657714844, 1.0875320434570312, 7.457082748413086, 1.8480644226074219, 5.425662994384766, 10.7927827835083, 1.8641815185546875, -0.0]	No car looks like at least seven prints . <eos>	[4.988363265991211, 7.138648986816406, 4.954717636108398, 4.169051170349121, 3.7220029830932617, 2.8291711807250977, 3.6206741333007812, 5.725150108337402, 3.5574169158935547, 2.866156307845813e-07]	[7.109471321105957, 8.453571319580078, 9.910011291503906, 2.7563705444335938, 6.911406517028809, 1.118265151977539, 5.442056655883789, 10.667678833007812, 1.6151914596557617, -0.0]
The doctor brought at most eight gates . <eos>	[4.987490653991699, 7.803777694702148, 5.480241775512695, 4.614875793457031, 3.9195556640625, 4.2798662185668945, 6.253482818603516, 3.1358141899108887, 2.652226100963162e-07]	[1.7129936218261719, 9.145519256591797, 7.586163520812988, 5.213535308837891, 6.942410469055176, 6.799304485321045, 8.996417045593262, 2.459226608276367, -0.0]	No doctor brought at most eight gates . <eos>	[4.988690376281738, 7.13829231262207, 4.433754920959473, 4.475889205932617, 4.014467239379883, 6.2595062255859375, 6.401717185974121, 3.427921772003174, 2.736944395564933e-07]	[7.1091156005859375, 9.42779541015625, 8.247937202453613, 5.142104148864746, 6.758857727050781, 6.375369071960449, 8.907517433166504, 1.916123390197754, -0.0]
An actor arrived at at most six lakes . <eos>	[4.987259864807129, 6.439124584197998, 4.356753349304199, 2.2165496349334717, 3.7740557193756104, 2.6759095191955566, 5.536395072937012, 4.671533107757568, 3.0974833965301514, 2.7481820552566205e-07]	[5.62922477722168, 6.844738006591797, 9.560954093933105, 1.2351837158203125, 8.300454139709473, 9.019794464111328, 4.811793327331543, 10.989605903625488, 2.7357778549194336, -0.0]	No actor arrived at at most six lakes . <eos>	[4.988459587097168, 7.139164924621582, 4.276917934417725, 2.6782169342041016, 2.7893693447113037, 2.3495547771453857, 5.306066989898682, 3.9129977226257324, 3.164677143096924, 2.7886477482752525e-07]	[7.10896110534668, 9.254485130310059, 8.32224178314209, 1.4450416564941406, 8.366822242736816, 8.355426788330078, 5.529897689819336, 12.621235847473145, 1.8546314239501953, -0.0]
Every senator notices at most four windows . <eos>	[4.98786735534668, 6.174165725708008, 4.093374729156494, 3.5523364543914795, 1.420505166053772, 5.44913387298584, 6.2009477615356445, 3.6213877201080322, 2.7133557978231693e-07]	[7.683447360992432, 8.993521690368652, 9.39366340637207, 6.8306074142456055, 7.094195365905762, 4.423479080200195, 8.80938720703125, 2.379216194152832, -0.0]	No senator notices at most four windows . <eos>	[4.989256381988525, 7.136774063110352, 4.082156181335449, 3.7469820976257324, 3.2479310035705566, 5.711715221405029, 6.4480180740356445, 3.4186348915100098, 2.7996128437735024e-07]	[7.110552787780762, 9.965686798095703, 9.976987838745117, 6.5291242599487305, 6.642029762268066, 5.48674201965332, 8.755229949951172, 1.928114891052246, -0.0]
The hospital had fired at most four people . <eos>	[4.988944053649902, 7.804001808166504, 4.022109031677246, 4.497264862060547, 5.164888381958008, 4.578737735748291, 3.314887285232544, 6.024713039398193, 3.330634593963623, 2.7080631070930394e-07]	[1.7139387130737305, 7.8545989990234375, 3.915395736694336, 10.530555725097656, 3.4009742736816406, 7.0420989990234375, 4.330633163452148, 4.260367393493652, 2.5705184936523438, -0.0]	No hospital had fired at most four people . <eos>	[4.987916946411133, 7.136491775512695, 4.7256035804748535, 1.9338655471801758, 4.516964912414551, 4.025445461273193, 3.7048656940460205, 5.671763896942139, 3.2512502670288086, 2.713348976612906e-07]	[7.107209205627441, 9.185622215270996, 4.322383880615234, 9.533926963806152, 2.939504623413086, 6.730863571166992, 5.092073440551758, 4.634457588195801, 1.6163368225097656, -0.0]
Each customer has watched at least six teenagers . <eos>	[4.987567901611328, 6.522514343261719, 4.967658519744873, 4.2104291915893555, 3.727928638458252, 3.4794652462005615, 3.2031126022338867, 5.659211158752441, 3.9078140258789062, 2.703441168705467e-07]	[6.176539421081543, 8.233956336975098, 2.1439685821533203, 10.833280563354492, 4.537971496582031, 1.4880218505859375, 3.7766971588134766, 11.038410186767578, 2.178089141845703, -0.0]	No customer has watched at least six teenagers . <eos>	[4.989727973937988, 7.13633918762207, 5.3221435546875, 4.844079494476318, 3.2527008056640625, 3.397650718688965, 3.5377185344696045, 6.06876802444458, 4.198943138122559, 2.7858908424605033e-07]	[7.11122989654541, 9.825224876403809, 2.571000099182129, 8.009561538696289, 6.106209754943848, 2.935540199279785, 4.858394622802734, 10.290044784545898, 1.9174003601074219, -0.0]
Every girl climbed up at most ten hills . <eos>	[4.991750240325928, 6.174798011779785, 4.318885803222656, 3.700125217437744, 2.7032833099365234, 3.088883399963379, 5.360125541687012, 5.266042232513428, 3.653268575668335, 2.794974989228649e-07]	[7.6786417961120605, 7.217533588409424, 9.60562515258789, 3.0158233642578125, 4.588045120239258, 8.36594295501709, 4.757062911987305, 7.941288948059082, 2.4848337173461914, -0.0]	No girl climbed up at most ten hills . <eos>	[4.9880781173706055, 7.140899658203125, 4.416008949279785, 3.6669106483459473, 2.6838319301605225, 3.117347002029419, 5.377573013305664, 4.58948278427124, 3.539794683456421, 2.807407781801885e-07]	[7.1070756912231445, 9.587955474853516, 9.307807922363281, 3.317607879638672, 5.050546646118164, 8.049779891967773, 4.89609432220459, 8.710234642028809, 2.1057043075561523, -0.0]
Each actor has revealed at most four shawls . <eos>	[4.987876892089844, 6.523531913757324, 4.414336204528809, 3.6708288192749023, 3.846547842025757, 0.8645057082176208, 4.883060455322266, 5.550395965576172, 5.405661106109619, 2.79649583490027e-07]	[6.1741743087768555, 8.75645923614502, 1.8413581848144531, 10.054227828979492, 5.211969375610352, 7.236690521240234, 3.8440704345703125, 3.733203887939453, 3.3921947479248047, -0.0]	No actor has revealed at most four shawls . <eos>	[4.990297317504883, 7.137890815734863, 4.277344703674316, 3.339778184890747, 3.7712273597717285, 2.5467963218688965, 5.226040840148926, 5.108482360839844, 5.188782691955566, 2.874743358916021e-07]	[7.108451843261719, 9.25323486328125, 2.1498069763183594, 8.601096153259277, 4.740224838256836, 6.638425827026367, 5.142860412597656, 4.264632225036621, 2.8586816787719727, -0.0]
A banana has disgusted at least ten women . <eos>	[4.990638732910156, 7.244686126708984, 5.1906657218933105, 3.069401264190674, 6.416382789611816, 3.181159496307373, 3.2913818359375, 5.900421142578125, 3.4739413261413574, 2.640246634655341e-07]	[3.9336061477661133, 10.899869918823242, 5.8983154296875, 15.955425262451172, 5.554729461669922, 2.4557933807373047, 5.3505048751831055, 5.926189422607422, 1.7271137237548828, -0.0]	No banana has disgusted at least ten women . <eos>	[4.989255905151367, 7.135940074920654, 4.470418453216553, 1.1369774341583252, 5.096170425415039, 2.688732624053955, 4.113330841064453, 5.615811824798584, 3.430018424987793, 2.6756842430586403e-07]	[7.109047889709473, 12.845046043395996, 3.736790657043457, 20.0358829498291, 5.63136100769043, 3.890542984008789, 4.985773086547852, 6.609992980957031, 1.284524917602539, -0.0]
Each dancer would return to at least seven schools . <eos>	[4.988802909851074, 6.525206565856934, 4.179834842681885, 5.128750801086426, 2.6655898094177246, 3.5354063510894775, 0.882347047328949, 3.090064287185669, 4.875521659851074, 3.483034133911133, 2.731548534029571e-07]	[6.173914909362793, 8.592092514038086, 4.983747482299805, 6.661649703979492, 0.62713623046875, 6.800726890563965, 0.1612071990966797, 4.553619384765625, 9.278764724731445, 2.0746021270751953, -0.0]	No dancer would return to at least seven schools . <eos>	[4.98796272277832, 7.137238502502441, 4.516136169433594, 3.8362462520599365, 2.212106227874756, 4.111271858215332, 1.7866441011428833, 3.9542388916015625, 4.589552879333496, 3.1943893432617188, 2.75289096407505e-07]	[7.111799240112305, 12.47471809387207, 4.883583068847656, 5.790523529052734, 0.49179649353027344, 7.701320171356201, 0.5031967163085938, 4.457380294799805, 9.321634292602539, 1.6347122192382812, -0.0]
The waiter noticed at most six mountains . <eos>	[4.988038063049316, 7.804229736328125, 5.610021114349365, 2.816443920135498, 2.717175006866455, 5.370884895324707, 6.235576629638672, 3.860231876373291, 2.7679055847329437e-07]	[1.713754653930664, 12.798205375671387, 6.713329315185547, 6.629179000854492, 7.090973854064941, 6.42365837097168, 10.05219841003418, 3.898322105407715, -0.0]	No waiter noticed at most six mountains . <eos>	[4.989113807678223, 7.138394355773926, 4.884994029998779, 3.320389986038208, 2.642049551010132, 5.59031343460083, 6.0794477462768555, 3.8542633056640625, 2.8075868385712965e-07]	[7.106636047363281, 14.114175796508789, 6.960352897644043, 5.056249618530273, 7.2049360275268555, 6.145885467529297, 10.193419456481934, 2.05519962310791, -0.0]
