Whose pictures has Sarah sold and Andrea hidden ? <eos>	[5.545644760131836, 5.360159873962402, 3.4684033393859863, 2.8606045246124268, 5.612217426300049, 4.632183074951172, 6.599855422973633, 5.320755481719971, 3.642070770263672, 3.4283874583707075e-07]	[2.5537118911743164, 10.249505996704102, 8.042545318603516, 14.366922378540039, 10.722055435180664, 3.512561798095703, 12.86807918548584, 12.548301696777344, 9.000836372375488, -0.0]	Whose has Sarah sold pictures and Andrea hidden ? <eos>	[4.9940009117126465, 6.392477035522461, 4.5778398513793945, 5.153511047363281, 4.796941757202148, 3.13376522064209, 6.36715030670166, 5.0482587814331055, 3.318601131439209, 3.1687017099102377e-07]	[2.940519332885742, 3.7844600677490234, 13.454548835754395, 12.127630233764648, 10.258926391601562, 1.6081857681274414, 14.34432315826416, 11.499164581298828, 12.136813163757324, -0.0]
Whose glaciers has Wayne dropped by and Kenneth found ? <eos>	[4.990730285644531, 6.390864372253418, 4.443676471710205, 4.02487850189209, 5.888084411621094, 4.8324127197265625, 5.73204231262207, 6.5422234535217285, 6.322729110717773, 4.480359077453613, 3.411317663903901e-07]	[2.939894676208496, 12.713810920715332, 6.46574592590332, 17.305530548095703, 9.79566764831543, 4.230663299560547, 4.851759910583496, 11.018962860107422, 11.792001724243164, 12.64645004272461, -0.0]	Whose has Wayne dropped by glaciers and Kenneth found ? <eos>	[4.964005947113037, 6.402068138122559, 4.569297790527344, 5.60189151763916, 3.591869592666626, 6.227343559265137, 3.1256871223449707, 6.6026153564453125, 6.502379417419434, 4.014735221862793, 3.3619107853155583e-07]	[2.9874801635742188, 3.7746734619140625, 14.156211853027344, 11.566165924072266, 5.271788597106934, 13.401763916015625, 1.795217514038086, 11.671611785888672, 11.007709503173828, 13.747928619384766, -0.0]
Whose banks was Curtis biking to and Carol describing ? <eos>	[4.975224018096924, 6.4018964767456055, 4.516672134399414, 5.42970085144043, 4.527213096618652, 2.9509449005126953, 5.162923812866211, 2.021946430206299, 6.173415184020996, 3.948734760284424, 2.733311532665539e-07]	[2.975674629211426, 10.427079200744629, 7.23709774017334, 16.612564086914062, 21.669166564941406, 4.569395065307617, 4.7854156494140625, 12.768622398376465, 13.971097946166992, 12.453001022338867, -0.0]	Whose was Curtis biking to banks and Carol describing ? <eos>	[4.964747428894043, 6.389593124389648, 5.246142387390137, 3.490453004837036, 2.781423568725586, 4.215641975402832, 2.255136013031006, 6.900017738342285, 6.538798809051514, 3.534618377685547, 2.631695963373204e-07]	[2.9728174209594727, 2.727780342102051, 15.125306129455566, 20.90699577331543, 4.778861999511719, 13.379697799682617, 0.9704799652099609, 13.548598289489746, 11.80258560180664, 12.653018951416016, -0.0]
Whose painting do the forks resemble and Liam lift ? <eos>	[4.959207534790039, 6.383639335632324, 4.043262958526611, 1.170102834701538, 3.1215291023254395, 4.179863929748535, 5.73361873626709, 5.503217697143555, 4.082378387451172, 5.154071807861328, 3.4641556112546823e-07]	[2.9806289672851562, 10.634139060974121, 9.891817092895508, 6.52010440826416, 15.353813171386719, 7.462309837341309, 6.749664306640625, 16.773372650146484, 15.276515007019043, 9.720699310302734, -0.0]	Whose do the forks resemble painting and Liam lift ? <eos>	[4.981696128845215, 6.394407272338867, 1.6711146831512451, 4.180296897888184, 4.124985218048096, 5.3191609382629395, 5.194945335388184, 6.433418273925781, 4.24565315246582, 5.059008598327637, 4.162396862739115e-07]	[2.955028533935547, 7.408204078674316, 5.577487945556641, 12.916397094726562, 9.101827621459961, 12.788494110107422, 2.424844741821289, 15.167806625366211, 14.637645721435547, 9.054771423339844, -0.0]
Which sketch might Ronald look like and Frank admire ? <eos>	[4.983534812927246, 6.116047382354736, 4.199954032897949, 3.2990031242370605, 5.888240337371826, 3.3999364376068115, 4.494545936584473, 5.374089241027832, 5.290309906005859, 4.168323516845703, 4.512886562224594e-07]	[10.282934188842773, 10.443914413452148, 6.081382751464844, 16.285051345825195, 8.279224395751953, 1.0829219818115234, 4.048549652099609, 9.572972297668457, 11.65032958984375, 2.9005661010742188, -0.0]	Which might Ronald look like sketch and Frank admire ? <eos>	[5.005893707275391, 6.141186714172363, 3.6848373413085938, 5.442621231079102, 4.087631702423096, 4.765598297119141, 5.014613151550293, 6.708216190338135, 5.205105304718018, 4.192740440368652, 3.507856547457777e-07]	[10.265085220336914, 6.098535537719727, 16.7604923248291, 8.474557876586914, 1.938248634338379, 12.736695289611816, 3.0196447372436523, 10.643494606018066, 12.138952255249023, 1.931854248046875, -0.0]
What adults would most actresses know and Christine remember ? <eos>	[4.995147705078125, 4.7039031982421875, 5.174324035644531, 4.596724033355713, 4.676997184753418, 4.735743522644043, 4.038868427276611, 4.401737213134766, 3.9143805503845215, 3.9924581050872803, 3.726009083493409e-07]	[7.488163471221924, 9.926206588745117, 4.43426513671875, 7.732105255126953, 13.669580459594727, 5.326911926269531, 4.760219573974609, 15.831552505493164, 9.394697189331055, 3.517240524291992, -0.0]	What would most actresses know adults and Christine remember ? <eos>	[4.982841491699219, 4.720519065856934, 3.88081431388855, 4.5731072425842285, 5.168690204620361, 3.8949365615844727, 3.9506354331970215, 5.845874309539795, 4.1723127365112305, 4.008941650390625, 4.022272150905337e-07]	[7.479079723358154, 3.8244142532348633, 5.541749000549316, 12.709626197814941, 5.139171600341797, 11.379037857055664, 4.415032386779785, 13.733770370483398, 8.305222511291504, 4.482503890991211, -0.0]
Which pedestrian did Barbara help and Clyde discover ? <eos>	[4.97525691986084, 6.147838592529297, 5.177175998687744, 3.0157604217529297, 6.230024337768555, 5.456573486328125, 6.394721508026123, 5.405343055725098, 3.860607385635376, 3.538901864885702e-07]	[10.3038911819458, 12.627485275268555, 6.373973846435547, 13.755879402160645, 9.398502349853516, 3.837924003601074, 11.497296333312988, 6.723867416381836, 7.093047142028809, -0.0]	Which did Barbara help pedestrian and Clyde discover ? <eos>	[4.970338344573975, 6.098176002502441, 2.4705324172973633, 6.412446975708008, 5.209569454193115, 6.34324312210083, 6.666285514831543, 6.208213806152344, 3.875237464904785, 2.956745959181717e-07]	[10.355047225952148, 6.173290729522705, 11.985658645629883, 8.067122459411621, 15.549367904663086, 2.194939613342285, 12.858155250549316, 7.45047664642334, 7.816515922546387, -0.0]
Which women did all children disagree with and Natalie listen to ? <eos>	[4.966130256652832, 6.110723495483398, 4.8999528884887695, 3.0071091651916504, 5.4492902755737305, 4.835467338562012, 3.037646770477295, 4.007073402404785, 5.450507164001465, 4.417203903198242, 1.0301920175552368, 3.48539400100708, 3.3544009170327627e-07]	[10.32922649383545, 10.007034301757812, 4.173283576965332, 7.371173858642578, 8.228767395019531, 11.35086441040039, 1.0613059997558594, 3.6438865661621094, 12.564350128173828, 13.967268943786621, 0.19054603576660156, 7.060854911804199, -0.0]	Which did all children disagree with women and Natalie listen to ? <eos>	[4.990041732788086, 6.128238201141357, 2.4106998443603516, 5.5439605712890625, 5.7106122970581055, 2.947234630584717, 3.9532508850097656, 3.5173633098602295, 5.348633766174316, 3.9543468952178955, 1.8905248641967773, 4.071201324462891, 3.5955767430095875e-07]	[10.28054428100586, 6.179070949554443, 6.06939697265625, 7.815394878387451, 10.562214851379395, 1.1725196838378906, 8.01141357421875, 2.2361011505126953, 14.455999374389648, 15.090646743774414, 0.5354709625244141, 6.707502365112305, -0.0]
What actor is Julia observing and cakes confusing ? <eos>	[4.990695953369141, 4.7009124755859375, 6.429695129394531, 5.803988456726074, 6.330077171325684, 3.815261125564575, 5.783870697021484, 3.7159266471862793, 2.766873836517334, 5.546583565774199e-07]	[7.506916522979736, 13.744118690490723, 3.287965774536133, 11.026533126831055, 12.517509460449219, 3.798678398132324, 16.936817169189453, 15.19858455657959, 4.349016189575195, -0.0]	What is Julia observing actor and cakes confusing ? <eos>	[5.011355876922607, 4.732965469360352, 5.066275596618652, 5.127755641937256, 4.071747779846191, 6.1472697257995605, 6.709979057312012, 4.351142883300781, 3.3226840496063232, 4.604704884059174e-07]	[7.505179405212402, 1.4018745422363281, 14.595071792602539, 11.158617973327637, 14.612792015075684, 3.510456085205078, 16.200252532958984, 13.88930892944336, 3.4211902618408203, -0.0]
What pedestrian have these doctors hugged and James complained about ? <eos>	[5.002467632293701, 4.725934028625488, 5.942486763000488, 4.524945259094238, 7.0029616355896, 5.084712982177734, 4.795938491821289, 6.2259602546691895, 5.693401336669922, 2.659864902496338, 4.374957084655762, 3.426508214943169e-07]	[7.490118503570557, 14.335320472717285, 6.1338653564453125, 7.349188804626465, 10.876913070678711, 6.265780448913574, 3.967367172241211, 9.839967727661133, 12.820542335510254, 1.0711956024169922, 3.8704795837402344, -0.0]	What have these doctors hugged pedestrian and James complained about ? <eos>	[4.971447467803955, 4.705327033996582, 3.029115915298462, 6.882015228271484, 5.550937652587891, 4.66450309753418, 4.593654632568359, 7.004290580749512, 5.624354362487793, 3.0793561935424805, 4.34207820892334, 3.545753202160995e-07]	[7.488070011138916, 6.072942733764648, 7.323446273803711, 9.592033386230469, 5.559538841247559, 14.387129783630371, 3.4668102264404297, 11.785728454589844, 12.341078758239746, 1.574319839477539, 3.1215763092041016, -0.0]
