Katherine ca n't help herself . <eos>	[5.545644283294678, 6.1122283935546875, 0.31305816769599915, 5.557697296142578, 4.704002380371094, 3.1968071460723877, 2.765188469311397e-07]	[11.387484550476074, 12.997164726257324, 0.07052421569824219, 3.714752197265625, 5.890296936035156, 1.1647396087646484, -0.0]
Katherine ca n't help himself . <eos>	[4.991063117980957, 6.172145843505859, 0.13330797851085663, 5.270394802093506, 4.587527275085449, 3.311936855316162, 2.8166112997496384e-07]	[11.05999755859375, 11.364123344421387, 0.022464752197265625, 3.735123634338379, 6.2870635986328125, 1.6397180557250977, -0.0]
Karla could listen to herself . <eos>	[4.993824005126953, 5.695180892944336, 4.5203166007995605, 1.2608716487884521, 5.036133289337158, 3.2065510749816895, 2.748669771790446e-07]	[13.103477478027344, 8.2467679977417, 6.355413436889648, 0.23917579650878906, 5.737997055053711, 3.6691131591796875, -0.0]
Karla could listen to himself . <eos>	[4.986439228057861, 5.695684432983398, 4.522770404815674, 1.261543869972229, 5.037896156311035, 3.2689385414123535, 2.7967215032731474e-07]	[13.116531372070312, 8.242908477783203, 6.355164527893066, 0.2393321990966797, 5.856048583984375, 3.5289058685302734, -0.0]
Marie wo n't think about herself . <eos>	[4.987819671630859, 5.183969974517822, 0.1705739051103592, 4.825910568237305, 3.986180305480957, 4.666999340057373, 3.7628324031829834, 2.950202429019555e-07]	[10.18960952758789, 12.708745002746582, 0.03182792663574219, 5.819509506225586, 4.258147239685059, 5.048708915710449, 2.305850028991699, -0.0]
Marie wo n't think about itself . <eos>	[4.991423606872559, 5.18314266204834, 0.1705135554075241, 4.825159549713135, 3.986010789871216, 4.668139457702637, 4.006491661071777, 2.8882772085125907e-07]	[10.188982009887695, 12.714752197265625, 0.03180885314941406, 5.819762229919434, 4.259550094604492, 8.716470718383789, 2.412351608276367, -0.0]
Mark has n't discussed himself . <eos>	[4.990804672241211, 6.155684471130371, 4.983092308044434, 5.087972164154053, 4.256998062133789, 3.5395326614379883, 2.8518741146399407e-07]	[8.645808219909668, 5.047616004943848, 7.372377395629883, 7.055238723754883, 4.388439178466797, 4.017803192138672, -0.0]
Mark has n't discussed itself . <eos>	[4.990389823913574, 6.157000541687012, 4.98343563079834, 5.088465690612793, 4.257391929626465, 3.445401191711426, 2.844940922841488e-07]	[8.649154663085938, 5.047955513000488, 7.373690605163574, 7.055337905883789, 6.900874137878418, 3.9245901107788086, -0.0]
Stephen impressed himself . <eos>	[4.9904375076293945, 5.866021156311035, 5.135207176208496, 1.9966760873794556, 2.6863568791668513e-07]	[9.046663284301758, 12.237869262695312, 5.632638931274414, 4.844552993774414, -0.0]
Stephen impressed itself . <eos>	[4.9912543296813965, 5.866265296936035, 5.138906478881836, 1.9966981410980225, 2.599850290607719e-07]	[9.04387378692627, 12.242452621459961, 9.948934555053711, 4.789875030517578, -0.0]
Christina boasts about herself . <eos>	[4.990415096282959, 5.521071910858154, 3.820842742919922, 5.426425933837891, 4.097433090209961, 2.746112102158804e-07]	[11.246026039123535, 11.958209991455078, 3.341851234436035, 6.429370403289795, 5.0659589767456055, -0.0]
Christina boasts about himself . <eos>	[4.986729621887207, 5.520447731018066, 3.8243486881256104, 5.4256391525268555, 4.002286911010742, 2.783789909699408e-07]	[11.246273040771484, 11.942627906799316, 3.34234619140625, 7.650278091430664, 4.923532485961914, -0.0]
Suzanne would irritate herself . <eos>	[4.987189292907715, 5.947171688079834, 4.642398834228516, 5.074791431427002, 3.62119722366333, 2.6775251171784475e-07]	[12.218416213989258, 6.954001426696777, 5.622344970703125, 4.617265701293945, 4.477878570556641, -0.0]
Suzanne would irritate itself . <eos>	[4.989582061767578, 5.94731330871582, 4.643589019775391, 5.0744242668151855, 3.797196388244629, 2.6774370098792133e-07]	[12.209935188293457, 6.949668884277344, 5.620064735412598, 9.440645217895508, 4.442737579345703, -0.0]
Rose could n't reference herself . <eos>	[4.988901615142822, 5.632889747619629, 3.998791217803955, 5.338737487792969, 3.9634666442871094, 2.713484525680542, 2.773457481453079e-07]	[9.705169677734375, 7.276162624359131, 3.430924415588379, 11.460710525512695, 5.320193290710449, 4.093252182006836, -0.0]
Rose could n't reference itself . <eos>	[4.98895788192749, 5.633913993835449, 3.999133825302124, 5.338221549987793, 3.963977813720703, 2.832658290863037, 2.766519742181117e-07]	[9.702348709106445, 7.277766227722168, 3.429427146911621, 11.462356567382812, 7.930624961853027, 3.8319950103759766, -0.0]
Paul should stun himself . <eos>	[4.988224983215332, 6.182136058807373, 3.8600258827209473, 5.071514129638672, 3.3109397888183594, 2.754786123659869e-07]	[8.176888465881348, 9.942543029785156, 14.092159271240234, 4.516632080078125, 3.9661426544189453, -0.0]
