Paula references Robert . <eos>	[5.545644283294678, 4.415329933166504, 4.486452102661133, 5.955746650695801, 2.721417331486009e-07]	[11.96435546875, 13.808212280273438, 8.06200122833252, 4.590014457702637, -0.0]	Paula reference Robert . <eos>	[4.986779689788818, 5.445096015930176, 6.411813735961914, 6.332858085632324, 2.765831652595807e-07]	[11.248072624206543, 16.417551040649414, 8.31219482421875, 8.378177642822266, -0.0]
Most legislatures have n't disliked children . <eos>	[4.982620716094971, 4.844125747680664, 4.707738876342773, 5.736255645751953, 5.684146881103516, 3.8110721111297607, 3.5990238189697266, 2.658454434367741e-07]	[5.72414493560791, 10.484345436096191, 2.348604202270508, 9.582971572875977, 11.856382369995117, 10.818942070007324, 2.033966064453125, -0.0]	Most legislatures has n't disliked children . <eos>	[4.991484642028809, 4.8385701179504395, 4.706144332885742, 5.56597900390625, 5.489274978637695, 3.7028932571411133, 3.587059259414673, 2.6465804126019066e-07]	[5.728032112121582, 10.480388641357422, 8.17939281463623, 8.62080192565918, 11.455822944641113, 10.994094848632812, 2.1021175384521484, -0.0]
Some organizations are n't disturbing Vanessa . <eos>	[4.991334915161133, 6.334166526794434, 4.6865434646606445, 6.18082332611084, 6.377810478210449, 4.675500392913818, 3.4992337226867676, 2.596447643554711e-07]	[5.219272613525391, 6.894835472106934, 3.078205108642578, 8.109827995300293, 12.162078857421875, 15.451947212219238, 1.6929731369018555, -0.0]	Some organizations is n't disturbing Vanessa . <eos>	[4.988108158111572, 6.3366498947143555, 4.686408996582031, 6.177168369293213, 6.401152610778809, 4.419852256774902, 3.707047939300537, 2.6067073122248985e-07]	[5.217510223388672, 6.899606704711914, 8.971043586730957, 7.846249580383301, 11.852838516235352, 15.372413635253906, 1.6705865859985352, -0.0]
The cups alarm Angela . <eos>	[4.988039493560791, 7.804429054260254, 4.038267135620117, 5.3928117752075195, 6.031068801879883, 2.768698550426052e-07]	[1.7134819030761719, 12.625419616699219, 17.474794387817383, 17.502912521362305, 6.85059928894043, -0.0]	The cups alarms Angela . <eos>	[4.983786582946777, 7.801753520965576, 4.03764533996582, 4.398802757263184, 4.587913990020752, 2.548738962104835e-07]	[1.7115707397460938, 12.618701934814453, 17.355655670166016, 11.431549072265625, 3.02462100982666, -0.0]
Tina is n't ascending that mountain . <eos>	[4.986084938049316, 5.373293876647949, 5.815186023712158, 5.633794784545898, 3.4892520904541016, 5.411577224731445, 3.734273910522461, 2.8349839453767345e-07]	[11.665069580078125, 2.9123144149780273, 5.340727806091309, 14.00100326538086, 5.835662841796875, 8.172843933105469, 1.8666629791259766, -0.0]	Tina were n't ascending that mountain . <eos>	[4.988401412963867, 5.371468544006348, 6.1729631423950195, 5.882082462310791, 3.6673691272735596, 5.630617141723633, 3.958893299102783, 2.811393073898216e-07]	[11.652647018432617, 8.538545608520508, 5.698943138122559, 14.85274600982666, 5.702983856201172, 7.981184005737305, 1.8638935089111328, -0.0]
The Borgias see Veronica . <eos>	[4.98756742477417, 7.804790496826172, 7.104655742645264, 5.3408355712890625, 4.115429878234863, 2.696035608096281e-07]	[1.7129802703857422, 3.000002861022949, 9.739852905273438, 11.454395294189453, 3.991029739379883, -0.0]	The Borgias sees Veronica . <eos>	[4.988450050354004, 7.8047776222229, 7.1061835289001465, 4.730003356933594, 4.134305000305176, 2.7142795033796574e-07]	[1.7134103775024414, 2.9990272521972656, 8.86130142211914, 10.751321792602539, 6.4979963302612305, -0.0]
Jeffrey has n't criticized Donald . <eos>	[4.989228248596191, 6.1542487144470215, 4.82663631439209, 5.015987396240234, 4.544029712677002, 1.0844659805297852, 2.718789460232074e-07]	[10.625990867614746, 4.697832107543945, 8.414225578308105, 8.099081039428711, 7.831908702850342, 7.262240409851074, -0.0]	Jeffrey have n't criticized Donald . <eos>	[4.988368034362793, 6.153232574462891, 5.09110689163208, 4.850464344024658, 4.583782196044922, 1.3392152786254883, 2.7344563591213955e-07]	[10.641220092773438, 10.326025009155273, 8.020988464355469, 8.40228271484375, 7.881327152252197, 6.773163795471191, -0.0]
Michelle is impressing Deanna . <eos>	[4.988563060760498, 6.217862606048584, 5.953227519989014, 6.139603614807129, 3.61930251121521, 2.7024731252822676e-07]	[11.011560440063477, 3.538743019104004, 14.037981986999512, 4.1308441162109375, 3.6037464141845703, -0.0]	Michelle were impressing Deanna . <eos>	[4.992325782775879, 6.218820095062256, 5.835799217224121, 5.949673652648926, 4.158627510070801, 2.597519426217332e-07]	[11.016732215881348, 9.554908752441406, 12.371829986572266, 3.8431081771850586, 4.256613731384277, -0.0]
Meredith researches this mountain . <eos>	[4.989190101623535, 5.72584342956543, 4.518613815307617, 6.430843353271484, 4.28132438659668, 2.6287489163223654e-07]	[11.129789352416992, 13.737871170043945, 4.029970169067383, 9.040393829345703, 4.207198143005371, -0.0]	Meredith research this mountain . <eos>	[4.993935585021973, 5.717386245727539, 5.349715232849121, 6.4314680099487305, 4.7915191650390625, 2.7566025551095663e-07]	[11.117929458618164, 11.936074256896973, 5.88962459564209, 9.005635261535645, 5.650489807128906, -0.0]
Walter was bringing the bank . <eos>	[4.989384651184082, 6.138700485229492, 5.0770673751831055, 4.519773483276367, 7.583548069000244, 3.5381922721862793, 3.061309143959079e-07]	[9.241862297058105, 3.201263427734375, 11.266009330749512, 1.7351789474487305, 8.218801498413086, 6.313204765319824, -0.0]	Walter were bringing the bank . <eos>	[4.989002704620361, 6.138160705566406, 5.697781562805176, 4.519770622253418, 7.575056076049805, 3.613633155822754, 3.0392502026188595e-07]	[9.23642349243164, 8.839563369750977, 10.768768310546875, 1.9812374114990234, 8.342752456665039, 5.894553184509277, -0.0]
