What children has Chad hugged ? <eos>	[5.545644760131836, 4.401399612426758, 4.695003509521484, 4.942099571228027, 4.7149457931518555, 3.547116756439209, 3.759021751648106e-07]	[10.586628913879395, 8.76491928100586, 7.106951713562012, 17.938697814941406, 2.954853057861328, 1.4869499206542969, -0.0]
What has Chad hugged children ? <eos>	[4.987001419067383, 4.7157745361328125, 2.652249813079834, 5.452212810516357, 4.422775745391846, 4.2944746017456055, 6.251964350667549e-07]	[7.497054576873779, 4.718842506408691, 16.03696060180664, 2.786026954650879, 11.149003982543945, 1.477971076965332, -0.0]
What waitresses had Mary disliked ? <eos>	[4.987717628479004, 4.699914932250977, 6.303650856018066, 5.398818016052246, 6.122493743896484, 3.8291802406311035, 3.3031261637006537e-07]	[7.500004291534424, 4.236403465270996, 4.287469863891602, 12.491707801818848, 9.294900894165039, 5.2435760498046875, -0.0]
What had Mary disliked waitresses ? <eos>	[4.979737281799316, 4.716155052185059, 2.7306737899780273, 5.981491565704346, 4.294829845428467, 4.885052680969238, 3.3805491739258287e-07]	[7.496687412261963, 4.29140567779541, 11.44222354888916, 10.758087158203125, 4.914397239685059, 4.571835517883301, -0.0]
What dancers could Peter flee from ? <eos>	[4.974259853363037, 4.70250129699707, 5.1129150390625, 4.907711029052734, 5.822512626647949, 4.1393914222717285, 4.133953094482422, 5.171270345272205e-07]	[7.500768184661865, 12.581165313720703, 4.619272232055664, 15.764167785644531, 10.673774719238281, 2.611766815185547, 6.056109428405762, -0.0]
What could Peter flee from dancers ? <eos>	[4.999236106872559, 4.697080612182617, 3.3104827404022217, 5.519257545471191, 4.147870063781738, 4.067897796630859, 4.558200836181641, 4.662918513531622e-07]	[7.494957447052002, 5.4412641525268555, 13.09140396118164, 11.23447036743164, 2.533083915710449, 15.291448593139648, 3.4706220626831055, -0.0]
Whose hills did Lissa go to ? <eos>	[4.979435920715332, 6.39840841293335, 4.084444999694824, 1.7557690143585205, 5.345620155334473, 4.222647666931152, 4.882468223571777, 3.426310968279722e-07]	[2.9587087631225586, 11.573113441467285, 7.998950958251953, 5.830145835876465, 8.105661392211914, 2.5170421600341797, 12.089057922363281, -0.0]
Whose did Lissa go to hills ? <eos>	[5.002793312072754, 6.407169818878174, 1.8256585597991943, 5.049544334411621, 3.2643537521362305, 5.8292694091796875, 3.7483859062194824, 3.094712610618444e-07]	[2.9426746368408203, 6.118675231933594, 6.096121788024902, 7.610433578491211, 1.5367307662963867, 13.345684051513672, 13.679611206054688, -0.0]
Which pedestrians has Kristin embarrassed ? <eos>	[4.995102882385254, 6.117669582366943, 4.888517379760742, 5.993658065795898, 5.703851222991943, 4.867610454559326, 3.9592958955836366e-07]	[10.282105445861816, 14.212213516235352, 6.241262435913086, 16.117568969726562, 14.257219314575195, 3.9376392364501953, -0.0]
Which has Kristin embarrassed pedestrians ? <eos>	[4.9849090576171875, 6.136000633239746, 4.446136474609375, 5.551323890686035, 4.4698567390441895, 4.346756935119629, 3.674168738143635e-07]	[10.322867393493652, 4.322634696960449, 15.317100524902344, 15.043721199035645, 14.357706069946289, 6.363597869873047, -0.0]
