There was a documentary about music irritating Allison . <eos>	[5.545644283294678, 2.057466506958008, 3.255824565887451, 7.071333408355713, 4.041479110717773, 3.899691104888916, 4.575285911560059, 4.228083610534668, 5.0759077072143555, 2.7325046403348097e-07]	[8.935514450073242, 2.2837371826171875, 1.0315799713134766, 8.294170379638672, 1.7356643676757812, 7.8964996337890625, 16.573026657104492, 11.622955322265625, 2.6663990020751953, -0.0]
There was each documentary about music irritating Allison . <eos>	[4.984971523284912, 1.7964472770690918, 3.3736648559570312, 7.244721412658691, 5.68035888671875, 4.222724914550781, 4.603065490722656, 4.048405170440674, 5.045675277709961, 2.6348260462327744e-07]	[4.274236679077148, 2.7042531967163086, 12.575897216796875, 9.268375396728516, 3.4310874938964844, 7.323939323425293, 16.690048217773438, 12.292034149169922, 2.747190475463867, -0.0]
There were no legislatures working hard . <eos>	[4.9848833084106445, 1.7966506481170654, 5.124567031860352, 5.510261058807373, 3.2084434032440186, 2.622483730316162, 2.6807150840759277, 2.8458015322030406e-07]	[4.275956153869629, 1.2304058074951172, 4.052397727966309, 12.251991271972656, 8.382734298706055, 8.09895133972168, 2.6663475036621094, -0.0]
There were most legislatures working hard . <eos>	[4.987273216247559, 1.7959845066070557, 5.122746467590332, 5.712868690490723, 3.7468838691711426, 2.423920154571533, 2.1781229972839355, 2.7129865998176683e-07]	[4.272818565368652, 1.2307071685791016, 9.119197845458984, 11.650845527648926, 7.407230377197266, 7.480332374572754, 4.3471784591674805, -0.0]
There was a sweater shocking David . <eos>	[4.987847328186035, 1.7962182760238647, 3.3746848106384277, 7.062488079071045, 4.526898384094238, 3.3302488327026367, 5.019756317138672, 2.726378056649992e-07]	[4.275790214538574, 2.706430435180664, 1.2232856750488281, 13.56295108795166, 13.642924308776855, 10.586196899414062, 4.000299453735352, -0.0]
There was each sweater shocking David . <eos>	[4.98759651184082, 1.7963271141052246, 3.3734774589538574, 7.245212554931641, 4.712564468383789, 4.098949432373047, 5.164054870605469, 2.683133288883255e-07]	[4.274938583374023, 2.703889846801758, 12.574178695678711, 12.79995346069336, 14.308375358581543, 10.709732055664062, 3.969353675842285, -0.0]
There are some brothers of Rachel arriving at a library . <eos>	[4.987438201904297, 1.7956960201263428, 4.340306282043457, 7.177112579345703, 3.5983028411865234, 5.530860424041748, 4.082036972045898, 2.6347103118896484, 4.2580976486206055, 6.304969787597656, 3.350160837173462, 2.790489759263437e-07]	[4.27311897277832, 1.1410503387451172, 3.8636035919189453, 10.92978572845459, 2.9420413970947266, 11.435134887695312, 12.962308883666992, 1.9750728607177734, 3.3997325897216797, 7.789774417877197, 2.2042903900146484, -0.0]
There are all brothers of Rachel arriving at a library . <eos>	[4.989903450012207, 1.7966399192810059, 4.3419189453125, 6.686878681182861, 3.63248872756958, 5.36394739151001, 3.676586866378784, 2.8906619548797607, 4.157512187957764, 6.391962051391602, 3.324660062789917, 2.7923999823542545e-07]	[4.274420738220215, 1.1399307250976562, 6.832497596740723, 10.868417739868164, 2.16391658782959, 9.932182312011719, 12.549110412597656, 2.0394287109375, 3.1713857650756836, 7.68239164352417, 1.7507762908935547, -0.0]
There are n't many lights darkening . <eos>	[4.989056587219238, 1.79657781124115, 4.342072486877441, 4.321043968200684, 7.274697303771973, 3.574387550354004, 4.045289993286133, 2.8085020176149555e-07]	[4.274234771728516, 1.139791488647461, 8.21611499786377, 1.956644058227539, 8.309062004089355, 15.698549270629883, 2.273909568786621, -0.0]
There are n't all lights darkening . <eos>	[4.986849784851074, 1.7963626384735107, 4.340860366821289, 4.320796012878418, 6.871634483337402, 3.7046120166778564, 4.04186487197876, 2.824728539962962e-07]	[4.274759292602539, 1.1396217346191406, 8.220640182495117, 4.143389701843262, 8.171649932861328, 15.185372352600098, 1.9737682342529297, -0.0]
There are many rugs embarrassing Galileo . <eos>	[4.986410140991211, 1.7963619232177734, 4.341176986694336, 6.7498064041137695, 3.2121922969818115, 1.8622589111328125, 3.9259772300720215, 2.682544391063857e-07]	[4.274957656860352, 1.139822006225586, 2.7315921783447266, 12.709446907043457, 19.152618408203125, 18.345867156982422, 2.55483341217041, -0.0]
There are most rugs embarrassing Galileo . <eos>	[4.989091873168945, 1.7974315881729126, 4.340798377990723, 6.17239236831665, 3.3484086990356445, 2.7111330032348633, 4.261425971984863, 2.688748850232514e-07]	[4.274625778198242, 1.1412830352783203, 7.043595314025879, 11.06809139251709, 18.595067977905273, 18.579145431518555, 2.4399948120117188, -0.0]
There is a mother of Theodore imagining those adults responded . <eos>	[4.990118980407715, 1.7969796657562256, 2.9097023010253906, 7.078832149505615, 4.8279876708984375, 5.334417343139648, 4.055200576782227, 4.454784393310547, 3.59993052482605, 2.5266642570495605, 2.258871078491211, 2.7474069952404534e-07]	[4.276270866394043, 1.4955158233642578, 1.3387393951416016, 8.920741081237793, 3.3239173889160156, 10.408485412597656, 13.597028732299805, 7.039531230926514, 8.107295036315918, 14.693646430969238, 3.6175413131713867, -0.0]
There is each mother of Theodore imagining those adults responded . <eos>	[4.989778995513916, 1.7978883981704712, 2.9106130599975586, 7.218893051147461, 5.018074989318848, 3.9223105907440186, 4.064013481140137, 4.339542388916016, 3.5138487815856934, 2.7739808559417725, 2.264781951904297, 2.771786284938571e-07]	[4.278372764587402, 1.494852066040039, 12.967889785766602, 8.24630069732666, 3.514049530029297, 11.459931373596191, 11.699671745300293, 7.652068138122559, 7.842954635620117, 14.423996925354004, 3.6705121994018555, -0.0]
There was n't a window chipping . <eos>	[4.989763259887695, 1.7977676391601562, 3.3753929138183594, 3.0024898052215576, 6.90509033203125, 3.6283977031707764, 4.346130847930908, 2.9188589678597054e-07]	[4.278829574584961, 2.705897331237793, 5.452342987060547, 2.1150550842285156, 8.669187545776367, 15.872965812683105, 3.614511489868164, -0.0]
There was n't each window chipping . <eos>	[4.986164093017578, 1.796148419380188, 3.3744518756866455, 3.0035953521728516, 6.753500938415527, 4.196913719177246, 3.9579899311065674, 2.822218618803163e-07]	[4.272913932800293, 2.707326889038086, 5.458524703979492, 11.114368438720703, 8.48049545288086, 15.490218162536621, 3.688323974609375, -0.0]
There is n't a dancer slumping over . <eos>	[4.986443996429443, 1.7957825660705566, 2.9096317291259766, 3.3030784130096436, 6.960268497467041, 4.082535743713379, 4.957134246826172, 3.799222230911255, 2.760789357125759e-07]	[4.274153709411621, 1.4964942932128906, 6.797149658203125, 1.9672441482543945, 10.818133354187012, 4.948685646057129, 5.52208137512207, 4.8194990158081055, -0.0]
There is n't every dancer slumping over . <eos>	[4.989853858947754, 1.7958582639694214, 2.908743381500244, 3.3028059005737305, 6.876550674438477, 4.2124433517456055, 4.855002403259277, 3.762500286102295, 2.8019357500852493e-07]	[4.275379180908203, 1.495779037475586, 6.798331260681152, 7.6009931564331055, 9.574222564697266, 5.2549543380737305, 5.100438117980957, 4.641118049621582, -0.0]
There is a committee coping . <eos>	[4.989255905151367, 1.795849084854126, 2.9089534282684326, 7.078639984130859, 3.8723974227905273, 0.5825588703155518, 2.6953301812682184e-07]	[4.2758989334106445, 1.4958744049072266, 1.338850975036621, 9.1282958984375, 16.35301971435547, 8.903589248657227, -0.0]
There is every committee coping . <eos>	[4.9893798828125, 1.7955515384674072, 2.909144639968872, 6.9354963302612305, 4.439387321472168, 1.0650464296340942, 2.700855361581489e-07]	[4.27315616607666, 1.4942245483398438, 10.592714309692383, 10.082741737365723, 16.039663314819336, 6.592513084411621, -0.0]
There are some sisters of Ann climbing up all ladders . <eos>	[4.986843109130859, 1.7956829071044922, 4.3389177322387695, 7.176005840301514, 3.2882819175720215, 4.48409366607666, 4.03447151184082, 4.6790313720703125, 3.191896677017212, 3.6882944107055664, 3.3906137943267822, 2.7092596610600594e-07]	[4.273974418640137, 1.1385440826416016, 3.859177589416504, 11.0643949508667, 3.1777563095092773, 9.578485488891602, 13.369725227355957, 5.230915069580078, 6.768884658813477, 12.549542427062988, 2.6865787506103516, -0.0]
There are all sisters of Ann climbing up all ladders . <eos>	[4.988451957702637, 1.7959489822387695, 4.340750217437744, 6.687811374664307, 3.699726104736328, 3.8540525436401367, 3.9707067012786865, 4.7063093185424805, 3.2103307247161865, 3.8751838207244873, 3.396629571914673, 2.723870125009853e-07]	[4.27470588684082, 1.1397151947021484, 6.833871841430664, 9.985353469848633, 2.795717239379883, 9.841657638549805, 13.73759937286377, 4.60573673248291, 6.0994720458984375, 12.00363540649414, 2.5840587615966797, -0.0]
There is an essay about Winston Churchill irritating Alexander . <eos>	[4.988146781921387, 1.7960249185562134, 2.9091672897338867, 6.358221054077148, 3.594475507736206, 4.248204231262207, 0.24290761351585388, 3.0552806854248047, 4.526974678039551, 5.591972827911377, 2.8551184527714213e-07]	[4.274660110473633, 1.4952983856201172, 2.9707813262939453, 7.973212718963623, 3.390094757080078, 10.664806365966797, 0.025526046752929688, 19.006093978881836, 8.90766716003418, 3.477182388305664, -0.0]
There is each essay about Winston Churchill irritating Alexander . <eos>	[4.986205101013184, 1.7963588237762451, 2.9106836318969727, 7.218852996826172, 4.6810455322265625, 4.073095321655273, 0.8391861319541931, 3.229910373687744, 4.341861724853516, 5.185973167419434, 2.73656780791498e-07]	[4.275345802307129, 1.495473861694336, 12.972451210021973, 9.351036071777344, 4.369108200073242, 13.067854881286621, 0.10518646240234375, 17.24260139465332, 8.987900733947754, 2.513589859008789, -0.0]
There was a rug disappearing . <eos>	[4.98629903793335, 1.7966454029083252, 3.3748745918273926, 7.064359188079834, 4.195953845977783, 3.2033982276916504, 2.957229412459128e-07]	[4.278232574462891, 2.704072952270508, 1.221919059753418, 13.994794845581055, 12.984931945800781, 3.5504894256591797, -0.0]
There was every rug disappearing . <eos>	[4.9843950271606445, 1.7955455780029297, 3.3750128746032715, 7.029027938842773, 3.943730592727661, 2.707911252975464, 2.852076477211085e-07]	[4.27305793762207, 2.708639144897461, 10.586398124694824, 14.39310073852539, 11.794410705566406, 2.7111473083496094, -0.0]
There are n't few documentaries disturbing some actors . <eos>	[4.985557556152344, 1.7954834699630737, 4.341615676879883, 4.321110725402832, 7.376901626586914, 3.1572933197021484, 3.804586410522461, 2.9243955612182617, 3.4881227016448975, 2.704204007386579e-07]	[4.2727203369140625, 1.1397552490234375, 8.222119331359863, 5.719823837280273, 11.708547592163086, 13.992863655090332, 7.475006103515625, 9.422595977783203, 1.4707565307617188, -0.0]
There are n't all documentaries disturbing some actors . <eos>	[4.989719390869141, 1.796790599822998, 4.341131210327148, 4.320363998413086, 6.870854377746582, 3.6743810176849365, 4.243318557739258, 3.409639596939087, 3.648977518081665, 2.698905632314563e-07]	[4.275994300842285, 1.1400318145751953, 8.219518661499023, 4.143431663513184, 12.08114242553711, 13.144913673400879, 7.428620338439941, 8.390369415283203, 1.5159873962402344, -0.0]
There are no peppers upsetting all governments . <eos>	[4.990540504455566, 1.796959638595581, 4.34255313873291, 7.234016418457031, 3.3307199478149414, 3.99641489982605, 4.490854740142822, 3.7977042198181152, 2.7650085598907026e-07]	[4.276689529418945, 1.1401405334472656, 3.045720100402832, 14.082033157348633, 17.216236114501953, 4.677060127258301, 11.330065727233887, 2.0895748138427734, -0.0]
There are all peppers upsetting all governments . <eos>	[4.988543510437012, 1.796152114868164, 4.339820384979248, 6.688401222229004, 3.7695364952087402, 3.9587886333465576, 4.525198936462402, 3.6714999675750732, 2.7454638029666967e-07]	[4.275297164916992, 1.1392402648925781, 6.8347320556640625, 14.544062614440918, 16.821565628051758, 4.714210510253906, 10.97998046875, 1.8543071746826172, -0.0]
There was a cat annoying Alice . <eos>	[4.988557815551758, 1.7960410118103027, 3.374335765838623, 7.061278343200684, 5.645631790161133, 4.366266250610352, 3.830230712890625, 2.819072051352123e-07]	[4.275925636291504, 2.706711769104004, 1.2233610153198242, 10.849895477294922, 13.933106422424316, 8.319802284240723, 2.301987648010254, -0.0]
There was each cat annoying Alice . <eos>	[4.985754489898682, 1.796118140220642, 3.373697280883789, 7.244393825531006, 5.526082992553711, 4.25552225112915, 4.135487079620361, 2.698291154956678e-07]	[4.27580451965332, 2.7058658599853516, 12.574946403503418, 10.481767654418945, 15.039599418640137, 9.858002662658691, 2.495120048522949, -0.0]
