The lady is discussed . <eos>	[5.545644760131836, 7.150014877319336, 4.61134672164917, 5.841238975524902, 3.2202041149139404, 2.7390089485379576e-07]	[5.106276512145996, 12.232779502868652, 2.6094512939453125, 9.643560409545898, 3.069228172302246, -0.0]
Those associations are n't discussed . <eos>	[4.990021705627441, 5.722764492034912, 5.181154251098633, 5.895082473754883, 6.138700485229492, 3.155837059020996, 2.701679875372065e-07]	[7.470919609069824, 7.944090366363525, 2.3006200790405273, 7.664605140686035, 8.797815322875977, 1.9605121612548828, -0.0]
The cashiers were n't appreciated . <eos>	[4.989015579223633, 7.804591178894043, 7.101091384887695, 6.4316558837890625, 6.441832065582275, 2.7629952430725098, 2.7408577807364054e-07]	[1.7130203247070312, 2.997124671936035, 4.130928039550781, 7.474081993103027, 9.014057159423828, 3.5623722076416016, -0.0]
All nuclei are appreciated . <eos>	[4.989488124847412, 5.819522857666016, 3.3328969478607178, 6.398197174072266, 2.8170909881591797, 2.5817527671279095e-07]	[5.902544975280762, 11.952045440673828, 0.8423004150390625, 15.256315231323242, 3.330169677734375, -0.0]
Those children were upset . <eos>	[4.9869537353515625, 5.7269086837768555, 4.508157253265381, 6.110044479370117, 3.179492473602295, 2.672427967809199e-07]	[7.4736433029174805, 7.850960731506348, 2.993877410888672, 7.618170738220215, 4.5347442626953125, -0.0]
Some cats were upset . <eos>	[4.988810062408447, 6.336235046386719, 4.4173479080200195, 6.357511520385742, 3.0484728813171387, 2.6654100793166435e-07]	[5.217428207397461, 9.86343002319336, 3.358671188354492, 7.82857608795166, 4.16474723815918, -0.0]
That actor was n't respected . <eos>	[4.990656852722168, 4.977088451385498, 4.775604248046875, 5.963019371032715, 5.572901248931885, 3.298567771911621, 2.7473629415908363e-07]	[6.272261619567871, 11.1534423828125, 1.6271085739135742, 5.086645126342773, 8.899209976196289, 2.5878524780273438, -0.0]
A lot of blouses are respected . <eos>	[4.988178253173828, 7.243913650512695, 0.39957526326179504, 6.253607749938965, 6.574748992919922, 6.8561692237854, 4.1549072265625, 2.6738530323200393e-07]	[3.9333391189575195, 6.363857269287109, 0.0445404052734375, 3.0465517044067383, 3.063775062561035, 8.952754974365234, 2.4212636947631836, -0.0]
That doctor is annoyed . <eos>	[4.987985134124756, 4.9735212326049805, 5.3604416847229, 6.226339340209961, 2.640399932861328, 2.7798819246527273e-07]	[6.278088569641113, 10.744028091430664, 2.773320198059082, 7.63255500793457, 4.169612884521484, -0.0]
That ox is n't annoyed . <eos>	[4.992344856262207, 4.970909118652344, 4.9759111404418945, 6.168618202209473, 6.033503532409668, 3.0877749919891357, 2.770280502772948e-07]	[6.27940559387207, 14.293359756469727, 2.4084949493408203, 5.452875137329102, 10.95765495300293, 1.5712661743164062, -0.0]
This woman was n't hugged . <eos>	[4.987852096557617, 6.141972541809082, 4.636252403259277, 6.045083999633789, 5.917964935302734, 4.1027727127075195, 2.745850906649139e-07]	[3.5889806747436523, 9.66189956665039, 1.628915786743164, 6.532269477844238, 4.223978042602539, 2.3420867919921875, -0.0]
This eggplant was hugged . <eos>	[4.98789119720459, 6.143862724304199, 6.780153274536133, 6.039678573608398, 5.04864501953125, 2.644903815962607e-07]	[3.591679573059082, 4.1223955154418945, 2.8086023330688477, 4.891421318054199, 3.5008926391601562, -0.0]
Teenagers were escaped from . <eos>	[4.987785339355469, 6.397709846496582, 6.339657306671143, 3.249885082244873, 4.362354278564453, 2.7687934789355495e-07]	[2.941542625427246, 4.748513221740723, 11.519530296325684, 1.3083314895629883, 10.470632553100586, -0.0]
