The mouths notice these soft scarves . <eos>	[5.545644760131836, 7.150014877319336, 0.29549354314804077, 4.869202613830566, 7.182258605957031, 6.405751705169678, 3.4890332221984863, 2.703679342630494e-07]	[5.106276512145996, 13.287752151489258, 16.147106170654297, 6.114443778991699, 9.452840805053711, 13.025413513183594, 1.2175779342651367, -0.0]
The mouths notice these soft scarf . <eos>	[4.988768577575684, 7.805344581604004, 1.3204973936080933, 4.914994239807129, 7.148669719696045, 6.163473129272461, 5.32756233215332, 2.7819993420052924e-07]	[1.7120447158813477, 12.64487361907959, 14.816791534423828, 5.804775238037109, 8.800005912780762, 16.180747985839844, 2.6446542739868164, -0.0]
Allison is n't boycotting those important companies . <eos>	[4.986828804016113, 5.430469989776611, 5.049497604370117, 5.735820770263672, 3.851672410964966, 5.1562347412109375, 3.870866060256958, 3.0259270668029785, 2.7331353180670703e-07]	[10.679741859436035, 2.607677459716797, 7.917048454284668, 14.392863273620605, 6.9285383224487305, 7.956595420837402, 5.921384811401367, 1.2146472930908203, -0.0]
Allison is n't boycotting those important company . <eos>	[4.991448879241943, 5.4286956787109375, 5.047943115234375, 5.736134052276611, 3.851916551589966, 5.157434463500977, 3.8713698387145996, 5.741064548492432, 2.8431091436686984e-07]	[10.678167343139648, 2.6051979064941406, 7.918304443359375, 14.392186164855957, 6.928888320922852, 7.953964710235596, 9.375781059265137, 2.3872995376586914, -0.0]
That bird confuses this important library . <eos>	[4.992440223693848, 4.973395347595215, 4.20829963684082, 4.339053153991699, 5.956594467163086, 6.687385559082031, 3.5265085697174072, 2.6770391059471876e-07]	[6.273904800415039, 8.921407699584961, 10.6544189453125, 4.463872909545898, 7.445484161376953, 11.227508544921875, 1.8611516952514648, -0.0]
That bird confuses this important libraries . <eos>	[4.988828182220459, 4.971977233886719, 4.206426620483398, 4.337757110595703, 5.956900119781494, 6.687832832336426, 3.398176431655884, 2.6622552695698687e-07]	[6.274855613708496, 8.924163818359375, 10.65010929107666, 4.463935852050781, 7.443465232849121, 16.293102264404297, 1.7128868103027344, -0.0]
Regina watches these nice students . <eos>	[4.989090442657471, 5.4438323974609375, 4.802159309387207, 6.731269836425781, 5.377578258514404, 4.565977573394775, 2.8138947527622804e-07]	[11.903331756591797, 9.654168128967285, 6.105410575866699, 11.293649673461914, 8.36198616027832, 3.144341468811035, -0.0]
Regina watches these nice student . <eos>	[4.993560791015625, 5.442715644836426, 4.803118705749512, 6.731500625610352, 5.380387306213379, 6.418051719665527, 2.8365366233629175e-07]	[11.888141632080078, 9.652172088623047, 6.1072998046875, 11.293542861938477, 11.214290618896484, 4.960855484008789, -0.0]
Galileo had hugged that serious student . <eos>	[4.991837501525879, 5.309236526489258, 5.418430328369141, 4.951642990112305, 4.310901641845703, 6.398879051208496, 6.599225997924805, 2.9186634264988243e-07]	[11.39306640625, 3.416171073913574, 4.4986066818237305, 4.031180381774902, 10.576662063598633, 9.460976600646973, 8.164480209350586, -0.0]
Galileo had hugged that serious students . <eos>	[4.992285251617432, 5.3120036125183105, 5.419897079467773, 4.952639579772949, 4.309742450714111, 6.397673606872559, 3.7695484161376953, 2.8263661988603417e-07]	[11.368611335754395, 3.411860466003418, 4.496984481811523, 4.034830093383789, 10.576371192932129, 8.842545509338379, 7.698089599609375, -0.0]
