Tara would ascertain it to be noteworthy that Kenneth did n't wash . <eos>	[5.545644760131836, 5.173591136932373, 4.619665145874023, 3.580561637878418, 3.117182731628418, 4.6093645095825195, 5.055064678192139, 2.0432381629943848, 4.14039421081543, 5.100119590759277, 1.2348692417144775, 4.603507041931152, 3.0041913986206055, 2.8961238740521367e-07]	[11.757296562194824, 7.622580051422119, 12.730647087097168, 5.149813652038574, 3.031536102294922, 2.046194076538086, 11.489831924438477, 4.757633209228516, 11.04630184173584, 4.1800031661987305, 1.6059856414794922, 10.245309829711914, 4.227299690246582, -0.0]	Tara would n't entice it to be noteworthy that Kenneth did n't wash . <eos>	[4.986695766448975, 5.833701133728027, 4.756230354309082, 4.836482048034668, 4.530157089233398, 3.349123001098633, 5.567481994628906, 6.222583293914795, 2.6107168197631836, 4.022796154022217, 4.910150527954102, 1.3155913352966309, 4.4108147621154785, 2.8965091705322266, 2.908682290581055e-07]	[11.844444274902344, 6.475376129150391, 5.117804527282715, 10.117317199707031, 5.168196678161621, 1.3293724060058594, 3.1619577407836914, 13.214096069335938, 4.986994743347168, 11.436172485351562, 3.397311210632324, 1.0842933654785156, 10.709354400634766, 4.982600212097168, -0.0]
Carla could declare it to be not so important that these doctors observe Rhonda . <eos>	[4.988150596618652, 5.6932477951049805, 4.191583633422852, 4.2594828605651855, 4.343507766723633, 1.2389626502990723, 3.8572957515716553, 4.703057765960693, 5.771955490112305, 3.0560948848724365, 4.145594120025635, 6.8498005867004395, 3.8412976264953613, 3.9136877059936523, 1.4085333347320557, 2.651511863405176e-07]	[11.908453941345215, 8.321011543273926, 10.59178352355957, 4.316051483154297, 2.395085334777832, 0.1807708740234375, 7.343016147613525, 5.600063323974609, 4.34211540222168, 2.4196949005126953, 7.176770210266113, 8.0555419921875, 11.037601470947266, 14.651952743530273, 4.212453842163086, -0.0]	Carla can convince it to be not so important that these doctors observe Rhonda . <eos>	[4.987393379211426, 5.69207239151001, 4.499957084655762, 5.2512993812561035, 1.4394268989562988, 5.265878677368164, 5.423349380493164, 5.339595794677734, 5.739099502563477, 3.1361050605773926, 4.154770374298096, 6.716254234313965, 4.26708984375, 4.194912910461426, 1.3193904161453247, 2.7161343041370856e-07]	[11.923333168029785, 6.599576950073242, 7.689422607421875, 6.583062171936035, 0.37721824645996094, 2.378878593444824, 6.5278215408325195, 4.943994522094727, 5.528562545776367, 2.6848859786987305, 7.334419250488281, 7.895186901092529, 9.447150230407715, 13.93237590789795, 4.022994041442871, -0.0]
Nina anticipated it to be nice that Jacqueline exists . <eos>	[4.989343643188477, 5.653794288635254, 4.212788105010986, 3.809126615524292, 3.8438591957092285, 4.742650985717773, 2.568340301513672, 3.415555477142334, 4.072330474853516, 3.67464542388916, 2.7523569201548526e-07]	[11.210481643676758, 11.175168991088867, 4.730243682861328, 2.6070499420166016, 0.7910785675048828, 7.058462619781494, 5.944939613342285, 8.684003829956055, 11.704235076904297, 2.866609573364258, -0.0]	Nina obligated it to be nice that Jacqueline exists . <eos>	[4.990055084228516, 5.653506755828857, 4.621041297912598, 1.9104235172271729, 5.614745140075684, 5.122790336608887, 2.3493311405181885, 3.475412130355835, 4.354907512664795, 3.4886372089385986, 2.763318036613782e-07]	[11.200048446655273, 17.303796768188477, 5.113101959228516, 0.38771820068359375, 2.6411876678466797, 8.864631652832031, 6.196369171142578, 9.361391067504883, 11.454282760620117, 2.7808218002319336, -0.0]
Some granddaughter of Bruce did find it to be expected that a lot of legislatures try to conceal Colleen . <eos>	[4.988932132720947, 6.336124420166016, 4.478395462036133, 5.619331359863281, 5.505036354064941, 2.620049476623535, 4.588565349578857, 4.604978561401367, 2.283700466156006, 4.197605609893799, 1.5454998016357422, 4.8561320304870605, 6.9271721839904785, 0.556036651134491, 6.033578872680664, 3.2247743606567383, 0.39570102095603943, 5.924923896789551, 3.4436216354370117, 0.803464412689209, 2.75617423994845e-07]	[5.217310905456543, 14.771848678588867, 1.5126371383666992, 7.1908979415893555, 11.76901626586914, 6.677885055541992, 3.6300086975097656, 2.0359878540039062, 0.38189697265625, 9.629103660583496, 1.4207563400268555, 3.273369789123535, 6.9488525390625, 0.0726776123046875, 13.26101303100586, 9.414684295654297, 0.045513153076171875, 7.680878639221191, 15.994372367858887, 5.929471015930176, -0.0]	Some granddaughter of Bruce would force it to be expected that a lot of legislatures try to conceal Colleen . <eos>	[4.992667198181152, 6.336705207824707, 4.479060173034668, 5.620064735412598, 5.506533145904541, 4.414511680603027, 3.8080978393554688, 1.2107727527618408, 5.661263942718506, 6.298159122467041, 1.2167001962661743, 4.181077480316162, 6.774982452392578, 0.573430597782135, 5.723531723022461, 3.0990872383117676, 0.3677452802658081, 5.900564193725586, 3.3550643920898438, 0.7393229007720947, 2.7574282057685195e-07]	[5.215839385986328, 14.769775390625, 1.5147590637207031, 7.186976432800293, 10.89042854309082, 9.060589790344238, 4.4037628173828125, 0.20693206787109375, 2.3910694122314453, 8.86107349395752, 2.971090316772461, 3.608992576599121, 7.70644474029541, 0.07744216918945312, 12.730359077453613, 9.608470916748047, 0.04274559020996094, 7.8421831130981445, 16.114065170288086, 5.4875383377075195, -0.0]
Charles 's brothers had n't considered it to be not so amusing that every man exercised . <eos>	[4.992488861083984, 6.273676872253418, 6.716141223907471, 4.833417892456055, 5.225620269775391, 4.9235334396362305, 4.331843376159668, 3.6725330352783203, 1.142798662185669, 4.291011810302734, 5.065572738647461, 5.307204246520996, 2.619281768798828, 3.2668697834014893, 6.608948707580566, 4.328708648681641, 4.203512191772461, 2.962014491458831e-07]	[7.746295928955078, 4.159572601318359, 6.920852184295654, 3.684147834777832, 8.33102035522461, 6.325593948364258, 3.866739273071289, 1.2685861587524414, 0.1861743927001953, 7.429637908935547, 5.720305442810059, 8.342334747314453, 3.262521743774414, 7.2847185134887695, 3.168185234069824, 10.423437118530273, 5.891278266906738, -0.0]	Charles 's brothers motivate it to be not so amusing that every man exercised . <eos>	[4.98883056640625, 6.2759857177734375, 6.717804431915283, 4.835036277770996, 3.319096565246582, 2.6230828762054443, 5.575460433959961, 5.205549240112305, 5.578447341918945, 5.561042308807373, 2.6700313091278076, 3.0656261444091797, 6.656276226043701, 4.174466133117676, 4.2429914474487305, 2.9954190949865733e-07]	[7.744175910949707, 4.161955833435059, 6.920279026031494, 14.989316940307617, 7.824804306030273, 1.1580390930175781, 3.1532907485961914, 7.702916145324707, 4.864937782287598, 8.422718048095703, 3.044875144958496, 7.263833045959473, 2.99343204498291, 12.97697639465332, 5.745260238647461, -0.0]
Maria discovers it to be not so good that Karla could n't need Carlos to question Candice . <eos>	[4.989722728729248, 5.197051525115967, 3.5151805877685547, 2.808816432952881, 1.425096035003662, 4.677817344665527, 4.94636344909668, 5.600502967834473, 3.2189536094665527, 3.74162220954895, 4.196636199951172, 4.814252853393555, 5.07515811920166, 3.6089091300964355, 3.466341972351074, 5.336062431335449, 2.8220391273498535, 2.9846715927124023, 2.8042222766089253e-07]	[9.758260726928711, 8.12494945526123, 4.180116653442383, 4.5728302001953125, 0.21883583068847656, 6.563925743103027, 4.75639533996582, 3.0856800079345703, 2.0849151611328125, 10.398090362548828, 6.242161750793457, 2.8104143142700195, 8.937056541442871, 10.262767791748047, 1.415318489074707, 10.058767318725586, 11.58033275604248, 1.2433815002441406, -0.0]	Maria should n't ask it to be not so good that Karla could n't need Carlos to question Candice . <eos>	[4.994413375854492, 5.197855472564697, 4.0434489250183105, 4.081122398376465, 4.037904739379883, 3.2471320629119873, 5.101651668548584, 5.736344814300537, 5.514451026916504, 5.588814735412598, 3.2900431156158447, 3.19333553314209, 4.2414374351501465, 5.271064758300781, 5.113161087036133, 3.5560503005981445, 3.6183977127075195, 5.346160888671875, 2.907435655593872, 3.0012829303741455, 2.7804765068140114e-07]	[9.742636680603027, 8.534902572631836, 5.243189811706543, 5.599733352661133, 6.007713317871094, 1.616023063659668, 1.7735795974731445, 7.121278762817383, 4.515332221984863, 3.071530342102051, 2.8620119094848633, 11.532241821289062, 5.071988105773926, 2.9748659133911133, 8.726255416870117, 10.41949462890625, 1.5071220397949219, 9.490504264831543, 11.360359191894531, 1.205465316772461, -0.0]
Walter considers it to be lucky that Angela walks through many museums . <eos>	[4.993190288543701, 6.13909387588501, 4.869253158569336, 3.8147215843200684, 0.32388997077941895, 3.1310958862304688, 2.9382505416870117, 3.8204548358917236, 4.416025638580322, 3.6407432556152344, 3.1105523109436035, 5.696803092956543, 2.920461893081665, 2.700372192521172e-07]	[9.233074188232422, 10.38808536529541, 3.2443714141845703, 1.515364646911621, 0.04972267150878906, 10.546648025512695, 3.91644287109375, 10.53384780883789, 8.493151664733887, 3.7797231674194336, 7.742806434631348, 9.059349060058594, 2.152090072631836, -0.0]	Walter had n't pressed it to be lucky that Angela walks through many museums . <eos>	[4.989405632019043, 6.138485908508301, 5.5474700927734375, 5.356650352478027, 4.063558101654053, 3.597198247909546, 5.514293193817139, 5.503277778625488, 2.5266103744506836, 3.68159556388855, 4.756877899169922, 3.781982660293579, 3.166872978210449, 5.395103454589844, 2.869978904724121, 2.691040776880982e-07]	[9.240504264831543, 5.180179595947266, 7.649992942810059, 9.46494197845459, 4.067586898803711, 1.67547607421875, 3.2296342849731445, 10.663640975952148, 5.899751663208008, 12.107314109802246, 10.115667343139648, 4.024320602416992, 7.735934257507324, 9.327945709228516, 1.8301801681518555, -0.0]
Noah ca n't predict it to be not so funny that some pasta blackens . <eos>	[4.989087104797363, 5.317982196807861, 0.13163115084171295, 5.4240827560424805, 3.869178295135498, 3.383111000061035, 5.367506980895996, 5.37921142578125, 5.526030540466309, 5.2600812911987305, 2.602238655090332, 3.4881114959716797, 5.111689567565918, 5.268821716308594, 4.745771884918213, 2.752932175553724e-07]	[11.195076942443848, 10.924673080444336, 0.0228424072265625, 8.92806339263916, 4.2321577072143555, 2.470714569091797, 1.7079601287841797, 7.454421043395996, 4.595062255859375, 4.636056900024414, 3.6545209884643555, 5.793882369995117, 14.589473724365234, 3.8224315643310547, 5.019449234008789, -0.0]	Noah is pressuring it to be not so funny that some pasta blackens . <eos>	[4.987665176391602, 5.317713737487793, 5.514782428741455, 5.028388023376465, 2.6800103187561035, 5.325864315032959, 5.987968444824219, 5.695549011230469, 5.933652877807617, 2.541872501373291, 3.4293651580810547, 4.545811653137207, 5.1746063232421875, 4.521233558654785, 2.784149160106608e-07]	[11.199575424194336, 2.9540624618530273, 11.999929428100586, 4.982161521911621, 0.8669204711914062, 2.8961944580078125, 6.976556301116943, 4.810929298400879, 5.516243934631348, 3.1142024993896484, 5.94694709777832, 14.448866844177246, 3.822606086730957, 5.719719886779785, -0.0]
Aaron was predicting it to be amusing that Bradley motivates Jennifer to yawn . <eos>	[4.989020347595215, 5.81304407119751, 5.141693115234375, 4.223886013031006, 3.294968605041504, 4.48417854309082, 4.47334623336792, 2.3103280067443848, 3.542288303375244, 4.155623912811279, 4.374424934387207, 3.186225414276123, 5.4857587814331055, 4.065061092376709, 2.7779088895840687e-07]	[10.42040729522705, 2.5304441452026367, 12.517168998718262, 5.273930549621582, 1.3631763458251953, 1.2965621948242188, 12.879119873046875, 5.633813858032227, 9.962992668151855, 14.834280967712402, 8.572590827941895, 0.6897773742675781, 5.021599769592285, 4.145673751831055, -0.0]	Aaron asked it to be amusing that Bradley motivates Jennifer to yawn . <eos>	[4.99321174621582, 5.816375732421875, 5.320684432983398, 2.564452648162842, 5.158130645751953, 4.799356460571289, 2.3578782081604004, 3.5141396522521973, 4.393337249755859, 4.154723167419434, 3.0852813720703125, 5.550153732299805, 3.8110814094543457, 2.787251673908031e-07]	[10.423603057861328, 7.8202972412109375, 5.811725616455078, 0.9186210632324219, 1.6161794662475586, 10.287590026855469, 5.5201416015625, 10.667434692382812, 14.379051208496094, 9.159860610961914, 0.6865940093994141, 4.956971168518066, 4.185253143310547, -0.0]
Ronald does need it to be not so pleasant that those actors hide away . <eos>	[4.993159294128418, 4.751615524291992, 1.9003269672393799, 3.535968065261841, 3.5502655506134033, 5.951370716094971, 5.905627727508545, 5.548897743225098, 5.226624965667725, 2.8771414756774902, 3.6321191787719727, 5.294478416442871, 4.93314266204834, 3.8411760330200195, 2.4814810752868652, 2.8009992547595175e-07]	[10.596504211425781, 8.750347137451172, 10.298830032348633, 5.373061180114746, 1.221266746520996, 2.8640222549438477, 7.595728874206543, 4.872860908508301, 7.694022178649902, 2.946796417236328, 6.862052917480469, 7.906179428100586, 9.94236946105957, 5.523707389831543, 2.8256072998046875, -0.0]	Ronald asked it to be not so pleasant that those actors hide away . <eos>	[4.9881672859191895, 4.75245475769043, 5.515926361083984, 2.448427438735962, 4.962835788726807, 5.157953262329102, 5.567524433135986, 5.7722320556640625, 2.8407976627349854, 3.4708213806152344, 5.1717915534973145, 4.553046226501465, 3.693270683288574, 2.465803384780884, 2.8119058015363407e-07]	[10.602655410766602, 9.409357070922852, 6.0081586837768555, 0.8396224975585938, 1.2969379425048828, 7.443758487701416, 5.016780853271484, 7.690431594848633, 2.7063255310058594, 6.593750953674316, 7.908180236816406, 12.410911560058594, 5.390885353088379, 2.7091875076293945, -0.0]
