Eric imagines himself taking every rug . <eos>	[5.545644760131836, 5.521859645843506, 3.790412664413452, 2.7445316314697266, 4.305706024169922, 6.379566669464111, 3.5507545471191406, 2.979072064590582e-07]	[9.710396766662598, 13.762720108032227, 1.9334840774536133, 6.286060333251953, 7.331254959106445, 11.765792846679688, 2.3596582412719727, -0.0]	Eric imagines himself took every rug . <eos>	[4.9900994300842285, 6.117551803588867, 4.319186210632324, 3.5327892303466797, 3.872735023498535, 6.161876201629639, 3.339056968688965, 2.9436762361001456e-07]	[9.530933380126953, 10.941084861755371, 1.6951627731323242, 13.14334487915039, 7.981925964355469, 12.005424499511719, 3.451014518737793, -0.0]
Stacy imagines herself praising this actress . <eos>	[4.989357948303223, 5.890399932861328, 4.015583515167236, 2.5934386253356934, 4.113313674926758, 5.855831623077393, 2.774630546569824, 2.6748261916509364e-07]	[12.397191047668457, 11.213913917541504, 2.0098390579223633, 13.971755981445312, 6.131538391113281, 8.46064567565918, 4.053126335144043, -0.0]	Stacy imagines herself praises this actress . <eos>	[4.993535041809082, 5.888825416564941, 4.018577575683594, 2.5896854400634766, 4.3817009925842285, 5.738249778747559, 3.1115238666534424, 2.6543906983533816e-07]	[12.390347480773926, 11.220319747924805, 2.009824752807617, 15.892983436584473, 5.703007698059082, 9.750850677490234, 4.304079055786133, -0.0]
All pedestrians think about themselves exploring museums . <eos>	[4.993164539337158, 5.8187150955200195, 4.226050853729248, 3.791865110397339, 4.553468704223633, 3.353055477142334, 4.313708305358887, 2.606919765472412, 2.702101369322918e-07]	[5.905744552612305, 12.11508846282959, 12.010235786437988, 4.14710807800293, 6.312810897827148, 11.597450256347656, 11.317780494689941, 1.9039621353149414, -0.0]	All pedestrians think about themselves explored museums . <eos>	[4.989738941192627, 5.82120418548584, 4.226870536804199, 3.7941017150878906, 4.553645610809326, 3.3545010089874268, 3.7374327182769775, 2.702993869781494, 2.6842798206416774e-07]	[5.90756893157959, 12.115117073059082, 12.014440536499023, 4.14481258392334, 6.313650131225586, 15.059333801269531, 13.047414779663086, 1.4764232635498047, -0.0]
Cheryl is forgetting about herself thinking about Beverly . <eos>	[4.99064826965332, 5.8383073806762695, 5.393716812133789, 2.900027275085449, 4.450992584228516, 3.012925386428833, 3.052565097808838, 4.570266246795654, 3.2095468044281006, 2.8146342856416595e-07]	[11.900680541992188, 2.389345169067383, 15.560787200927734, 2.231964111328125, 5.788032531738281, 7.678797721862793, 1.4321250915527344, 9.355712890625, 2.150113105773926, -0.0]	Cheryl is forgetting about herself thought about Beverly . <eos>	[4.9916181564331055, 5.836367130279541, 5.395705223083496, 2.900601387023926, 4.449348449707031, 3.012721538543701, 3.5955586433410645, 4.398122787475586, 3.1492815017700195, 2.8017603881380637e-07]	[11.888315200805664, 2.3883962631225586, 15.5577974319458, 2.2293777465820312, 5.787351608276367, 10.415950775146484, 2.7363929748535156, 9.859258651733398, 2.1682662963867188, -0.0]
Some guests imagine themselves exploring a library . <eos>	[4.991308212280273, 6.334376335144043, 5.351897239685059, 3.566131114959717, 3.706329584121704, 4.175601959228516, 7.079999923706055, 4.159518718719482, 2.7942451197304763e-07]	[5.217618942260742, 9.190195083618164, 9.85389518737793, 5.459798812866211, 8.900436401367188, 2.0685977935791016, 9.19439697265625, 3.2734107971191406, -0.0]	Some guests imagine themselves explored a library . <eos>	[4.990156173706055, 6.3321380615234375, 5.352936267852783, 3.564606189727783, 3.706446409225464, 3.6213481426239014, 6.343289375305176, 4.352057456970215, 2.735572763867822e-07]	[5.217621803283691, 9.195699691772461, 9.849184036254883, 5.461708068847656, 12.78934383392334, 5.370195388793945, 10.363373756408691, 3.5084753036499023, -0.0]
Tonya is thinking about herself listening to Andrew . <eos>	[4.990684986114502, 6.396634101867676, 4.759459495544434, 2.464017868041992, 4.825045585632324, 3.379138469696045, 0.8874076008796692, 5.279191970825195, 4.322272777557373, 2.700786012610479e-07]	[2.937258720397949, 2.743856430053711, 12.643503189086914, 1.8889331817626953, 8.004084587097168, 9.944799423217773, 0.1292858123779297, 9.649170875549316, 4.051301956176758, -0.0]	Tonya is thinking about herself listened to Andrew . <eos>	[4.987665176391602, 6.396279335021973, 4.759016036987305, 2.465191125869751, 4.825723648071289, 3.3791074752807617, 0.41759610176086426, 4.838021278381348, 3.6098828315734863, 2.740102331699745e-07]	[2.94272518157959, 2.7429256439208984, 12.640572547912598, 1.8886737823486328, 7.9998297691345215, 15.390884399414062, 0.05314826965332031, 10.288017272949219, 4.17411994934082, -0.0]
Christina has n't thought about herself noticing Sheila . <eos>	[4.9880900382995605, 5.520511150360107, 4.882244110107422, 4.991999626159668, 3.651153564453125, 4.7857465744018555, 4.010593414306641, 3.8333277702331543, 3.6518337726593018, 2.8104267357775825e-07]	[11.245485305786133, 4.751891136169434, 8.246360778808594, 5.684453964233398, 2.899468421936035, 4.127557754516602, 11.980985641479492, 10.505514144897461, 1.8449516296386719, -0.0]	Christina has n't thought about herself notices Sheila . <eos>	[4.987455368041992, 5.52263879776001, 4.882206916809082, 4.992181301116943, 3.6505775451660156, 4.785987854003906, 4.009929656982422, 4.240784168243408, 4.8702826499938965, 2.815749837736803e-07]	[11.248579025268555, 4.750432968139648, 8.24815559387207, 5.683673858642578, 2.8991708755493164, 4.129515647888184, 15.77083683013916, 12.457569122314453, 2.301769256591797, -0.0]
Ann would n't forget about herself passing banks . <eos>	[4.989470481872559, 5.9441938400268555, 4.835018157958984, 5.033878326416016, 3.662670612335205, 3.313854694366455, 3.34679913520813, 4.135560035705566, 3.8945631980895996, 2.7820590275950963e-07]	[10.32518482208252, 6.819098472595215, 5.650697708129883, 5.4120893478393555, 2.889404296875, 5.672571182250977, 10.803974151611328, 14.975998878479004, 2.382699966430664, -0.0]	Ann would n't forget about herself passed banks . <eos>	[4.98985481262207, 5.945240020751953, 4.830998420715332, 5.033803939819336, 3.6624598503112793, 3.3129398822784424, 3.346663475036621, 3.904702663421631, 3.7539939880371094, 2.789766426758433e-07]	[10.329523086547852, 6.815320014953613, 5.651391983032227, 5.4106340408325195, 2.8920822143554688, 5.671760559082031, 14.03497314453125, 15.149317741394043, 2.3945446014404297, -0.0]
These patients think about themselves concealing that girl . <eos>	[4.990242004394531, 7.002624988555908, 4.243442535400391, 3.6854426860809326, 4.234533786773682, 3.1841092109680176, 3.551069974899292, 4.527807712554932, 3.690023899078369, 2.73024824082313e-07]	[4.84712028503418, 7.958558082580566, 9.604596138000488, 3.5276927947998047, 5.541844367980957, 13.066837310791016, 4.358332633972168, 11.184598922729492, 5.182096481323242, -0.0]	These patients think about themselves concealed that girl . <eos>	[4.9864678382873535, 7.005326747894287, 4.244406223297119, 3.685063362121582, 4.233752250671387, 3.184654712677002, 3.002401351928711, 3.8843812942504883, 5.75779914855957, 2.7164699645254586e-07]	[4.845150947570801, 7.958308219909668, 9.602555274963379, 3.527050018310547, 5.542558670043945, 12.038646697998047, 4.409120559692383, 12.301639556884766, 5.714555740356445, -0.0]
That association is forgetting about itself impressing Renee . <eos>	[4.988018035888672, 4.973203659057617, 4.600323677062988, 5.823157787322998, 3.3525338172912598, 4.814089775085449, 3.714789390563965, 4.646753311157227, 5.005095481872559, 2.6395775876153493e-07]	[6.273379325866699, 8.011819839477539, 2.0338239669799805, 14.656505584716797, 3.3250389099121094, 6.885986328125, 14.262834548950195, 13.940447807312012, 2.044351577758789, -0.0]	That association is forgetting about itself impresses Renee . <eos>	[4.987603187561035, 4.97605037689209, 4.59879732131958, 5.822977066040039, 3.351372241973877, 4.8164520263671875, 3.7146353721618652, 5.028952598571777, 5.2025556564331055, 2.6199077751698496e-07]	[6.273151397705078, 8.006261825561523, 2.034003257751465, 14.65194034576416, 3.324711799621582, 6.8869171142578125, 5.572884559631348, 14.878777503967285, 2.301044464111328, -0.0]
