This customer who had visited most children has worn some shoes . <eos>	[5.545644283294678, 5.908449172973633, 4.70391845703125, 5.339923858642578, 5.690695762634277, 4.086786270141602, 1.9955707788467407, 4.016860485076904, 4.8565673828125, 4.093624591827393, 5.82369327545166, 3.280409574508667, 2.743285847373045e-07]	[7.818253993988037, 12.051856994628906, 6.1116485595703125, 2.8562278747558594, 6.363376617431641, 6.102574348449707, 8.595166206359863, 5.319011688232422, 9.028831481933594, 5.144330978393555, 6.593793869018555, 1.457845687866211, -0.0]	This customer who had visited most children have worn some shoes . <eos>	[4.990352153778076, 6.140400409698486, 4.961112976074219, 5.317310810089111, 5.768714904785156, 4.244089126586914, 2.3963494300842285, 4.0613484382629395, 5.3457136154174805, 4.234556674957275, 5.921393394470215, 3.4657859802246094, 2.724877674609161e-07]	[3.591123580932617, 11.432815551757812, 6.075714111328125, 3.0674171447753906, 6.366664886474609, 6.21354866027832, 8.489493370056152, 9.16323471069336, 9.143121719360352, 4.98621940612793, 6.165128707885742, 2.133591651916504, -0.0]
This boy that did n't question all guests has forgotten about what was n't vaporizing . <eos>	[4.990307807922363, 6.141626358032227, 4.129085540771484, 5.540950775146484, 2.4421133995056152, 5.028110980987549, 3.8342576026916504, 3.9737815856933594, 4.622375965118408, 5.604724407196045, 3.9340105056762695, 4.089669227600098, 3.962172031402588, 3.4144973754882812, 5.178175449371338, 4.3486409187316895, 2.7431639182395884e-07]	[3.5918807983398438, 10.37238883972168, 8.652874946594238, 5.193572044372559, 1.9912395477294922, 8.810873031616211, 5.436328887939453, 9.672350883483887, 5.4839067459106445, 6.846622467041016, 3.73598575592041, 3.864229202270508, 3.5796146392822266, 6.616059303283691, 4.309736251831055, 1.6034927368164062, -0.0]	This boy that did n't question all guests have forgotten about what was n't vaporizing . <eos>	[4.988156318664551, 6.142885684967041, 4.130429744720459, 5.541821479797363, 2.441728115081787, 5.02763557434082, 3.8357954025268555, 3.975475788116455, 4.623254776000977, 5.721268177032471, 3.934519052505493, 4.127326965332031, 3.9560914039611816, 3.3658320903778076, 5.168219566345215, 4.396273136138916, 2.738968873927661e-07]	[3.5911340713500977, 10.372054100036621, 8.649697303771973, 5.196216583251953, 1.9888019561767578, 8.81064224243164, 5.434023857116699, 9.673426628112793, 7.267793655395508, 6.674650192260742, 3.9792776107788086, 4.0054931640625, 3.5335397720336914, 6.733273506164551, 4.284235000610352, 1.6533184051513672, -0.0]
Boys that are n't disturbing Natalie suffer . <eos>	[4.988170623779297, 5.007735252380371, 5.309912204742432, 6.096485137939453, 6.471831321716309, 5.087546348571777, 2.5937376022338867, 4.269869327545166, 2.8230249426997034e-07]	[10.83626937866211, 6.325906753540039, 2.348102569580078, 4.168791770935059, 12.376035690307617, 13.4522705078125, 9.43106460571289, 3.9901123046875, -0.0]	Boys that are n't disturbing Natalie suffers . <eos>	[4.985652923583984, 5.001040935516357, 5.308919906616211, 6.090768337249756, 6.471400260925293, 5.085770606994629, 2.5954360961914062, 3.491969108581543, 2.822085320985934e-07]	[10.838483810424805, 6.329582214355469, 2.3438777923583984, 4.166172027587891, 12.378925323486328, 13.45646858215332, 10.890779495239258, 4.621564865112305, -0.0]
Some customers who irritates Amelia do persuade Galileo to come here . <eos>	[4.984034538269043, 6.326915740966797, 5.271450519561768, 5.123359203338623, 5.064260482788086, 5.36331844329834, 1.5672385692596436, 4.462303161621094, 1.6141458749771118, 5.952602863311768, 2.8358616828918457, 3.4566574096679688, 2.789168718209112e-07]	[5.213393211364746, 8.215286254882812, 4.261569023132324, 5.235267639160156, 13.73292350769043, 6.118080139160156, 13.833511352539062, 13.499780654907227, 0.3009357452392578, 5.065668106079102, 6.790595054626465, 2.315654754638672, -0.0]	Some customers who irritates Amelia does persuade Galileo to come here . <eos>	[4.987825870513916, 6.331500053405762, 5.273525238037109, 5.124305725097656, 5.065624713897705, 5.364938259124756, 1.365323543548584, 4.3871941566467285, 1.7379493713378906, 5.893013000488281, 2.7826805114746094, 3.483757495880127, 2.800760228183208e-07]	[5.214860916137695, 8.210290908813477, 4.258125305175781, 5.238554000854492, 13.734118461608887, 7.439256191253662, 13.984992980957031, 13.143399238586426, 0.3579692840576172, 5.029730796813965, 6.86579704284668, 2.431150436401367, -0.0]
Many children that had questioned this government do cooperate . <eos>	[4.987600326538086, 5.7785868644714355, 4.830548286437988, 5.013913154602051, 5.161905288696289, 4.017709732055664, 6.635697364807129, 4.256653785705566, 0.8601282835006714, 2.4724855422973633, 2.802353264996782e-07]	[5.546052932739258, 6.664800643920898, 6.510043144226074, 2.833345413208008, 10.593727111816406, 4.106396675109863, 7.03140926361084, 7.206901550292969, 11.27306842803955, 2.977743148803711, -0.0]	Many children that had questioned this government does cooperate . <eos>	[4.992124080657959, 5.78054666519165, 4.830752849578857, 5.012571334838867, 5.160091876983643, 4.018064498901367, 6.635494232177734, 4.255265712738037, 0.8846336007118225, 2.3922119140625, 2.7556518489291193e-07]	[5.544754981994629, 6.6625471115112305, 6.506473541259766, 2.834977149963379, 10.596677780151367, 4.104310035705566, 7.02817440032959, 11.309751510620117, 11.271454811096191, 3.2043590545654297, -0.0]
A lot of schools that have concealed Adam worry . <eos>	[4.990821361541748, 7.241964817047119, 0.3985905051231384, 6.253894805908203, 3.996640920639038, 4.794018745422363, 5.621532440185547, 4.729372978210449, 3.1488823890686035, 3.762495517730713, 2.8318635258983704e-07]	[3.9334325790405273, 6.354658126831055, 0.044422149658203125, 7.074062347412109, 5.114016532897949, 1.8737144470214844, 9.811920166015625, 13.616707801818848, 13.381962776184082, 4.022164344787598, -0.0]	A lot of schools that have concealed Adam worries . <eos>	[4.996354103088379, 7.240701675415039, 0.39825573563575745, 6.2539873123168945, 3.9973511695861816, 4.793403625488281, 5.621227741241455, 4.727535724639893, 3.1504030227661133, 3.4551992416381836, 2.7674695957102813e-07]	[3.93422794342041, 6.352946758270264, 0.044368743896484375, 7.077427864074707, 5.112807273864746, 1.8737192153930664, 9.811613082885742, 13.612494468688965, 11.169143676757812, 3.70477294921875, -0.0]
All pedestrians that would n't shock William read . <eos>	[4.9934892654418945, 5.820370674133301, 4.226130485534668, 4.268566131591797, 4.103336811065674, 4.091297149658203, 4.6401543617248535, 5.683401107788086, 4.327588081359863, 2.6501913907850394e-07]	[5.897944450378418, 12.11854362487793, 5.654675483703613, 4.934429168701172, 7.339150428771973, 13.752278327941895, 11.483293533325195, 10.687433242797852, 5.045475006103516, -0.0]	All pedestrians that would n't shock William reads . <eos>	[4.9896721839904785, 5.8204240798950195, 4.226039886474609, 4.266932964324951, 4.104085445404053, 4.091806411743164, 4.6388092041015625, 5.68412971496582, 4.635870933532715, 2.6560491050986457e-07]	[5.913082122802734, 12.112340927124023, 5.655800819396973, 4.9349822998046875, 7.346524238586426, 13.750476837158203, 11.482572555541992, 15.501140594482422, 4.065251350402832, -0.0]
The girl who had visited most guests is curing a woman . <eos>	[4.990161895751953, 7.802634239196777, 5.0907673835754395, 5.284196376800537, 5.383354663848877, 4.096729278564453, 1.1585099697113037, 4.592398643493652, 6.36112642288208, 4.398867607116699, 5.714310646057129, 3.207149028778076, 2.749067675722472e-07]	[1.7127885818481445, 9.27895450592041, 3.892580032348633, 2.4053850173950195, 5.696702003479004, 7.5598554611206055, 10.059242248535156, 4.274656295776367, 12.939576148986816, 2.803701400756836, 2.092151641845703, 2.1875362396240234, -0.0]	The girl who had visited most guests were curing a woman . <eos>	[4.991609573364258, 7.8046183586120605, 5.093331336975098, 5.284641265869141, 5.383716106414795, 4.096778869628906, 1.15906822681427, 4.592565536499023, 6.730780601501465, 4.578619956970215, 5.7455034255981445, 3.298203468322754, 2.702996084735787e-07]	[1.7156696319580078, 9.274858474731445, 3.888096809387207, 2.405109405517578, 5.698846817016602, 7.561980247497559, 10.05759048461914, 4.8614912033081055, 12.589465141296387, 2.942074775695801, 2.290140151977539, 2.285795211791992, -0.0]
Those guys that hid Kenneth explain Rhonda wo n't skate around a lot of restaurants . <eos>	[4.989148139953613, 5.725024223327637, 4.786008834838867, 5.504903793334961, 3.563990354537964, 4.30047607421875, 3.7403576374053955, 1.4194622039794922, 0.22093646228313446, 4.895761489868164, 4.476947784423828, 3.802138566970825, 6.843311309814453, 2.6784911155700684, 5.721216678619385, 3.097543716430664, 2.83630697595072e-07]	[7.467892646789551, 7.898304462432861, 3.9849891662597656, 9.876465797424316, 13.37308120727539, 12.940967559814453, 15.3240966796875, 11.023212432861328, 0.05211639404296875, 9.466104507446289, 4.184399604797363, 3.3752670288085938, 4.080781936645508, 1.7030067443847656, 8.682554244995117, 1.3464994430541992, -0.0]	Those guys that hid Kenneth explains Rhonda wo n't skate around a lot of restaurants . <eos>	[4.989627838134766, 5.725212097167969, 4.786033630371094, 5.5053486824035645, 3.562704563140869, 4.301862716674805, 3.044186592102051, 1.7816214561462402, 0.16850735247135162, 4.795721530914307, 4.477055549621582, 3.6978650093078613, 6.813667297363281, 2.831796407699585, 5.88536262512207, 3.11222505569458, 2.8367122695271973e-07]	[7.471702575683594, 7.8931145668029785, 3.9864206314086914, 9.878185272216797, 13.374104499816895, 12.95477294921875, 15.443077087402344, 9.57278823852539, 0.03535270690917969, 8.775198936462402, 4.233154296875, 3.4784278869628906, 4.238213539123535, 1.6385955810546875, 8.346319198608398, 1.496779441833496, -0.0]
A doctor who researched the Clintons waves . <eos>	[4.989912033081055, 7.244050025939941, 4.593014717102051, 5.452051639556885, 4.6432342529296875, 7.257088661193848, 6.050300121307373, 4.443963527679443, 2.820305269324308e-07]	[3.9346628189086914, 7.789834022521973, 2.995706558227539, 8.703934669494629, 1.1712923049926758, 3.268527030944824, 10.66127872467041, 7.375340461730957, -0.0]	A doctor who researched the Clintons wave . <eos>	[4.9882402420043945, 7.241690158843994, 4.58799934387207, 5.451290130615234, 4.646256446838379, 7.254150390625, 6.055465221405029, 5.040353775024414, 2.809474608511664e-07]	[3.933720588684082, 7.798081874847412, 3.0003814697265625, 8.691892623901367, 1.172311782836914, 3.2677764892578125, 10.313624382019043, 7.795788764953613, -0.0]
