It 's himself that this cashier attacked . <eos>	[5.545644283294678, 3.120800733566284, 5.238859176635742, 4.683061599731445, 5.323110103607178, 5.530396461486816, 4.109917163848877, 3.9624791145324707, 2.6634424443727767e-07]	[7.951766490936279, 2.9451522827148438, 9.42518138885498, 2.563863754272461, 4.675559997558594, 15.198623657226562, 11.025470733642578, 2.414626121520996, -0.0]
It 's himself that attacked this cashier . <eos>	[4.987283229827881, 3.0670037269592285, 5.344295501708984, 4.8793768882751465, 5.06367826461792, 4.18611478805542, 6.7772722244262695, 3.095609188079834, 2.687329754280654e-07]	[3.391657829284668, 4.402462005615234, 10.57249927520752, 2.231901168823242, 12.86534595489502, 4.8606462478637695, 16.478771209716797, 1.866093635559082, -0.0]
It 's herself that Andrea attacked . <eos>	[4.988421440124512, 3.0662624835968018, 5.3428425788879395, 4.834665298461914, 4.818840980529785, 4.849264621734619, 4.496756553649902, 2.769630782495369e-07]	[3.391866683959961, 4.40159797668457, 11.347285270690918, 2.09683895111084, 10.997000694274902, 11.71966552734375, 3.392428398132324, -0.0]
It 's herself that attacked Andrea . <eos>	[4.988043785095215, 3.066690444946289, 5.344518184661865, 4.83603572845459, 4.818167209625244, 4.0577287673950195, 4.013432502746582, 2.5985036700149067e-07]	[3.391447067260742, 4.405099868774414, 11.34312629699707, 2.094620704650879, 12.821585655212402, 11.36870288848877, 2.1960573196411133, -0.0]
It 's herself that Sharon talked about . <eos>	[4.988551616668701, 3.067939281463623, 5.342543601989746, 4.8363542556762695, 4.818592071533203, 4.828342437744141, 2.3752927780151367, 4.759549617767334, 2.714342883791687e-07]	[3.391280174255371, 4.40492057800293, 11.34304428100586, 2.09633731842041, 8.751697540283203, 7.851984977722168, 0.5302772521972656, 6.1155195236206055, -0.0]
It 's herself that talked about Sharon . <eos>	[4.988036155700684, 3.065091133117676, 5.343122482299805, 4.834665298461914, 4.815216064453125, 1.3973710536956787, 4.651094436645508, 3.478426456451416, 2.72380191290722e-07]	[3.3913488388061523, 4.405703544616699, 11.351423263549805, 2.0934219360351562, 11.453474044799805, 0.24105262756347656, 9.47221565246582, 2.1640663146972656, -0.0]
It 's himself that Todd described . <eos>	[4.987759590148926, 3.066885471343994, 5.343290328979492, 4.878985404968262, 5.063729286193848, 5.076673984527588, 4.410011291503906, 2.704106520923233e-07]	[3.3913393020629883, 4.400938034057617, 10.574675559997559, 2.2326841354370117, 9.600439071655273, 9.770686149597168, 3.4195404052734375, -0.0]
It 's himself that described Todd . <eos>	[4.988934516906738, 3.0686821937561035, 5.345388412475586, 4.882986068725586, 5.066980361938477, 4.249930381774902, 3.215209722518921, 2.554947684529907e-07]	[3.3933467864990234, 4.4020233154296875, 10.57175064086914, 2.2355432510375977, 11.069287300109863, 10.035501480102539, 3.474625587463379, -0.0]
It 's themselves that some spotlights astounded . <eos>	[4.991144180297852, 3.0678324699401855, 5.342624664306641, 5.106722831726074, 4.741915702819824, 5.534002304077148, 6.398016929626465, 5.504288673400879, 2.7165219762537163e-07]	[3.3931732177734375, 4.401926040649414, 11.54504108428955, 1.854156494140625, 5.718526840209961, 3.0503015518188477, 3.5197248458862305, 5.0971221923828125, -0.0]
It 's themselves that astounded some spotlights . <eos>	[4.987977981567383, 3.067981719970703, 5.342922210693359, 5.10686731338501, 4.744091510772705, 5.580606460571289, 6.339025020599365, 5.958855152130127, 2.768727540569671e-07]	[3.39102840423584, 4.3982086181640625, 11.545258522033691, 1.8555803298950195, 3.54825496673584, 7.763955116271973, 3.10202693939209, 2.8792619705200195, -0.0]
