Tamara really exited those mountains . <eos>	[5.545644760131836, 4.319854736328125, 5.962948322296143, 3.1621885299682617, 6.27174186706543, 2.947861909866333, 2.7146720071868913e-07]	[13.49345588684082, 10.882558822631836, 11.566991806030273, 9.14035415649414, 7.687413692474365, 1.2074451446533203, -0.0]	Tamara ever exited those mountains . <eos>	[4.990910530090332, 4.488784313201904, 5.113210201263428, 3.8038864135742188, 6.38779878616333, 3.230797290802002, 2.739672879670252e-07]	[13.783851623535156, 13.79384708404541, 11.81165885925293, 9.81180477142334, 8.179731369018555, 2.1530590057373047, -0.0]
Karen could certainly boycott this association . <eos>	[4.990866661071777, 6.114265441894531, 3.4658384323120117, 4.69019889831543, 3.675110340118408, 6.598132133483887, 3.3877882957458496, 2.7245465616942965e-07]	[10.568264961242676, 9.030366897583008, 9.698807716369629, 12.62899398803711, 4.509276390075684, 7.663605213165283, 2.0674028396606445, -0.0]	Karen could ever boycott this association . <eos>	[4.988598823547363, 6.112373352050781, 3.4653704166412354, 4.8856611251831055, 3.9250495433807373, 6.861843109130859, 3.428781032562256, 2.7777412014984293e-07]	[10.568981170654297, 9.030004501342773, 10.2318115234375, 14.386133193969727, 4.673401832580566, 7.488179683685303, 1.8099994659423828, -0.0]
Every committee could often sell a river . <eos>	[4.989336967468262, 6.179974555969238, 4.511309623718262, 5.283482551574707, 5.493139266967773, 4.855815410614014, 6.1026763916015625, 3.659606456756592, 2.814485924318433e-07]	[7.679627418518066, 9.031553268432617, 5.3483781814575195, 6.575315475463867, 6.772922515869141, 2.48813533782959, 11.249876022338867, 4.124076843261719, -0.0]	Every committee could ever sell a river . <eos>	[4.989073753356934, 6.180726051330566, 4.511972427368164, 5.283738136291504, 5.076495170593262, 4.305777549743652, 6.033341884613037, 3.4179396629333496, 2.8126760298619047e-07]	[7.677935600280762, 9.029315948486328, 5.344500541687012, 8.987427711486816, 7.248281478881836, 2.2422266006469727, 11.053448677062988, 3.2245664596557617, -0.0]
Charles had often arrived at those restaurants . <eos>	[4.988709449768066, 6.274100303649902, 5.321279525756836, 4.977599620819092, 2.884404182434082, 4.740104675292969, 5.619375705718994, 3.423116445541382, 2.7261845048087707e-07]	[7.746603488922119, 4.615084648132324, 7.172784805297852, 8.039078712463379, 1.3375720977783203, 7.871999263763428, 9.707056045532227, 3.654420852661133, -0.0]	Charles had ever arrived at those restaurants . <eos>	[4.990319728851318, 6.274621963500977, 5.322308540344238, 4.385067462921143, 2.5697877407073975, 5.0520100593566895, 5.668092250823975, 3.2709336280822754, 2.7304514560455573e-07]	[7.7459893226623535, 4.6123456954956055, 11.161120414733887, 5.8901519775390625, 1.348679542541504, 8.264596939086914, 10.475203514099121, 3.0464048385620117, -0.0]
Many skateboards also roll . <eos>	[4.989814758300781, 5.784774303436279, 6.409925937652588, 6.0680975914001465, 5.0954437255859375, 2.672967411854188e-07]	[5.543134689331055, 3.327991485595703, 4.707672119140625, 10.342242240905762, 5.736555099487305, -0.0]	Many skateboards ever roll . <eos>	[4.987739562988281, 5.785539627075195, 6.410069942474365, 6.212286949157715, 4.74831485748291, 2.686467155399441e-07]	[5.547517776489258, 3.32852840423584, 10.900754928588867, 11.338394165039062, 5.230233192443848, -0.0]
Some river really vaporizes . <eos>	[4.987216949462891, 6.338960647583008, 5.465729236602783, 6.551642417907715, 5.476075649261475, 2.6696437771533965e-07]	[5.216795921325684, 10.481725692749023, 13.877304077148438, 2.573606491088867, 3.378114700317383, -0.0]	Some river ever vaporizes . <eos>	[4.988771438598633, 6.337107181549072, 5.463325023651123, 6.191371917724609, 5.13877534866333, 2.6109682949027047e-07]	[5.2156171798706055, 10.471555709838867, 15.203787803649902, 3.270200729370117, 3.2346506118774414, -0.0]
Guy has really listened to all customers . <eos>	[4.988624572753906, 5.741530418395996, 5.202294826507568, 5.69744873046875, 1.4590932130813599, 5.468750476837158, 3.6556811332702637, 3.6455862522125244, 2.740013087532134e-07]	[10.171805381774902, 5.137168884277344, 10.459209442138672, 8.242229461669922, 0.2384204864501953, 4.081274032592773, 11.389819145202637, 2.0824594497680664, -0.0]	Guy has ever listened to all customers . <eos>	[4.989537239074707, 5.741759300231934, 5.2010698318481445, 4.0391387939453125, 0.7642613053321838, 5.441014289855957, 3.675044536590576, 3.742215633392334, 2.770630658233131e-07]	[10.173835754394531, 5.132991790771484, 9.66627025604248, 7.632299423217773, 0.10631370544433594, 4.108248710632324, 11.519462585449219, 2.233654022216797, -0.0]
Mark certainly struggles . <eos>	[4.9901885986328125, 6.156492233276367, 6.106441497802734, 2.2590270042419434, 2.7885400299965113e-07]	[8.64872932434082, 11.892194747924805, 8.178427696228027, 5.5744781494140625, -0.0]	Mark ever struggles . <eos>	[4.9907331466674805, 6.150920867919922, 5.949380874633789, 1.5440587997436523, 2.861293637579365e-07]	[8.639819145202637, 12.737968444824219, 10.319987297058105, 5.472831726074219, -0.0]
Ladies also answer . <eos>	[4.9924821853637695, 5.429880619049072, 5.545290946960449, 3.7001986503601074, 2.754476327027078e-07]	[12.651453018188477, 6.283693313598633, 10.487188339233398, 5.5389909744262695, -0.0]	Ladies ever answer . <eos>	[4.990321159362793, 5.4287004470825195, 5.499367713928223, 3.107565402984619, 2.7779412903328193e-07]	[12.672839164733887, 9.884565353393555, 12.670660972595215, 4.338992118835449, -0.0]
A driver has clearly taken many snakes . <eos>	[4.990018844604492, 7.243525505065918, 4.232535362243652, 4.254533290863037, 5.772280693054199, 4.304729461669922, 5.738377571105957, 3.462383985519409, 2.6214098625132465e-07]	[3.9381790161132812, 9.211795806884766, 4.104724884033203, 10.294018745422363, 4.865053176879883, 6.903232574462891, 10.399372100830078, 2.6507186889648438, -0.0]	A driver has ever taken many snakes . <eos>	[4.989748477935791, 7.245059013366699, 4.23237419128418, 4.255202293395996, 4.052558898925781, 4.071708679199219, 5.551465034484863, 3.3374037742614746, 2.639795866343775e-07]	[3.9354028701782227, 9.206201553344727, 4.104681015014648, 8.524345397949219, 4.476051330566406, 7.143531799316406, 9.899524688720703, 2.266704559326172, -0.0]
Homer certainly spins around . <eos>	[4.990452766418457, 5.366373062133789, 5.994668006896973, 4.482831954956055, 4.242900848388672, 2.7985106498817913e-07]	[9.876692771911621, 11.271268844604492, 11.33708381652832, 3.4810218811035156, 3.6129159927368164, -0.0]	Homer ever spins around . <eos>	[4.989341735839844, 5.366344451904297, 5.947690963745117, 3.5141804218292236, 4.136554718017578, 2.8148633646196686e-07]	[9.866950988769531, 11.917487144470215, 11.615154266357422, 5.450977325439453, 3.0694503784179688, -0.0]
That pepper might certainly go bad . <eos>	[4.98807430267334, 4.973554611206055, 4.273630142211914, 2.627833604812622, 1.6972770690917969, 4.342404842376709, 3.1953206062316895, 2.9032423753960757e-07]	[6.275575637817383, 14.92892074584961, 6.506926536560059, 8.994150161743164, 7.645960807800293, 8.041622161865234, 1.6585254669189453, -0.0]	That pepper might ever go bad . <eos>	[4.98785924911499, 4.974407196044922, 4.274401664733887, 2.626408100128174, 2.469621181488037, 4.360243797302246, 3.0360398292541504, 2.8162338594484027e-07]	[6.278260231018066, 14.91308307647705, 6.511904716491699, 8.820352554321289, 6.3132219314575195, 8.183599472045898, 1.6237144470214844, -0.0]
Some waiter clearly praised every documentary . <eos>	[4.986583232879639, 6.33772087097168, 6.105117321014404, 6.720097541809082, 3.092597007751465, 6.455888748168945, 5.071329116821289, 2.86938984572771e-07]	[5.217279434204102, 15.442037582397461, 10.16334056854248, 7.953829765319824, 8.508440017700195, 11.459827423095703, 3.040721893310547, -0.0]	Some waiter ever praised every documentary . <eos>	[4.987842082977295, 6.336616516113281, 6.105151176452637, 6.150647163391113, 3.767998695373535, 6.436955451965332, 5.061901092529297, 2.8758424264196947e-07]	[5.218929290771484, 15.447230339050293, 12.797926902770996, 9.4712495803833, 8.849580764770508, 11.83564567565918, 2.994351387023926, -0.0]
