Todd ca n't yawn . <eos>	[5.545644760131836, 5.355718612670898, 0.15947453677654266, 5.498354911804199, 4.962827682495117, 2.758246466783021e-07]	[10.858735084533691, 12.078258514404297, 0.029815673828125, 5.0750732421875, 2.464461326599121, -0.0]	Todd ca n't walk through . <eos>	[5.545644760131836, 5.355718612670898, 0.15947453677654266, 5.498354911804199, 4.316529273986816, 3.0223073959350586, 2.880277349959215e-07]	[10.858735084533691, 12.078258514404297, 0.029815673828125, 5.239716529846191, 3.0337047576904297, 3.1783151626586914, -0.0]
Some guests had n't left . <eos>	[5.545644760131836, 5.850346565246582, 5.272321701049805, 5.366473197937012, 4.910277843475342, 3.7075419425964355, 2.92101333343453e-07]	[9.399500846862793, 9.207576751708984, 3.7912673950195312, 7.270027160644531, 4.885499954223633, 2.2851972579956055, -0.0]	Some guests had n't boasted about . <eos>	[5.545644760131836, 5.850346565246582, 5.272321701049805, 5.366473197937012, 4.910277843475342, 3.556385040283203, 4.21498966217041, 2.7154069925927615e-07]	[9.399500846862793, 9.207576751708984, 3.7912673950195312, 7.270027160644531, 10.708467483520508, 2.589986801147461, 5.714692115783691, -0.0]
This niece of Elizabeth protests . <eos>	[5.545644760131836, 5.908446311950684, 4.145679473876953, 5.603090286254883, 5.671084880828857, 4.500222682952881, 2.677337818113301e-07]	[7.818253993988037, 13.695366859436035, 3.1589488983154297, 5.733294486999512, 14.441786766052246, 3.030019760131836, -0.0]	This niece of Elizabeth walks through . <eos>	[5.545644760131836, 5.908446311950684, 4.145679473876953, 5.603090286254883, 5.671084880828857, 4.177039623260498, 3.222283363342285, 2.751154397628852e-07]	[7.818253993988037, 13.695366859436035, 3.1589488983154297, 5.733294486999512, 9.25146770477295, 3.2298784255981445, 4.296895980834961, -0.0]
Regina is shouting . <eos>	[5.545644760131836, 4.368851661682129, 5.646933555603027, 4.005435466766357, 2.7558175474950986e-07]	[11.430863380432129, 4.873879432678223, 12.565482139587402, 3.138129234313965, -0.0]	Regina is boasting about . <eos>	[5.545644760131836, 4.368851661682129, 5.646933555603027, 2.6830108165740967, 5.163717746734619, 2.753876344741002e-07]	[11.430863380432129, 4.873879432678223, 12.361828804016113, 3.666421890258789, 6.433343410491943, -0.0]
This guest 's plumber complains . <eos>	[5.545644760131836, 5.908446311950684, 5.407400131225586, 6.1203413009643555, 4.844089984893799, 1.9379565715789795, 2.7433134164311923e-07]	[7.818253993988037, 10.678186416625977, 4.949801445007324, 16.093433380126953, 8.94436264038086, 5.405111312866211, -0.0]	This guest 's plumber wore . <eos>	[5.545644760131836, 5.908446311950684, 5.407400131225586, 6.1203413009643555, 4.844089984893799, 4.286273956298828, 3.069399667765538e-07]	[7.818253993988037, 10.678186416625977, 4.949801445007324, 16.093433380126953, 8.284063339233398, 7.915679931640625, -0.0]
Anna 's grandmothers are n't benefiting . <eos>	[5.545644760131836, 5.109539031982422, 7.067714691162109, 5.604696273803711, 6.419427394866943, 6.221546173095703, 3.615171194076538, 2.791130100376904e-07]	[10.601720809936523, 2.8544225692749023, 2.8080215454101562, 4.689355850219727, 6.994787216186523, 14.23611831665039, 2.184206962585449, -0.0]	Anna 's grandmothers are n't arguing about . <eos>	[5.545644760131836, 5.109539031982422, 7.067714691162109, 5.604696273803711, 6.419427394866943, 6.221546173095703, 2.9351024627685547, 4.405592918395996, 2.779604812985781e-07]	[10.601720809936523, 2.8544225692749023, 2.8080215454101562, 4.689355850219727, 6.994787216186523, 12.552059173583984, 4.482065200805664, 4.219692230224609, -0.0]
Some glaciers are vaporizing . <eos>	[5.545644760131836, 5.850346565246582, 4.931609153747559, 6.2362565994262695, 4.603324890136719, 2.6856682211473526e-07]	[9.399500846862793, 11.097951889038086, 2.7630271911621094, 3.097720146179199, 1.9319019317626953, -0.0]	Some glaciers are scaring . <eos>	[5.545644760131836, 5.850346565246582, 4.931609153747559, 6.2362565994262695, 4.603324890136719, 2.6856682211473526e-07]	[9.399500846862793, 11.097951889038086, 2.7630271911621094, 3.097720146179199, 1.9319019317626953, -0.0]
Stephanie succeeds . <eos>	[5.545644283294678, 5.568201065063477, 2.2208259105682373, 2.759746848823852e-07]	[12.1594820022583, 10.52614688873291, 2.141572952270508, -0.0]	Stephanie boasts about . <eos>	[5.545644760131836, 5.568201065063477, 3.9778218269348145, 5.272056579589844, 2.7607626407188945e-07]	[12.1594820022583, 12.489042282104492, 3.588329315185547, 7.950026512145996, -0.0]
Tara 's contractors scream . <eos>	[5.545644760131836, 5.173591136932373, 7.333579063415527, 3.446293354034424, 3.469572067260742, 2.744993707892718e-07]	[11.757296562194824, 2.2282180786132812, 14.465311050415039, 12.532546997070312, 2.196622848510742, -0.0]	Tara 's contractors drive to . <eos>	[5.545644760131836, 5.173591136932373, 7.333579063415527, 3.446293354034424, 4.151280403137207, 5.321843147277832, 2.825918841153907e-07]	[11.757296562194824, 2.2282180786132812, 14.465311050415039, 11.218963623046875, 2.822765350341797, 7.071894645690918, -0.0]
All gloves were n't crumpling . <eos>	[5.545644760131836, 5.225571155548096, 3.8802764415740967, 6.305268287658691, 6.164896488189697, 3.6239278316497803, 2.7495391918819223e-07]	[8.75776481628418, 14.219952583312988, 2.1250133514404297, 6.7467145919799805, 3.5863075256347656, 1.1570720672607422, -0.0]	All gloves were n't looking like . <eos>	[5.545644760131836, 5.225571155548096, 3.8802764415740967, 6.305268287658691, 6.164896488189697, 2.6885175704956055, 4.382916450500488, 2.820664235514414e-07]	[8.75776481628418, 14.219952583312988, 2.1250133514404297, 6.7467145919799805, 9.165180206298828, 3.7561216354370117, 5.7369184494018555, -0.0]
