Keith does explain Cynthia escapes from herself . <eos>	[5.545644760131836, 5.7997941970825195, 2.2656939029693604, 3.5047945976257324, 3.273519992828369, 3.159221649169922, 3.624455690383911, 2.7979953289031982, 2.8061202783646877e-07]	[10.266757011413574, 9.921550750732422, 10.37186336517334, 13.4664306640625, 11.55732250213623, 1.7175712585449219, 10.53225040435791, 1.0909061431884766, -0.0]
Cynthia does explain Keith escapes from herself . <eos>	[4.988587379455566, 6.3672566413879395, 1.3999865055084229, 3.0027194023132324, 2.556283473968506, 3.555209159851074, 3.863585948944092, 3.1768200397491455, 2.833865551110648e-07]	[11.738619804382324, 6.027303695678711, 12.458934783935547, 11.140318870544434, 12.003336906433105, 1.9245147705078125, 10.438543319702148, 2.2459583282470703, -0.0]
Kathleen imagines Jason praises himself . <eos>	[4.988912582397461, 6.347549915313721, 4.258500099182129, 4.560895919799805, 5.071367263793945, 2.587110996246338, 2.667318312887801e-07]	[11.179875373840332, 12.843986511230469, 8.880348205566406, 15.922460556030273, 6.0999555587768555, 5.009943008422852, -0.0]
Jason imagines Kathleen praises himself . <eos>	[4.992585182189941, 5.93894624710083, 4.921670913696289, 4.01206111907959, 4.884181022644043, 2.5993897914886475, 2.649620967076771e-07]	[9.630919456481934, 10.811277389526367, 11.308341979980469, 13.673372268676758, 5.927346229553223, 5.930333137512207, -0.0]
Sherry thinks Rodney did reference himself . <eos>	[4.99362850189209, 5.6163835525512695, 3.182666778564453, 3.299471855163574, 1.6601334810256958, 3.3492870330810547, 1.5387554168701172, 2.727536241309281e-07]	[11.994050025939941, 8.632354736328125, 9.4454345703125, 5.77143669128418, 14.041913986206055, 6.234247207641602, 4.329185485839844, -0.0]
Rodney thinks Sherry did reference himself . <eos>	[4.991998672485352, 5.329818248748779, 2.808025360107422, 3.1017050743103027, 1.146151065826416, 2.610715866088867, 1.6481750011444092, 2.7264468371868134e-07]	[11.409709930419922, 8.235071182250977, 14.342500686645508, 5.818115234375, 15.94516372680664, 6.980424880981445, 4.8953094482421875, -0.0]
Helen imagines Joseph criticizes himself . <eos>	[4.99211311340332, 6.181890487670898, 4.185896396636963, 4.617218017578125, 4.3308916091918945, 3.0701045989990234, 2.771533900158829e-07]	[10.003890991210938, 10.452458381652832, 9.166817665100098, 16.443721771240234, 6.907161712646484, 5.173229217529297, -0.0]
Joseph imagines Helen criticizes himself . <eos>	[4.993193626403809, 5.812877655029297, 4.266186714172363, 3.6982781887054443, 4.033132553100586, 2.9622185230255127, 2.760526456313528e-07]	[8.594451904296875, 12.482413291931152, 9.324153900146484, 16.047893524169922, 6.364192008972168, 4.248647689819336, -0.0]
Erin should imagine Russell kisses himself . <eos>	[4.993196487426758, 5.993722915649414, 3.8578708171844482, 4.119196891784668, 4.412322521209717, 4.04741907119751, 3.2418289184570312, 2.809550210258749e-07]	[12.040399551391602, 8.72868537902832, 10.324397087097168, 10.051355361938477, 12.797052383422852, 4.842924118041992, 2.4517011642456055, -0.0]
Russell should imagine Erin kisses himself . <eos>	[4.990485191345215, 5.522035598754883, 3.6759700775146484, 3.796072483062744, 5.340571880340576, 3.740396022796631, 3.586479902267456, 2.836348471646488e-07]	[9.29031753540039, 9.416681289672852, 9.748231887817383, 13.324668884277344, 10.111806869506836, 5.129734039306641, 2.602933883666992, -0.0]
