The bird is concealing at least two rugs . <eos>	[5.545644760131836, 7.150014877319336, 4.611218452453613, 5.56003475189209, 4.225252628326416, 3.468017578125, 4.044048309326172, 6.362282752990723, 3.154163360595703, 2.7937824143009493e-07]	[5.106276512145996, 11.22951889038086, 1.8697500228881836, 13.759891510009766, 5.083367347717285, 2.143265724182129, 1.982452392578125, 12.65310287475586, 1.4725151062011719, -0.0]	No bird is concealing at least two rugs . <eos>	[4.98769474029541, 7.138424396514893, 4.468303203582764, 4.760260105133057, 3.7179410457611084, 3.02089786529541, 4.439891815185547, 5.1988935470581055, 2.904477119445801, 2.752900343239162e-07]	[7.106546401977539, 8.99127197265625, 1.913508415222168, 15.508394241333008, 4.711777687072754, 2.901906967163086, 2.91982364654541, 13.453502655029297, 1.3023452758789062, -0.0]
This woman cleans at least ten high schools . <eos>	[4.9876484870910645, 6.141756057739258, 4.635324954986572, 5.067101955413818, 3.7708115577697754, 4.1430230140686035, 2.9688167572021484, 5.0869903564453125, 3.4420833587646484, 2.687028768377786e-07]	[3.5885238647460938, 9.663410186767578, 4.770015716552734, 4.952084541320801, 4.670513153076172, 4.858170509338379, 9.637389183044434, 2.402925491333008, 2.4842405319213867, -0.0]	No woman cleans at least ten high schools . <eos>	[4.987498760223389, 7.137681007385254, 4.470890045166016, 5.289821624755859, 3.356058120727539, 4.596940994262695, 2.6868135929107666, 4.530526161193848, 3.5662055015563965, 2.7505910793479416e-07]	[7.1097412109375, 7.475547790527344, 5.237260818481445, 4.527519226074219, 4.590974807739258, 4.710797309875488, 10.062265396118164, 2.060187339782715, 1.960984230041504, -0.0]
This story was referencing at least eight drivers . <eos>	[4.988606929779053, 6.143764019012451, 4.067619323730469, 5.646725654602051, 3.4659104347229004, 1.1855412721633911, 3.1890807151794434, 5.773244857788086, 4.216414451599121, 2.643376149080723e-07]	[3.5906152725219727, 6.661655426025391, 1.7853736877441406, 12.04206657409668, 7.742074012756348, 0.2583446502685547, 4.660921096801758, 10.413457870483398, 2.7261409759521484, -0.0]	No story was referencing at least eight drivers . <eos>	[4.988247871398926, 7.1369218826293945, 4.279330253601074, 5.206855297088623, 4.063596248626709, 2.951291084289551, 4.316473007202148, 5.244971752166748, 3.8118979930877686, 2.6661365382096847e-07]	[7.112461090087891, 8.399490356445312, 2.3416433334350586, 11.550697326660156, 5.953495979309082, 1.8114089965820312, 5.194488525390625, 10.200199127197266, 1.612213134765625, -0.0]
The museum hates at least ten guests . <eos>	[4.987573623657227, 7.804091453552246, 4.148252487182617, 6.221749305725098, 3.85967755317688, 4.2525482177734375, 6.297451972961426, 3.1851072311401367, 2.6564731570033473e-07]	[1.7134523391723633, 6.608983516693115, 16.287221908569336, 6.277420997619629, 0.9180355072021484, 5.174770355224609, 4.912100791931152, 1.9900550842285156, -0.0]	No museum hates at least ten guests . <eos>	[4.9885969161987305, 7.137299060821533, 4.633844375610352, 4.95253849029541, 3.598997116088867, 4.422527313232422, 4.575838088989258, 3.3309261798858643, 2.700558070500847e-07]	[7.1137590408325195, 9.338386535644531, 16.641944885253906, 6.156123161315918, 2.133798599243164, 4.796291351318359, 7.152004241943359, 1.3602523803710938, -0.0]
An icicle embarrassed at most seven governments . <eos>	[4.988458633422852, 6.438167095184326, 7.097705364227295, 6.286072731018066, 3.8094804286956787, 6.111698150634766, 6.001308441162109, 3.6811747550964355, 2.7123351742375235e-07]	[5.631917953491211, 2.967972755432129, 12.45580005645752, 4.092160224914551, 6.216451644897461, 9.211837768554688, 10.873080253601074, 4.717811584472656, -0.0]	No icicle embarrassed at most seven governments . <eos>	[4.989598274230957, 7.1373677253723145, 6.394954681396484, 4.528435707092285, 2.788219451904297, 5.194142818450928, 5.331872940063477, 3.9149329662323, 2.699713093079481e-07]	[7.1047210693359375, 3.5457983016967773, 14.460451126098633, 5.394649505615234, 6.5984086990356445, 9.29198932647705, 10.419609069824219, 2.2656612396240234, -0.0]
A child listened to at least five drivers . <eos>	[4.988987445831299, 7.244609355926514, 4.410834312438965, 0.7077088356018066, 3.8764333724975586, 3.2114765644073486, 3.5022945404052734, 5.473739147186279, 3.767422676086426, 2.6691705556913803e-07]	[3.9339332580566406, 7.267765045166016, 11.237025260925293, 0.09129714965820312, 5.74885368347168, 1.3729734420776367, 3.4992504119873047, 9.970794677734375, 2.3404197692871094, -0.0]	No child listened to at least five drivers . <eos>	[4.988211154937744, 7.137171268463135, 4.696390151977539, 0.682836651802063, 3.9129748344421387, 3.1547884941101074, 3.6135828495025635, 5.333183288574219, 3.788240432739258, 2.6903123284682806e-07]	[7.111534118652344, 7.817419052124023, 10.699663162231445, 0.0950775146484375, 6.613884925842285, 1.362299919128418, 3.7529659271240234, 10.564542770385742, 1.8920040130615234, -0.0]
The waiter disagrees with at least five drivers . <eos>	[4.988584518432617, 7.804224014282227, 5.610175132751465, 1.4366772174835205, 4.638034820556641, 2.1835665702819824, 3.034900188446045, 5.832362174987793, 3.818967342376709, 2.663639975253318e-07]	[1.713789939880371, 12.79932689666748, 10.585683822631836, 0.3356475830078125, 9.176665306091309, 0.6216812133789062, 4.535630226135254, 9.25554084777832, 2.549692153930664, -0.0]	No waiter disagrees with at least five drivers . <eos>	[4.989076614379883, 7.135798454284668, 4.884980201721191, 2.283121347427368, 4.912655830383301, 1.430972695350647, 2.7868480682373047, 6.078027725219727, 3.393211603164673, 2.6656147156245424e-07]	[7.104480743408203, 14.11182975769043, 11.95523452758789, 0.6689929962158203, 8.497105598449707, 0.29967308044433594, 3.9891796112060547, 8.895201683044434, 1.6163043975830078, -0.0]
Some company had forgotten at most eight boys . <eos>	[4.98919677734375, 6.333390235900879, 5.994920253753662, 6.0054779052734375, 3.375864267349243, 3.2311105728149414, 5.010365009307861, 5.6965789794921875, 3.8630027770996094, 2.885235801386443e-07]	[5.218472480773926, 9.590877532958984, 7.12468957901001, 10.25190258026123, 6.186561584472656, 5.523508071899414, 8.369890213012695, 8.976192474365234, 3.1089725494384766, -0.0]	No company had forgotten at most eight boys . <eos>	[4.9962310791015625, 7.137998580932617, 4.551021575927734, 4.2072954177856445, 3.4935407638549805, 3.1613423824310303, 5.188838005065918, 5.797738075256348, 3.8492746353149414, 2.8366048354655504e-07]	[7.105381011962891, 8.684945106506348, 3.0285301208496094, 11.069513320922852, 5.814779281616211, 5.875020980834961, 7.47517728805542, 8.701728820800781, 2.323495864868164, -0.0]
A person cleans at least eight couches . <eos>	[4.992944717407227, 7.244016647338867, 4.184065341949463, 5.00892448425293, 4.1224164962768555, 3.9406161308288574, 4.877370357513428, 5.616442680358887, 2.81333342400103e-07]	[3.932368278503418, 5.7654523849487305, 5.5654449462890625, 4.476018905639648, 3.2058610916137695, 6.065413475036621, 3.967179298400879, 3.7483577728271484, -0.0]	No person cleans at least eight couches . <eos>	[4.986894607543945, 7.137909889221191, 4.4981584548950195, 4.888653755187988, 3.4868721961975098, 4.478990077972412, 4.365884780883789, 5.299168109893799, 2.736842645845172e-07]	[7.110983848571777, 6.117825984954834, 5.975351333618164, 4.55164909362793, 4.153154373168945, 5.683862686157227, 4.805545806884766, 2.3471202850341797, -0.0]
Each government admires at most five windows . <eos>	[4.987188339233398, 6.524853706359863, 5.332501411437988, 3.6101419925689697, 0.5701725482940674, 5.546600818634033, 5.986574172973633, 3.527925729751587, 2.6839464339900587e-07]	[6.173727989196777, 7.17648983001709, 13.091222763061523, 7.943406105041504, 7.051349639892578, 5.007013320922852, 9.894518852233887, 2.553598403930664, -0.0]	No government admires at most five windows . <eos>	[4.988036632537842, 7.136823654174805, 5.546109199523926, 3.895530939102173, 3.4285950660705566, 5.848724365234375, 5.818181991577148, 2.984100103378296, 2.7293484095025633e-07]	[7.1138715744018555, 6.728815078735352, 15.415362358093262, 7.018732070922852, 6.1457014083862305, 6.7335524559021, 10.404823303222656, 1.708897590637207, -0.0]
