The women meet . <eos>	[5.545644760131836, 7.150014877319336, 3.1758599281311035, 4.268289566040039, 2.760063750884001e-07]	[5.106276512145996, 9.577009201049805, 8.15310001373291, 3.3390321731567383, -0.0]
The woman meet . <eos>	[4.988893032073975, 7.804007530212402, 5.199684143066406, 4.477721214294434, 2.7524288270797115e-07]	[1.7132863998413086, 8.84361743927002, 11.9822416305542, 6.990501403808594, -0.0]
The child is n't attacking Becky . <eos>	[4.990069389343262, 7.804266929626465, 4.817481517791748, 5.840015888214111, 5.902398109436035, 4.434449195861816, 3.2070915699005127, 2.88860206865138e-07]	[1.7122421264648438, 8.4034423828125, 2.1099815368652344, 6.795296669006348, 11.990962982177734, 11.215118408203125, 1.614588737487793, -0.0]
The children is n't attacking Becky . <eos>	[4.990468978881836, 7.804307460784912, 4.434542655944824, 6.196603775024414, 5.932345390319824, 4.762457370758057, 3.19175386428833, 2.9437529747156077e-07]	[1.714883804321289, 7.818693161010742, 7.50815486907959, 6.771824836730957, 11.317262649536133, 10.32244873046875, 1.6459388732910156, -0.0]
The woman cleans every public park . <eos>	[4.9907097816467285, 7.804010391235352, 5.200018405914307, 5.250226020812988, 5.171878814697266, 6.281028747558594, 4.219669342041016, 2.751716010607197e-07]	[1.7145586013793945, 8.840819358825684, 4.172471046447754, 8.00506591796875, 9.431934356689453, 6.756242752075195, 3.1885337829589844, -0.0]
The women cleans every public park . <eos>	[4.990426540374756, 7.804686546325684, 3.809929370880127, 5.462932586669922, 5.181550979614258, 5.622846603393555, 3.9888839721679688, 2.698933485589805e-07]	[1.7121667861938477, 7.573253631591797, 5.164124488830566, 7.136563301086426, 9.041699409484863, 6.1125688552856445, 2.7932729721069336, -0.0]
The man works with some pedestrian . <eos>	[4.990180492401123, 7.804958820343018, 5.187946319580078, 3.7137629985809326, 4.703534126281738, 4.113574028015137, 6.177826881408691, 2.728893662151677e-07]	[1.711965560913086, 8.017269134521484, 7.739565849304199, 2.001521110534668, 5.340609550476074, 12.811217308044434, 6.097301483154297, -0.0]
The men works with some pedestrian . <eos>	[4.990292549133301, 7.804785251617432, 4.610970497131348, 3.842568874359131, 5.515896797180176, 4.608672618865967, 6.131093978881836, 2.754004526650533e-07]	[1.7130661010742188, 7.1785759925842285, 9.421688079833984, 2.260110855102539, 5.121404647827148, 11.871864318847656, 6.982393264770508, -0.0]
The men have revealed Christina . <eos>	[4.990117073059082, 7.804544448852539, 4.610997200012207, 5.506444454193115, 3.3586368560791016, 3.3374712467193604, 2.907374323513068e-07]	[1.7130565643310547, 7.178607940673828, 4.759066581726074, 8.232738494873047, 12.404624938964844, 4.876331329345703, -0.0]
The man have revealed Christina . <eos>	[4.990475654602051, 7.804838180541992, 5.188199043273926, 5.318697929382324, 3.243227481842041, 3.370387554168701, 2.9655964794983447e-07]	[1.7122087478637695, 8.016683578491211, 11.169221878051758, 7.059061050415039, 12.739952087402344, 4.676299095153809, -0.0]
The men were n't benefiting . <eos>	[4.991759777069092, 7.804622173309326, 4.608887672424316, 6.502616882324219, 6.056285858154297, 3.251582622528076, 2.7315834927321703e-07]	[1.7127628326416016, 7.175480842590332, 2.2204246520996094, 7.239386558532715, 13.176082611083984, 2.8178367614746094, -0.0]
The man were n't benefiting . <eos>	[4.99149227142334, 7.805387496948242, 5.187453269958496, 6.303203582763672, 6.012907981872559, 3.5254502296447754, 2.7644298938866996e-07]	[1.7133750915527344, 8.017549514770508, 10.09987735748291, 6.192086219787598, 13.952028274536133, 2.9975595474243164, -0.0]
The children have n't loved Julie . <eos>	[4.990142822265625, 7.8051557540893555, 4.431950569152832, 5.2281646728515625, 4.154036521911621, 4.231525897979736, 3.0850939750671387, 2.7576919592320337e-07]	[1.7135944366455078, 7.81546688079834, 3.999685287475586, 7.373622894287109, 6.902904510498047, 7.991476535797119, 1.3319854736328125, -0.0]
The child have n't loved Julie . <eos>	[4.987344264984131, 7.80333948135376, 4.818172454833984, 4.521941184997559, 4.031164646148682, 4.089745998382568, 3.2036681175231934, 2.716347751174908e-07]	[1.7136592864990234, 8.40191650390625, 9.406925201416016, 8.2713041305542, 6.256525039672852, 8.489315032958984, 1.3942584991455078, -0.0]
The woman is skated around every art gallery . <eos>	[4.987675666809082, 7.803844451904297, 5.201134204864502, 6.2561492919921875, 3.5939388275146484, 3.6120047569274902, 5.433302879333496, 5.466455459594727, 3.185647964477539, 2.8096675919186964e-07]	[1.7142486572265625, 8.843282699584961, 2.806610107421875, 14.613479614257812, 3.814011573791504, 6.77772331237793, 10.998862266540527, 4.0615949630737305, 2.233776092529297, -0.0]
The women is skated around every art gallery . <eos>	[4.987948417663574, 7.803778648376465, 3.811056137084961, 6.116772651672363, 3.594006299972534, 3.7756667137145996, 5.470283031463623, 5.268548965454102, 3.064541816711426, 2.731577808390284e-07]	[1.7123003005981445, 7.575075149536133, 8.053232192993164, 14.295303344726562, 3.7433977127075195, 5.869415283203125, 10.893668174743652, 3.67635440826416, 2.023895263671875, -0.0]
The child is breaking most plates . <eos>	[4.987147808074951, 7.804045677185059, 4.817525863647461, 5.840218544006348, 3.632941961288452, 1.0542778968811035, 3.800788402557373, 2.6722619850261253e-07]	[1.7119226455688477, 8.402199745178223, 2.109219551086426, 12.44691276550293, 8.743582725524902, 11.722245216369629, 3.620802879333496, -0.0]
The children is breaking most plates . <eos>	[4.988081932067871, 7.804075241088867, 4.434812545776367, 6.195512771606445, 3.5833396911621094, 1.2741243839263916, 3.7581334114074707, 2.6920434947896865e-07]	[1.7119598388671875, 7.818606853485107, 7.510664939880371, 11.916335105895996, 8.87818717956543, 10.996874809265137, 3.604969024658203, -0.0]
The person was leaving . <eos>	[4.988536834716797, 7.803853988647461, 4.7361297607421875, 6.142866134643555, 3.667379379272461, 2.926943807324278e-07]	[1.7116470336914062, 8.535734176635742, 3.7818241119384766, 9.89358901977539, 4.590132713317871, -0.0]
The people was leaving . <eos>	[4.98714017868042, 7.804169178009033, 4.47667932510376, 6.573254585266113, 4.130702495574951, 2.8849069622083334e-07]	[1.7142562866210938, 7.327618598937988, 7.666818618774414, 9.405324935913086, 4.624910354614258, -0.0]
The teeth tip over . <eos>	[4.988407135009766, 7.804699897766113, 3.6272552013397217, 5.040647506713867, 3.397920846939087, 2.6353234261478065e-07]	[1.7130937576293945, 9.498653411865234, 9.874858856201172, 4.860382080078125, 4.393756866455078, -0.0]
The tooth tip over . <eos>	[4.987362384796143, 7.808295249938965, 5.16453742980957, 3.140627861022949, 1.6155755519866943, 2.683160573724308e-07]	[1.7128610610961914, 11.339691162109375, 7.823210716247559, 8.133476257324219, 8.543769836425781, -0.0]
