Who might Candice say forfeit ? <eos>	[5.545644760131836, 4.913530349731445, 4.689848899841309, 5.442378997802734, 3.2238669395446777, 3.755129337310791, 3.331068683110061e-07]	[11.848838806152344, 6.426299095153809, 15.789435386657715, 4.571723937988281, 15.626214027404785, 4.356294631958008, -0.0]	Who might Candice say that forfeit ? <eos>	[4.986676216125488, 5.17353630065918, 5.051328659057617, 4.997440338134766, 3.2477989196777344, 3.78463077545166, 4.222990989685059, 3.611714873841265e-07]	[10.18507194519043, 6.026471138000488, 15.649876594543457, 4.905350685119629, 1.6740131378173828, 16.811216354370117, 5.360469818115234, -0.0]
Who had Deanna explained ca n't heal Margaret ? <eos>	[4.98509407043457, 5.180368423461914, 5.462639808654785, 5.650020599365234, 3.4095458984375, 0.37230074405670166, 5.021106243133545, 4.249692916870117, 3.515881061553955, 3.44992031386937e-07]	[10.18386173248291, 4.019956588745117, 4.0649518966674805, 10.068059921264648, 13.663904190063477, 0.07887840270996094, 7.845213890075684, 11.007001876831055, 2.96343994140625, -0.0]	Who had Deanna explained that ca n't heal Margaret ? <eos>	[4.984828948974609, 5.179235935211182, 5.426770210266113, 5.613673686981201, 3.4197030067443848, 4.208477020263672, 0.2928754985332489, 4.190628528594971, 4.503503322601318, 3.788083076477051, 3.5137225040671183e-07]	[10.193792343139648, 4.005342483520508, 4.045384407043457, 10.097349166870117, 1.7554397583007812, 11.764627456665039, 0.054401397705078125, 7.302915573120117, 11.425650596618652, 3.4959049224853516, -0.0]
Who should Tammy think is n't corresponding ? <eos>	[4.980209827423096, 5.174135684967041, 5.0179619789123535, 4.504958152770996, 3.5566868782043457, 4.776368618011475, 5.149102210998535, 2.131134271621704, 3.7277277442626655e-07]	[10.19613265991211, 5.842519760131836, 15.086454391479492, 6.91402530670166, 5.320803642272949, 4.779266357421875, 14.038005828857422, 2.1781787872314453, -0.0]	Who should Tammy think that is n't corresponding ? <eos>	[4.987617492675781, 5.190119743347168, 5.018632888793945, 4.5013909339904785, 3.5666825771331787, 5.084298133850098, 5.091244697570801, 5.164339542388916, 2.25317645072937, 3.6325153018879064e-07]	[10.198917388916016, 5.839313507080078, 15.060555458068848, 6.914501190185547, 2.43697452545166, 4.65294075012207, 3.940704345703125, 13.563180923461914, 2.9814987182617188, -0.0]
Who was Paul thinking has baked ? <eos>	[4.98341178894043, 5.192718505859375, 5.22992467880249, 5.181074142456055, 3.8001041412353516, 4.457475662231445, 4.7128777503967285, 4.394944426167058e-07]	[10.20380973815918, 3.2886743545532227, 7.271656036376953, 12.88537311553955, 8.02879524230957, 13.224518775939941, 4.693998336791992, -0.0]	Who was Paul thinking that has baked ? <eos>	[4.9721269607543945, 5.183441162109375, 5.197088241577148, 5.148959159851074, 3.7785770893096924, 4.7552900314331055, 4.38253116607666, 4.585661888122559, 4.890350737696281e-07]	[10.238216400146484, 3.285551071166992, 7.299154758453369, 12.872093200683594, 2.139094352722168, 7.391128063201904, 13.50475788116455, 5.870306015014648, -0.0]
Who had Heidi imagined has some horse ? <eos>	[4.973878860473633, 5.192864418029785, 5.389813423156738, 5.290155410766602, 3.274040699005127, 4.2925896644592285, 6.6172590255737305, 5.604820728302002, 4.210833424167504e-07]	[10.218268394470215, 3.986636161804199, 14.65182876586914, 12.239154815673828, 6.903375625610352, 6.518845558166504, 13.058819770812988, 2.7573328018188477, -0.0]	Who had Heidi imagined that has some horse ? <eos>	[4.996225357055664, 5.1677703857421875, 5.460483551025391, 5.324951648712158, 3.2641983032226562, 4.086883544921875, 4.356042861938477, 6.75636100769043, 5.50632381439209, 5.29904696122685e-07]	[10.211509704589844, 4.021640777587891, 14.726371765136719, 12.182967185974121, 3.1337623596191406, 8.595636367797852, 6.464231491088867, 12.867464065551758, 2.3976783752441406, -0.0]
Who was Denise thinking is sighing ? <eos>	[5.008241653442383, 5.183751583099365, 5.234763145446777, 4.46783447265625, 3.259152412414551, 5.539690971374512, 3.5677554607391357, 3.159759671689244e-07]	[10.220052719116211, 3.3366527557373047, 12.591245651245117, 14.068634033203125, 5.321712493896484, 4.510472297668457, 0.9177513122558594, -0.0]	Who was Denise thinking that is sighing ? <eos>	[4.991869926452637, 5.18080997467041, 5.236712455749512, 4.471942901611328, 3.2163190841674805, 5.160754203796387, 5.504539966583252, 3.8170828819274902, 3.2529803206671204e-07]	[10.174736022949219, 3.297886848449707, 12.620986938476562, 14.09742546081543, 2.89422607421875, 5.0143022537231445, 4.099536895751953, 0.9785957336425781, -0.0]
Who had Jerry explained appreciates some hills ? <eos>	[4.990057945251465, 5.1861772537231445, 5.446873188018799, 5.625461578369141, 3.3024768829345703, 4.190366744995117, 4.3225202560424805, 4.02638053894043, 3.7830633914381906e-07]	[10.180770874023438, 3.9994029998779297, 10.855158805847168, 9.963726997375488, 6.8881378173828125, 8.6516695022583, 10.593779563903809, 3.472018241882324, -0.0]	Who had Jerry explained that appreciates some hills ? <eos>	[4.995041847229004, 5.1814141273498535, 5.456343650817871, 5.6193060874938965, 3.299160957336426, 4.377559661865234, 4.300107479095459, 5.871095180511475, 4.418168067932129, 3.616118533500412e-07]	[10.174196243286133, 4.013286590576172, 10.870254516601562, 9.959683418273926, 1.7452468872070312, 3.8526382446289062, 9.869386672973633, 11.240903854370117, 4.882308006286621, -0.0]
Who had Steven imagined baked ? <eos>	[4.991086959838867, 5.179452419281006, 5.45568323135376, 5.94410514831543, 3.9524669647216797, 5.182917594909668, 4.883810333922156e-07]	[10.180038452148438, 4.013519287109375, 11.522610664367676, 12.70895004272461, 15.973932266235352, 4.027252197265625, -0.0]	Who had Steven imagined that baked ? <eos>	[4.981723785400391, 5.1810455322265625, 5.405121803283691, 5.87411642074585, 3.918623447418213, 4.359067916870117, 2.814716339111328, 5.147830961504951e-07]	[10.216978073120117, 3.9798145294189453, 11.445469856262207, 12.820363998413086, 2.9324207305908203, 15.500923156738281, 7.822795867919922, -0.0]
Who would Timothy imagine scare David ? <eos>	[4.980712413787842, 5.192972660064697, 5.194155693054199, 5.914000511169434, 4.40305233001709, 4.917481422424316, 2.8225412368774414, 4.006470248896221e-07]	[10.23327922821045, 3.648275375366211, 13.8374605178833, 9.85178279876709, 14.624866485595703, 9.062100410461426, 0.43863487243652344, -0.0]	Who would Timothy imagine that scare David ? <eos>	[4.982194900512695, 5.183363437652588, 5.215291976928711, 5.9101152420043945, 4.406501770019531, 4.609291076660156, 5.6936798095703125, 5.074141025543213, 4.849549100072181e-07]	[10.186527252197266, 3.7085018157958984, 13.740765571594238, 9.878998756408691, 2.7643728256225586, 13.119007110595703, 7.997694969177246, 2.952042579650879, -0.0]
Who has Douglas said goes fishing ? <eos>	[4.971385955810547, 5.17724609375, 5.4519243240356445, 5.699647426605225, 3.597376585006714, 3.5636520385742188, 3.0097451210021973, 4.313996555538324e-07]	[10.213274002075195, 3.3616247177124023, 12.077774047851562, 6.502317428588867, 12.135941505432129, 11.5737943649292, 1.1648712158203125, -0.0]	Who has Douglas said that goes fishing ? <eos>	[4.986414432525635, 5.198821067810059, 5.452755928039551, 5.688908576965332, 3.600642681121826, 4.371474266052246, 3.3606910705566406, 3.6332292556762695, 4.35640259865977e-07]	[10.170038223266602, 3.3357934951782227, 12.11721420288086, 6.457711219787598, 1.7179222106933594, 10.603382110595703, 13.009994506835938, 1.7759628295898438, -0.0]
Who had Florence said did conceal Becky ? <eos>	[4.983748435974121, 5.18931245803833, 5.448060512542725, 5.24528169631958, 3.497342586517334, 3.606149673461914, 3.555814743041992, 3.250112533569336, 4.2249644138792064e-07]	[10.171590805053711, 4.003842353820801, 12.78125, 8.41142463684082, 8.248262405395508, 13.914331436157227, 13.369937896728516, 1.5419483184814453, -0.0]	Who had Florence said that did conceal Becky ? <eos>	[4.980336666107178, 5.18070650100708, 5.427365779876709, 5.238953590393066, 3.487495183944702, 4.396556854248047, 3.3717615604400635, 3.3009262084960938, 3.104814052581787, 4.7178338036246714e-07]	[10.18606185913086, 4.010764122009277, 12.74353313446045, 8.403926849365234, 2.2211484909057617, 7.443942070007324, 14.332275390625, 14.266144752502441, 1.5677146911621094, -0.0]
Who does Ruth think could hug Heather ? <eos>	[4.970900058746338, 5.19254732131958, 3.19110369682312, 6.035552978515625, 3.3283655643463135, 3.4516165256500244, 3.7230961322784424, 2.5586438179016113, 3.7193601087892603e-07]	[10.203319549560547, 4.052207946777344, 10.233402252197266, 6.675432205200195, 11.029930114746094, 11.952775001525879, 10.328959465026855, 0.5115737915039062, -0.0]	Who does Ruth think that could hug Heather ? <eos>	[4.982168674468994, 5.183119297027588, 3.1864936351776123, 6.022118091583252, 3.3259615898132324, 5.153317928314209, 3.869542121887207, 3.6673362255096436, 3.3456814289093018, 3.800912793394673e-07]	[10.168586730957031, 4.0476484298706055, 10.202006340026855, 6.649324417114258, 2.792522430419922, 8.68400764465332, 11.93510627746582, 11.28414535522461, 0.8520488739013672, -0.0]
Who is Heidi imagining has n't wept ? <eos>	[4.9788360595703125, 5.183091163635254, 4.967584609985352, 2.0806331634521484, 3.870790719985962, 4.803662300109863, 4.6605119705200195, 3.6092162132263184, 3.7221693105493614e-07]	[10.177704811096191, 1.863041877746582, 14.066202163696289, 14.538780212402344, 7.209100723266602, 4.670856475830078, 10.37173080444336, 1.7436389923095703, -0.0]	Who is Heidi imagining that has n't wept ? <eos>	[4.9881744384765625, 5.190089225769043, 4.971843719482422, 2.0645313262939453, 3.8319878578186035, 4.551738739013672, 4.5629987716674805, 3.5230042934417725, 3.731517791748047, 3.865412168124749e-07]	[10.165414810180664, 1.8675956726074219, 14.041851043701172, 14.52977466583252, 3.529298782348633, 6.3880109786987305, 4.20693302154541, 11.55081558227539, 1.8108787536621094, -0.0]
Who should Heidi say had n't won ? <eos>	[4.990675926208496, 5.199809551239014, 5.018693923950195, 5.282587051391602, 3.8824188709259033, 4.972019195556641, 4.742878437042236, 3.4687461853027344, 4.862976084041293e-07]	[10.173019409179688, 5.814522743225098, 15.043834686279297, 4.774080276489258, 8.856818199157715, 4.288190841674805, 5.461605072021484, 3.3488025665283203, -0.0]	Who should Heidi say that had n't won ? <eos>	[5.002496719360352, 5.17987060546875, 5.02305269241333, 5.267028331756592, 3.8837649822235107, 4.1439948081970215, 4.535113334655762, 2.8478217124938965, 3.4368224143981934, 4.785587179867434e-07]	[10.180601119995117, 5.838422775268555, 15.033207893371582, 4.864593505859375, 1.7720842361450195, 8.442750930786133, 4.100152015686035, 7.084260940551758, 4.018980026245117, -0.0]
Who is David thinking was n't changing ? <eos>	[5.0043439865112305, 5.177751064300537, 4.9349260330200195, 5.114935874938965, 3.262877941131592, 5.708919525146484, 5.48342227935791, 4.241221904754639, 3.66028586995526e-07]	[10.188329696655273, 1.8572492599487305, 7.798155784606934, 11.78620719909668, 7.417863845825195, 4.771683692932129, 8.531797409057617, 3.1693859100341797, -0.0]	Who is David thinking that was n't changing ? <eos>	[5.00003719329834, 5.178929328918457, 4.986223220825195, 5.096134185791016, 3.258486032485962, 4.819164276123047, 5.686560153961182, 5.549070835113525, 4.401227951049805, 3.6802032354898984e-07]	[10.165704727172852, 1.8568849563598633, 7.826372146606445, 11.745584487915039, 2.4056148529052734, 5.8542585372924805, 3.7718887329101562, 9.403034210205078, 2.536529541015625, -0.0]
Who has Brad imagined bothered Raymond ? <eos>	[4.99580192565918, 5.186367988586426, 5.4586029052734375, 5.023096084594727, 3.3853111267089844, 3.0228707790374756, 4.389135837554932, 3.6025943472850486e-07]	[10.176280975341797, 3.31746768951416, 12.245095252990723, 13.17025089263916, 14.908305168151855, 10.48245906829834, 1.6314220428466797, -0.0]	Who has Brad imagined that bothered Raymond ? <eos>	[4.979394912719727, 5.173516273498535, 5.447784423828125, 5.035614013671875, 3.443105936050415, 4.329154968261719, 3.0985186100006104, 4.913141250610352, 4.403617879233934e-07]	[10.172711372375488, 3.3399858474731445, 12.190814971923828, 13.196492195129395, 2.814241409301758, 14.056809425354004, 10.887842178344727, 1.809889793395996, -0.0]
