Some customers ' cousins that might break most dishes have not ever examined most essays . <eos>	[5.545644283294678, 5.850346088409424, 5.526823997497559, 7.170005798339844, 4.684004783630371, 5.583742141723633, 4.154292583465576, 4.040217876434326, 3.1031625270843506, 4.95942497253418, 5.187137603759766, 3.75382661819458, 3.4213905334472656, 3.3894715309143066, 2.7818028926849365, 3.452017068862915, 2.746475331605325e-07]	[9.399500846862793, 8.848345756530762, 4.889274597167969, 10.366247177124023, 5.782268524169922, 5.152545928955078, 7.724980354309082, 8.814510345458984, 10.692835807800293, 3.2099828720092773, 4.232253074645996, 7.926212310791016, 9.748675346374512, 7.871099948883057, 13.320633888244629, 1.5073957443237305, -0.0]	Some customers ' cousins that might not break most dishes have ever examined most essays . <eos>	[4.990464210510254, 6.334834098815918, 5.272919654846191, 7.27923059463501, 4.851704120635986, 5.656707286834717, 4.377316474914551, 4.259287357330322, 4.270390033721924, 3.193413019180298, 4.5162529945373535, 5.133665084838867, 4.26430082321167, 3.5571084022521973, 3.6865715980529785, 3.5474443435668945, 2.714775746426312e-07]	[5.216686248779297, 8.20455551147461, 5.65571403503418, 10.91408920288086, 6.144794464111328, 5.511186599731445, 3.54425048828125, 8.04468059539795, 9.160999298095703, 9.858814239501953, 3.037022590637207, 8.0045166015625, 9.913572311401367, 6.949159622192383, 13.491901397705078, 1.9616518020629883, -0.0]
These customers ' tutors who were insulting Helen would not ever correspond . <eos>	[4.990677833557129, 7.003726005554199, 4.706174373626709, 7.4022603034973145, 4.939944744110107, 5.570263385772705, 6.027829170227051, 4.497559070587158, 5.795238494873047, 5.1896257400512695, 4.833398342132568, 5.022406101226807, 1.8119081258773804, 2.810892567595147e-07]	[4.84531307220459, 9.006776809692383, 4.860918045043945, 11.779831886291504, 6.259092330932617, 2.8792409896850586, 14.472376823425293, 11.92518138885498, 4.437015533447266, 2.6021690368652344, 7.875682830810547, 9.980135917663574, 3.6535844802856445, -0.0]	These customers ' tutors who were not insulting Helen would ever correspond . <eos>	[4.988243579864502, 6.998522758483887, 4.707259178161621, 7.402178764343262, 4.939385890960693, 5.5704851150512695, 6.027639389038086, 6.037693977355957, 4.35746955871582, 5.5471601486206055, 5.083539009094238, 4.732844352722168, 1.6461338996887207, 2.840849617768981e-07]	[4.8449506759643555, 9.010680198669434, 4.8611860275268555, 11.7762451171875, 6.262097358703613, 2.8808374404907227, 2.175717353820801, 14.756308555603027, 11.777196884155273, 3.642697334289551, 8.418135643005371, 11.002853393554688, 4.038307189941406, -0.0]
All grandsons of Irene 's classmates that might hurt Travis could not ever hug . <eos>	[4.988033294677734, 5.811628818511963, 4.015773773193359, 4.213716506958008, 3.9024696350097656, 4.134387969970703, 3.506608009338379, 4.707265853881836, 2.5349974632263184, 4.227845668792725, 4.258736610412598, 3.804579973220825, 4.729848861694336, 4.995178699493408, 3.5069918632507324, 2.8267345442145597e-07]	[5.910619735717773, 13.53260612487793, 2.3730897903442383, 11.495139122009277, 3.2956361770629883, 12.220218658447266, 7.535945892333984, 7.7096099853515625, 11.230648040771484, 10.23209285736084, 5.194223403930664, 1.215066909790039, 7.521660804748535, 11.813758850097656, 3.131195068359375, -0.0]	All grandsons of Irene 's classmates that might not hurt Travis could ever hug . <eos>	[4.990959167480469, 5.822083473205566, 4.017136096954346, 4.218488693237305, 3.8976287841796875, 4.135173797607422, 3.508458137512207, 4.710144996643066, 2.535902261734009, 2.115710735321045, 3.9121813774108887, 4.135732173919678, 4.200563907623291, 4.628443717956543, 3.5533299446105957, 2.7918710543417546e-07]	[5.901390075683594, 13.521039009094238, 2.380141258239746, 11.490882873535156, 3.2993698120117188, 12.214754104614258, 7.534101486206055, 7.708102226257324, 4.351452827453613, 11.556026458740234, 10.453798294067383, 3.375772476196289, 6.26046085357666, 11.68522834777832, 2.533235549926758, -0.0]
Many companies that have discussed Theresa should not ever remember Stacy . <eos>	[4.991004943847656, 5.786832332611084, 4.859466552734375, 5.23936653137207, 6.353261470794678, 5.500799179077148, 2.8140766620635986, 3.500399351119995, 3.1544642448425293, 3.9242591857910156, 4.68910026550293, 2.7151095867156982, 2.825640024184395e-07]	[5.546228408813477, 6.070090293884277, 4.437808990478516, 1.9141807556152344, 8.642936706542969, 16.00932502746582, 7.5294084548950195, 2.2212448120117188, 8.392662048339844, 7.222295761108398, 11.528430938720703, 2.5538902282714844, -0.0]	Many companies that have not discussed Theresa should ever remember Stacy . <eos>	[4.990778923034668, 5.784210205078125, 4.859301567077637, 5.239630222320557, 6.352637767791748, 5.687102317810059, 5.2943878173828125, 3.5260372161865234, 3.7703170776367188, 4.259899139404297, 4.923977851867676, 2.744637966156006, 2.79529928093325e-07]	[5.548998832702637, 6.069552421569824, 4.441028594970703, 1.9136619567871094, 4.09913444519043, 8.023462295532227, 15.692190170288086, 6.824129104614258, 6.87814998626709, 7.565691947937012, 10.999916076660156, 2.8975982666015625, -0.0]
Every play about politics that had disagreed with Erin has not ever explained everything . <eos>	[4.990026950836182, 6.177390098571777, 4.103158950805664, 4.679591178894043, 3.697141170501709, 5.504410743713379, 4.260971546173096, 0.7068741321563721, 4.143979072570801, 4.201473236083984, 3.434539794921875, 2.684441566467285, 1.8247966766357422, 3.3166301250457764, 3.4406280517578125, 2.8168869903311133e-07]	[7.684591770172119, 7.647854328155518, 6.513995170593262, 10.324910163879395, 5.19880485534668, 4.028250694274902, 12.944156646728516, 0.10618400573730469, 12.184398651123047, 4.824377059936523, 4.095396995544434, 6.680960655212402, 7.221460342407227, 7.708885192871094, 1.874603271484375, -0.0]	Every play about politics that had not disagreed with Erin has ever explained everything . <eos>	[4.990584373474121, 6.180743217468262, 4.103388786315918, 4.677320957183838, 3.697848320007324, 5.505524635314941, 4.262213706970215, 2.66230845451355, 1.0058741569519043, 4.015517234802246, 4.715005874633789, 3.8673648834228516, 2.489567279815674, 3.4669222831726074, 3.5193405151367188, 2.86619638245611e-07]	[7.679601669311523, 7.650620460510254, 6.513692855834961, 10.32264232635498, 5.19719123840332, 4.028887748718262, 3.864047050476074, 13.324880599975586, 0.1479206085205078, 12.389857292175293, 4.19437313079834, 4.93424129486084, 7.454341888427734, 6.962833404541016, 1.9932670593261719, -0.0]
The closet that did irritate Carol might not ever close . <eos>	[4.991018772125244, 7.804767608642578, 4.352490425109863, 5.064684867858887, 2.330040454864502, 5.760916709899902, 4.7953925132751465, 3.6316416263580322, 3.173553943634033, 3.8729114532470703, 3.817958116531372, 2.782170156478969e-07]	[1.7139034271240234, 13.152594566345215, 6.039582252502441, 6.760290145874023, 4.866034507751465, 12.12784481048584, 8.35540771484375, 3.057882308959961, 8.206781387329102, 9.058893203735352, 2.3024559020996094, -0.0]	The closet that did not irritate Carol might ever close . <eos>	[4.985614776611328, 7.80420446395874, 4.349367618560791, 5.063509941101074, 2.328134298324585, 5.343338966369629, 4.990797996520996, 4.864886283874512, 3.3397951126098633, 3.238072395324707, 3.7417044639587402, 2.7592483320404426e-07]	[1.7132492065429688, 13.153594970703125, 6.0455169677734375, 6.760406494140625, 0.4377555847167969, 4.941253662109375, 12.064535140991211, 8.02743148803711, 7.245857238769531, 9.209257125854492, 3.042490005493164, -0.0]
The granddaughter of Tara that has irritated William might not ever see . <eos>	[4.985574722290039, 7.80375862121582, 1.6399633884429932, 5.280064582824707, 6.083784103393555, 5.001473426818848, 3.988145589828491, 3.8394041061401367, 3.839193820953369, 3.739666223526001, 3.7886910438537598, 4.416753768920898, 4.01815128326416, 2.813827961745119e-07]	[1.7129859924316406, 12.490743637084961, 0.25236988067626953, 8.81220817565918, 11.341289520263672, 2.9852371215820312, 13.093734741210938, 7.852315902709961, 10.535975456237793, 1.8052787780761719, 6.342802047729492, 3.9200658798217773, 6.346872329711914, -0.0]	The granddaughter of Tara that has not irritated William might ever see . <eos>	[4.992505073547363, 7.803553104400635, 1.6419403553009033, 5.279056549072266, 6.0839715003967285, 5.002802848815918, 3.990748405456543, 2.678828239440918, 3.255420446395874, 4.144513130187988, 3.9803223609924316, 3.7679154872894287, 4.4325947761535645, 2.8061845114280004e-07]	[1.716078758239746, 12.492901802062988, 0.2526969909667969, 8.809494018554688, 11.339922904968262, 2.984564781188965, 4.3073625564575195, 13.450582504272461, 7.741748809814453, 9.263115882873535, 3.8230209350585938, 4.550301551818848, 6.12374210357666, -0.0]
Tonya 's grandfather 's contractor 's handymen who are climbing down a lot of stairs had not ever approved . <eos>	[4.992738246917725, 6.395115852355957, 7.598993301391602, 3.2687339782714844, 6.176227569580078, 3.6990232467651367, 6.7343902587890625, 5.536224365234375, 5.075242519378662, 6.162961006164551, 6.026221752166748, 4.8979902267456055, 5.207342147827148, 2.1872029304504395, 6.7176408767700195, 3.926807403564453, 4.712802410125732, 3.406345844268799, 3.0344135761260986, 3.694352865219116, 2.724065666370734e-07]	[2.9337453842163086, 3.2214136123657227, 6.844025611877441, 4.649147033691406, 12.544198989868164, 5.339493751525879, 3.044001579284668, 7.821488380432129, 4.80223274230957, 10.841737747192383, 4.721229553222656, 2.611980438232422, 6.912027359008789, 0.38408851623535156, 5.026656150817871, 5.184082984924316, 4.408087730407715, 7.669651985168457, 9.960369110107422, 2.581101417541504, -0.0]	Tonya 's grandfather 's contractor 's handymen who are not climbing down a lot of stairs had ever approved . <eos>	[4.991274833679199, 6.396364212036133, 7.598945617675781, 3.2685415744781494, 6.175842761993408, 3.6976523399353027, 6.733675956726074, 5.535496234893799, 5.075446128845215, 6.162594795227051, 6.408075332641602, 5.476253509521484, 4.396085739135742, 5.156985282897949, 2.8778326511383057, 6.935295581817627, 3.8326075077056885, 4.455381870269775, 3.6494452953338623, 3.8484063148498535, 2.684722346657509e-07]	[2.9380626678466797, 3.221372604370117, 6.845913887023926, 4.649075508117676, 12.539484977722168, 5.340180397033691, 3.0437088012695312, 7.822829723358154, 4.803070068359375, 4.031890869140625, 11.394156455993652, 4.9583282470703125, 3.4718236923217773, 5.313316345214844, 0.6616706848144531, 6.166838645935059, 5.228696823120117, 7.796130180358887, 10.46649169921875, 3.6393213272094727, -0.0]
All grandfathers of many customers that will confuse Timothy have not ever succeeded . <eos>	[4.990730285644531, 5.8236775398254395, 6.515595436096191, 3.955247640609741, 6.836116790771484, 4.545134544372559, 5.456716537475586, 4.843920707702637, 4.317584037780762, 5.0495405197143555, 5.175307273864746, 4.414921760559082, 4.392075538635254, 2.472435235977173, 2.704868506953062e-07]	[5.90941047668457, 4.002440452575684, 4.062033653259277, 6.7911481857299805, 8.873552322387695, 5.904387474060059, 4.886946678161621, 9.904999732971191, 12.809150695800781, 8.142341613769531, 3.5947561264038086, 7.776693344116211, 8.426872253417969, 1.5681514739990234, -0.0]	All grandfathers of many customers that will not confuse Timothy have ever succeeded . <eos>	[4.98862361907959, 5.81911039352417, 6.5166192054748535, 3.9600698947906494, 6.837723731994629, 4.545173645019531, 5.457286834716797, 4.8440752029418945, 4.559496879577637, 4.170746803283691, 4.427908897399902, 5.100746154785156, 4.243354320526123, 2.3846278190612793, 2.728544359342777e-07]	[5.909157752990723, 4.002803802490234, 4.060863494873047, 6.792870998382568, 8.869974136352539, 5.90235710144043, 4.885354995727539, 3.3921613693237305, 8.698596000671387, 12.639924049377441, 8.030014038085938, 5.857985496520996, 8.389293670654297, 1.7946281433105469, -0.0]
Most dancers ' sons that have returned to Bradley would not ever react . <eos>	[4.989002227783203, 4.842435359954834, 4.981750965118408, 6.567756175994873, 4.929516792297363, 5.056728839874268, 5.412143230438232, 2.5748419761657715, 3.6497316360473633, 4.76188850402832, 4.381524085998535, 3.8657896518707275, 4.3199357986450195, 3.0423831939697266, 2.8609872515517054e-07]	[5.732273101806641, 9.39369010925293, 5.964975357055664, 8.528462409973145, 7.4830474853515625, 2.1930370330810547, 6.861273765563965, 0.6137228012084961, 15.559452056884766, 5.024219512939453, 3.785076141357422, 8.20975399017334, 7.919272422790527, 1.5569400787353516, -0.0]	Most dancers ' sons that have not returned to Bradley would ever react . <eos>	[4.987548828125, 4.832524299621582, 4.978759288787842, 6.568647384643555, 4.927865982055664, 5.056199073791504, 5.41053581237793, 4.341639995574951, 2.874208450317383, 3.5741405487060547, 4.399846076965332, 4.151103973388672, 4.051094055175781, 3.1423850059509277, 2.882730427700153e-07]	[5.731507301330566, 9.397282600402832, 5.967983245849609, 8.529869079589844, 7.483835220336914, 2.1935291290283203, 3.8229761123657227, 5.1283416748046875, 0.7140121459960938, 15.618094444274902, 5.016572952270508, 6.961542129516602, 8.425166130065918, 1.9906272888183594, -0.0]
