All people flee from that adult . <eos>	[5.545644760131836, 5.225571155548096, 5.130145072937012, 3.194446325302124, 3.4615066051483154, 5.370748043060303, 5.410530090332031, 2.9215755148470635e-07]	[8.75776481628418, 7.396126747131348, 10.364152908325195, 1.8357467651367188, 5.641575813293457, 10.896244049072266, 2.9950027465820312, -0.0]
All people flee from that adults . <eos>	[4.989065170288086, 5.8184285163879395, 4.756487846374512, 3.3639960289001465, 3.342410087585449, 5.564661979675293, 3.16445255279541, 2.755170385171368e-07]	[5.905813217163086, 6.486809730529785, 9.958267211914062, 1.6245136260986328, 5.7041120529174805, 13.991388320922852, 1.2716178894042969, -0.0]
Diane would complain about this guy . <eos>	[4.992254734039307, 5.95175313949585, 4.8744049072265625, 2.131334066390991, 3.8432230949401855, 5.342613220214844, 3.4739091396331787, 2.743341269706434e-07]	[11.248620986938477, 6.618643760681152, 9.047102928161621, 0.8783435821533203, 4.340018272399902, 7.508283615112305, 2.748854637145996, -0.0]
Diane would complain about this guys . <eos>	[4.987265586853027, 5.952203273773193, 4.873232841491699, 2.133521795272827, 3.8437705039978027, 5.342730522155762, 3.721831798553467, 2.745195786246768e-07]	[11.25054931640625, 6.619805335998535, 9.049981117248535, 0.8809185028076172, 4.339480400085449, 14.230660438537598, 2.118816375732422, -0.0]
A lot of actresses cure those hamsters . <eos>	[4.988031387329102, 7.244968414306641, 0.3993886113166809, 6.254874229431152, 4.242490768432617, 4.743357181549072, 4.719781875610352, 2.8957571983337402, 2.62281332652492e-07]	[3.9335880279541016, 6.36044454574585, 0.044521331787109375, 11.374772071838379, 17.611116409301758, 5.9988250732421875, 15.175111770629883, 1.9119157791137695, -0.0]
A lot of actresses cure those hamster . <eos>	[4.991121768951416, 7.244101047515869, 0.3995060920715332, 6.254569053649902, 4.2425737380981445, 4.743602752685547, 4.719935417175293, 4.5537309646606445, 2.690953238015936e-07]	[3.931589126586914, 6.3601603507995605, 0.04453468322753906, 11.376458168029785, 17.60952377319336, 5.9989471435546875, 16.117053985595703, 2.5113964080810547, -0.0]
A lot of teachers find that customer . <eos>	[4.98905086517334, 7.244089126586914, 0.3996005654335022, 6.25485372543335, 4.801900863647461, 4.662679672241211, 4.705483913421631, 5.495007038116455, 3.0517878712998936e-07]	[3.9311132431030273, 6.358458042144775, 0.04454612731933594, 8.906957626342773, 6.09162712097168, 2.5472450256347656, 11.81982421875, 8.225808143615723, -0.0]
A lot of teachers find that customers . <eos>	[4.986058235168457, 7.24160099029541, 0.4008336067199707, 6.256434440612793, 4.802486419677734, 4.662903785705566, 4.705967426300049, 4.265106678009033, 2.840015440597199e-07]	[3.93359375, 6.359930992126465, 0.044677734375, 8.900187492370605, 6.097354888916016, 2.546238899230957, 9.190778732299805, 7.377532958984375, -0.0]
Most boys had n't walked through that high school . <eos>	[4.989806175231934, 4.82892370223999, 4.731022834777832, 5.006455421447754, 4.56900691986084, 4.054757595062256, 3.18548846244812, 6.003559112548828, 0.8101497292518616, 3.8872413635253906, 2.8802219276258256e-07]	[5.729900360107422, 9.672677993774414, 4.482366561889648, 7.699448585510254, 6.887790679931641, 3.741809844970703, 5.586254119873047, 6.841531753540039, 0.08890724182128906, 1.792572021484375, -0.0]
Most boys had n't walked through that high schools . <eos>	[4.988118648529053, 4.846057891845703, 4.731049537658691, 5.006772518157959, 4.569332599639893, 4.055190086364746, 3.1856536865234375, 6.001646518707275, 0.807671070098877, 3.3537702560424805, 2.8673215979324596e-07]	[5.732125282287598, 9.665164947509766, 4.477770805358887, 7.702675819396973, 6.885928153991699, 3.742382049560547, 5.586915016174316, 6.841322898864746, 6.818380355834961, 1.7855710983276367, -0.0]
That hat was worrying those pedestrians . <eos>	[4.988193988800049, 4.976883888244629, 3.3221001625061035, 5.806351661682129, 3.8012917041778564, 6.816701889038086, 4.9467244148254395, 2.830425387401192e-07]	[6.269932746887207, 12.460103988647461, 0.8633022308349609, 16.095008850097656, 9.110771179199219, 11.107357025146484, 3.029630661010742, -0.0]
That hat was worrying those pedestrian . <eos>	[4.992441177368164, 4.968707084655762, 3.325615882873535, 5.806510925292969, 3.802219867706299, 6.817635536193848, 6.5880632400512695, 2.8869945367659966e-07]	[6.270953178405762, 12.460526466369629, 0.8641376495361328, 16.095359802246094, 9.113964080810547, 13.008234977722168, 6.436568260192871, -0.0]
Noah is stunning that child . <eos>	[4.990655899047852, 5.320301055908203, 5.515263557434082, 2.503249168395996, 4.537261009216309, 5.463486671447754, 2.8791805561922956e-07]	[11.190217971801758, 2.955934524536133, 14.112236976623535, 4.278659820556641, 11.982499122619629, 5.416930198669434, -0.0]
Noah is stunning that children . <eos>	[4.992022514343262, 5.316927909851074, 5.517295837402344, 2.5032403469085693, 4.536060333251953, 4.178516387939453, 2.855753677977191e-07]	[11.185263633728027, 2.953536033630371, 14.111385345458984, 4.277549743652344, 8.31067943572998, 6.069934844970703, -0.0]
Benjamin did stun these senators . <eos>	[4.992462158203125, 5.9203596115112305, 1.7868661880493164, 5.445408344268799, 6.673007965087891, 3.3928256034851074, 2.624656190164387e-07]	[9.684826850891113, 6.120409965515137, 16.403209686279297, 5.486269950866699, 11.327452659606934, 4.216634750366211, -0.0]
Benjamin did stun these senator . <eos>	[4.991635799407959, 5.921709060668945, 1.7892789840698242, 5.447709083557129, 6.673906326293945, 4.252376556396484, 2.676884491847886e-07]	[9.679520606994629, 6.121920585632324, 16.40007781982422, 5.48486328125, 14.653717041015625, 4.184169769287109, -0.0]
Gary could hug that actress . <eos>	[4.991698741912842, 6.484904766082764, 4.1206769943237305, 3.6380090713500977, 6.408598899841309, 3.8603248596191406, 2.7750564868256333e-07]	[9.555932998657227, 7.944743633270264, 11.454601287841797, 6.107580184936523, 8.37251091003418, 3.1630020141601562, -0.0]
Gary could hug that actresses . <eos>	[4.988687038421631, 6.48532772064209, 4.121888160705566, 3.637866497039795, 6.408317565917969, 3.994354248046875, 2.827580942721397e-07]	[9.549148559570312, 7.945316791534424, 11.45472526550293, 6.107430458068848, 14.056022644042969, 2.838667869567871, -0.0]
Paula has concealed those commentaries . <eos>	[4.9887166023254395, 5.445260524749756, 4.686770915985107, 3.5993235111236572, 6.798225402832031, 3.3412153720855713, 2.681842374840926e-07]	[11.24614429473877, 3.949441909790039, 11.30859375, 6.662708282470703, 15.783106803894043, 2.8677377700805664, -0.0]
Paula has concealed those commentary . <eos>	[4.990424633026123, 5.446049690246582, 4.68735933303833, 3.6003618240356445, 6.797735214233398, 3.7276010513305664, 2.744392872955359e-07]	[11.241710662841797, 3.9506759643554688, 11.308258056640625, 6.663561820983887, 15.37472152709961, 3.348569869995117, -0.0]
A lot of birds had n't confused that museum . <eos>	[4.993505001068115, 7.2441487312316895, 0.4000064730644226, 6.253567695617676, 4.113786220550537, 4.340912342071533, 3.1595520973205566, 4.0885748863220215, 5.419369220733643, 3.3041446208953857, 2.7814152758764976e-07]	[3.935368537902832, 6.354140281677246, 0.04459381103515625, 7.766912937164307, 5.0820770263671875, 7.106766700744629, 11.214040756225586, 4.52922248840332, 12.384855270385742, 1.1730642318725586, -0.0]
A lot of birds had n't confused that museums . <eos>	[4.989778518676758, 7.24373722076416, 0.39979052543640137, 6.2528395652771, 4.114223957061768, 4.339646339416504, 3.158535957336426, 4.088167190551758, 5.419768333435059, 3.073211193084717, 2.7707847038982436e-07]	[3.934239387512207, 6.357594013214111, 0.044574737548828125, 7.765532493591309, 5.080765724182129, 7.1098737716674805, 11.21478271484375, 4.5294647216796875, 16.110031127929688, 1.3335275650024414, -0.0]
Martha should mess up these libraries . <eos>	[4.991021156311035, 5.977906703948975, 3.726250171661377, 2.0844221115112305, 4.345619201660156, 7.201572895050049, 3.3506131172180176, 2.694399654501467e-07]	[10.617666244506836, 9.218238830566406, 12.44912052154541, 1.7140674591064453, 6.102634429931641, 10.023611068725586, 2.5154895782470703, -0.0]
Martha should mess up these library . <eos>	[4.989494323730469, 5.977825164794922, 3.7248823642730713, 2.0851857662200928, 4.3451008796691895, 7.201241493225098, 5.67530632019043, 2.761368023129762e-07]	[10.620012283325195, 9.21565055847168, 12.452651977539062, 1.7150897979736328, 6.101775169372559, 11.930288314819336, 3.634611129760742, -0.0]
Ruth healed those senators . <eos>	[4.989892959594727, 6.110698223114014, 4.8951568603515625, 5.721817970275879, 3.5260725021362305, 2.727641117417079e-07]	[10.253316879272461, 13.400919914245605, 9.19735336303711, 11.256553649902344, 4.832612991333008, -0.0]
Ruth healed those senator . <eos>	[4.989716529846191, 6.112584114074707, 4.894228458404541, 5.723134994506836, 4.040121555328369, 2.8194094170430617e-07]	[10.252243041992188, 13.40141487121582, 9.199383735656738, 16.629541397094727, 5.369184494018555, -0.0]
That actress talks to those ladies . <eos>	[4.987288951873779, 4.977066993713379, 4.574012756347656, 2.6421828269958496, 4.954282283782959, 4.614367485046387, 3.4034385681152344, 2.7303207161821774e-07]	[6.272456169128418, 11.485248565673828, 11.828402519226074, 1.5407609939575195, 7.582202911376953, 8.262276649475098, 4.165042877197266, -0.0]
That actress talks to those lady . <eos>	[4.991487503051758, 4.968092918395996, 4.576827049255371, 2.643857479095459, 4.953665733337402, 4.613332748413086, 5.4716081619262695, 2.73193677458039e-07]	[6.2744855880737305, 11.486656188964844, 11.83308219909668, 1.5404777526855469, 7.580127716064453, 11.135824203491211, 4.663809776306152, -0.0]
Eva exited this hospital . <eos>	[4.990632057189941, 5.648265361785889, 3.258193016052246, 5.823047161102295, 2.7555949687957764, 2.921802320088318e-07]	[11.469057083129883, 10.13257122039795, 5.377921104431152, 4.914916038513184, 5.463841438293457, -0.0]
Eva exited this hospitals . <eos>	[4.98779296875, 5.653298377990723, 3.260551929473877, 5.8222222328186035, 2.5990493297576904, 2.8363291448840755e-07]	[11.497820854187012, 10.135101318359375, 5.378588676452637, 14.602370262145996, 5.1387176513671875, -0.0]
All drivers left that waiter . <eos>	[4.988556861877441, 5.8208208084106445, 4.714956760406494, 3.934286117553711, 5.259819030761719, 4.6867780685424805, 2.883350020965736e-07]	[5.912342071533203, 8.54961109161377, 7.682371139526367, 6.055619239807129, 14.538763046264648, 4.3153228759765625, -0.0]
All drivers left that waiters . <eos>	[4.989922046661377, 5.814969062805176, 4.714499473571777, 3.9312846660614014, 5.257931232452393, 4.94192361831665, 2.8725537504215026e-07]	[5.907480239868164, 8.548099517822266, 7.680912017822266, 6.058575630187988, 4.514006614685059, 4.139708518981934, -0.0]
Andrew attacks these waitresses . <eos>	[4.988933086395264, 6.16343879699707, 5.646574974060059, 7.2340898513793945, 4.988523960113525, 2.645865606609732e-07]	[9.13927173614502, 10.053862571716309, 6.088268280029297, 3.301900863647461, 3.003493309020996, -0.0]
Andrew attacks these waitress . <eos>	[4.992094993591309, 6.161314010620117, 5.647778511047363, 7.2340264320373535, 5.666131973266602, 2.6399058583592705e-07]	[9.135562896728516, 10.049994468688965, 6.085056304931641, 15.256827354431152, 3.4872093200683594, -0.0]
