Ann is thinking Lawrence kisses her . <eos>	[5.545644760131836, 3.152097702026367, 5.711021900177002, 2.265040397644043, 3.6966352462768555, 3.56442928314209, 3.554353713989258, 2.806661996146431e-07]	[10.104745864868164, 6.382645606994629, 11.462535858154297, 12.776596069335938, 11.015874862670898, 1.5177907943725586, 1.3649682998657227, -0.0]
Ann is thinking Lawrence kisses herself . <eos>	[4.990328788757324, 5.945044040679932, 5.605196952819824, 2.3958048820495605, 3.5668821334838867, 3.864403009414673, 3.2923364639282227, 2.8817632369282364e-07]	[10.323904037475586, 2.8583812713623047, 11.540740966796875, 12.11726188659668, 10.536642074584961, 7.1442461013793945, 2.2689151763916016, -0.0]
Wendy was saying Roger discussed her . <eos>	[4.995314598083496, 5.872119903564453, 5.543240070343018, 2.4751193523406982, 5.118990898132324, 3.7560229301452637, 6.316532611846924, 2.738875650720729e-07]	[11.358026504516602, 4.406831741333008, 10.056018829345703, 11.953132629394531, 11.417320251464844, 2.1566543579101562, 4.561732292175293, -0.0]
Wendy was saying Roger discussed herself . <eos>	[4.989221572875977, 5.8714141845703125, 5.539951801300049, 2.474940061569214, 5.1190900802612305, 3.7561216354370117, 3.056924819946289, 2.714814968385326e-07]	[11.365302085876465, 4.404714584350586, 10.052119255065918, 11.951704025268555, 11.41680908203125, 6.303533554077148, 3.3418846130371094, -0.0]
Most boys think Becca hadn't investigated them . <eos>	[4.990734100341797, 4.848819732666016, 4.730233192443848, 3.5969676971435547, 3.2205684185028076, 5.272912979125977, 4.43723201751709, 3.403972864151001, 2.7090922571915144e-07]	[5.726588249206543, 9.673795700073242, 7.023270606994629, 11.894903182983398, 6.36607551574707, 15.55469036102295, 3.7796154022216797, 1.7882556915283203, -0.0]
Most boys think Becca hadn't investigated themselves . <eos>	[4.990097522735596, 4.842740535736084, 4.730809211730957, 3.5969090461730957, 3.2218360900878906, 5.273619651794434, 4.4373931884765625, 3.247257947921753, 2.695167040656088e-07]	[5.731600761413574, 9.670381546020508, 7.022331237792969, 11.895917892456055, 6.366037368774414, 15.551369667053223, 6.755921363830566, 2.079530715942383, -0.0]
Tina was saying Patrick hires her . <eos>	[4.988705635070801, 5.375219345092773, 5.671001434326172, 2.807069778442383, 4.15695333480835, 4.214789867401123, 4.234643936157227, 2.7173018679604866e-07]	[11.655856132507324, 3.154170036315918, 10.373181343078613, 11.870497703552246, 11.911447525024414, 1.7302322387695312, 3.299321174621582, -0.0]
Tina was saying Patrick hires herself . <eos>	[4.99101448059082, 5.3766632080078125, 5.671473026275635, 2.807436943054199, 4.155893325805664, 4.216278553009033, 2.7948620319366455, 2.677302859410702e-07]	[11.650497436523438, 3.1557388305664062, 10.370813369750977, 11.868341445922852, 11.914295196533203, 5.953502655029297, 3.0568056106567383, -0.0]
Rebecca imagined Randolf hugged her . <eos>	[4.989386558532715, 6.192161560058594, 4.59836483001709, 4.502137660980225, 4.051116943359375, 6.227750778198242, 2.8480317837420444e-07]	[11.231605529785156, 12.518949508666992, 3.8183250427246094, 3.5893497467041016, 4.005491256713867, 5.492138862609863, -0.0]
Rebecca imagined Randolf hugged herself . <eos>	[4.9903340339660645, 6.193600177764893, 4.599993705749512, 4.500215530395508, 4.049078464508057, 2.5017640590667725, 2.8419773911991797e-07]	[11.22419548034668, 12.52590560913086, 3.8181962966918945, 3.590963363647461, 5.649343490600586, 4.380550384521484, -0.0]
Clyde imagined every bird should conceal him . <eos>	[4.989749908447266, 5.851402282714844, 4.164754867553711, 6.460587501525879, 5.382779121398926, 3.485703468322754, 3.2178258895874023, 3.3658993244171143, 2.6736091740531265e-07]	[11.362445831298828, 14.265554428100586, 9.004486083984375, 6.780123710632324, 5.814821243286133, 8.560155868530273, 5.710878372192383, 2.5311107635498047, -0.0]
Clyde imagined every bird should conceal himself . <eos>	[4.98933744430542, 5.847875595092773, 4.166070938110352, 6.460664749145508, 5.382521629333496, 3.486881732940674, 3.217869758605957, 3.1284337043762207, 2.6990443302565836e-07]	[11.364127159118652, 14.25806999206543, 9.003843307495117, 6.780464172363281, 5.814899444580078, 8.559553146362305, 5.299043655395508, 2.8133678436279297, -0.0]
Jill had imagined Larry observed her . <eos>	[4.989780426025391, 5.400662899017334, 4.825434684753418, 3.3498451709747314, 5.512663841247559, 4.42281436920166, 6.653484344482422, 2.80183940049028e-07]	[11.343749046325684, 5.4853105545043945, 10.639355659484863, 10.74336051940918, 14.997330665588379, 3.882138252258301, 5.410429954528809, -0.0]
Jill had imagined Larry observed herself . <eos>	[4.991250514984131, 5.400745391845703, 4.825800895690918, 3.3499090671539307, 5.513550281524658, 4.422995567321777, 3.1594505310058594, 2.793633484543534e-07]	[11.33691120147705, 5.481985092163086, 10.6384859085083, 10.74215316772461, 15.00200366973877, 6.488986968994141, 4.162415504455566, -0.0]
Kevin imagined that waitress could dislike him . <eos>	[4.991308689117432, 6.445409297943115, 3.9578402042388916, 4.960733413696289, 6.409180641174316, 5.017629623413086, 4.714231491088867, 3.2308688163757324, 2.7462405682854296e-07]	[9.466399192810059, 12.831361770629883, 1.1643400192260742, 14.288825035095215, 5.063041687011719, 11.084461212158203, 1.9891691207885742, 2.5597705841064453, -0.0]
Kevin imagined that waitress could dislike himself . <eos>	[4.990318298339844, 6.444150924682617, 3.9563686847686768, 4.961123466491699, 6.409029006958008, 5.01799201965332, 4.713990211486816, 3.3213624954223633, 2.7667667268360674e-07]	[9.464993476867676, 12.829235076904297, 1.1634941101074219, 14.286151885986328, 5.065844535827637, 11.084856033325195, 7.468379497528076, 3.2760629653930664, -0.0]
Stacy ca n't think the shirt had upset her . <eos>	[4.989455223083496, 5.886655330657959, 0.13712811470031738, 5.343906402587891, 3.1672844886779785, 6.846114635467529, 3.8892297744750977, 4.488918304443359, 4.767045974731445, 3.4684929847717285, 2.8276718921915744e-07]	[12.396926879882812, 11.38354778289795, 0.021856307983398438, 5.333651542663574, 3.238016128540039, 10.205632209777832, 4.418730735778809, 10.18527889251709, 1.835317611694336, 1.2933292388916016, -0.0]
Stacy ca n't think the shirt had upset herself . <eos>	[4.990069389343262, 5.8903889656066895, 0.13679653406143188, 5.343439102172852, 3.165341377258301, 6.845783233642578, 3.889406681060791, 4.488848686218262, 4.765582084655762, 2.682847023010254, 2.710638113967434e-07]	[12.391135215759277, 11.388586044311523, 0.021810531616210938, 5.3331499099731445, 3.2394466400146484, 10.207683563232422, 4.419512748718262, 10.185439109802246, 5.6941986083984375, 1.3543453216552734, -0.0]
Lori was imagining Steve disagrees with her . <eos>	[4.98916482925415, 5.488266944885254, 5.524641990661621, 4.2955546379089355, 5.519146919250488, 3.2293851375579834, 5.335210800170898, 5.935919761657715, 2.7861227636094554e-07]	[12.961668014526367, 2.507340431213379, 12.794210433959961, 9.407033920288086, 15.22542953491211, 2.7851200103759766, 2.3773183822631836, 2.8534488677978516, -0.0]
Lori was imagining Steve disagrees with herself . <eos>	[4.988534927368164, 5.489985942840576, 5.5238776206970215, 4.295581817626953, 5.520013809204102, 3.229495048522949, 5.334562301635742, 3.197558641433716, 2.7603149987953657e-07]	[12.965782165527344, 2.5118350982666016, 12.79326343536377, 9.404995918273926, 15.227887153625488, 2.785360336303711, 8.050790786743164, 2.504638671875, -0.0]
Christina wouldn't imagine that guy argued about her . <eos>	[4.990571975708008, 5.522385597229004, 5.54667329788208, 3.969845771789551, 4.53961181640625, 5.644574165344238, 2.2059035301208496, 4.790181636810303, 6.831019401550293, 2.8470896040744265e-07]	[11.248251914978027, 2.0207605361938477, 15.636136054992676, 1.3660287857055664, 13.949847221374512, 12.443497657775879, 5.10694694519043, 3.390377998352051, 5.38532829284668, -0.0]
