Paul did not ever dislike Kendra . <eos>	[5.545644760131836, 5.649787902832031, 2.335287094116211, 5.635485649108887, 5.4311065673828125, 4.515631198883057, 3.5535964965820312, 2.684253104234813e-07]	[8.000633239746094, 8.847844123840332, 0.4265308380126953, 7.916078567504883, 10.85505485534668, 3.1170530319213867, 1.4093341827392578, -0.0]
Paul did fortunately ever dislike Kendra . <eos>	[4.988368034362793, 6.18212366104126, 1.9221806526184082, 5.3597869873046875, 5.600606918334961, 5.953738212585449, 4.089851379394531, 2.6535690267337486e-07]	[8.174731254577637, 6.263302803039551, 14.127836227416992, 8.79155445098877, 11.622692108154297, 2.9125070571899414, 2.453462600708008, -0.0]
Some legislature did not ever reply . <eos>	[4.9875946044921875, 6.338686943054199, 5.622314453125, 2.187481641769409, 5.401632308959961, 5.32375431060791, 2.7129745483398438, 2.7708975380846823e-07]	[5.2199811935424805, 12.977666854858398, 5.119637489318848, 0.3416557312011719, 9.933309555053711, 9.034248352050781, 2.174253463745117, -0.0]
Some legislature did fortunately ever reply . <eos>	[4.988056659698486, 6.335750579833984, 5.6234331130981445, 2.187601089477539, 5.52974796295166, 6.162273406982422, 2.399009943008423, 2.7494982646203425e-07]	[5.216573715209961, 12.972281455993652, 5.118887901306152, 17.008148193359375, 9.030770301818848, 10.382963180541992, 2.8252668380737305, -0.0]
Stacy would not ever go fishing . <eos>	[4.988361358642578, 5.887349605560303, 4.739973545074463, 4.930861473083496, 4.71983003616333, 3.7667934894561768, 3.3299977779388428, 2.867256512217864e-07]	[12.40412712097168, 6.355737686157227, 3.2078018188476562, 7.285959243774414, 3.5775556564331055, 10.605497360229492, 2.0759239196777344, -0.0]
Stacy would really ever go fishing . <eos>	[4.984930992126465, 5.885270595550537, 4.7361602783203125, 5.042695999145508, 4.531445026397705, 4.001262664794922, 3.5802178382873535, 2.8498564574874763e-07]	[12.403108596801758, 6.35731315612793, 9.957998275756836, 8.20777702331543, 3.126546859741211, 9.78715991973877, 1.887796401977539, -0.0]
Sally could not ever praise Liam . <eos>	[4.986691951751709, 5.630579471588135, 3.2284131050109863, 5.177609443664551, 4.762459754943848, 3.704991340637207, 3.70443058013916, 2.7159558158018626e-07]	[10.63718318939209, 8.024810791015625, 0.8204402923583984, 7.999098777770996, 11.406795501708984, 10.617864608764648, 2.615232467651367, -0.0]
Sally could probably ever praise Liam . <eos>	[4.9883198738098145, 5.626503944396973, 3.2253925800323486, 4.58453369140625, 4.476602554321289, 3.6562676429748535, 3.648472547531128, 2.673510550721403e-07]	[10.631450653076172, 8.020587921142578, 8.888826370239258, 8.455904006958008, 11.459877014160156, 10.68345832824707, 2.731588363647461, -0.0]
Frank has not ever described Karen . <eos>	[4.989551544189453, 6.057415962219238, 4.855098724365234, 4.803245544433594, 3.8972537517547607, 4.321244239807129, 3.349337577819824, 2.84512793768954e-07]	[8.55453109741211, 4.58502197265625, 4.894545555114746, 8.6824312210083, 7.887270927429199, 9.964639663696289, 4.126483917236328, -0.0]
Frank has really ever described Karen . <eos>	[4.985466957092285, 6.058986663818359, 4.855440139770508, 5.4660539627075195, 4.318004131317139, 4.55047082901001, 3.328378200531006, 2.7312844963489624e-07]	[8.567314147949219, 4.587813377380371, 10.363120079040527, 9.031900405883789, 6.82753849029541, 10.036466598510742, 3.8187551498413086, -0.0]
Joel had not ever concurred . <eos>	[4.985730171203613, 6.091056823730469, 5.093212127685547, 5.057930946350098, 3.9423327445983887, 1.2384347915649414, 2.6366947736278235e-07]	[10.233701705932617, 4.77020263671875, 4.302787780761719, 8.893299102783203, 12.598111152648926, 3.640155792236328, -0.0]
Joel had probably ever concurred . <eos>	[4.989310264587402, 6.093440055847168, 5.094948768615723, 4.959474563598633, 3.356719493865967, 1.0288841724395752, 2.6793480856213137e-07]	[10.233208656311035, 4.772058486938477, 8.791250228881836, 9.701367378234863, 13.444555282592773, 5.055190086364746, -0.0]
The customers had not ever embraced . <eos>	[4.989565849304199, 7.8051371574401855, 5.048213481903076, 4.668672561645508, 5.172355651855469, 4.605465888977051, 3.592510223388672, 2.6888073989539407e-07]	[1.7107429504394531, 11.009454727172852, 4.230693817138672, 4.406916618347168, 7.895369529724121, 8.965262413024902, 4.79826545715332, -0.0]
The customers had really ever embraced . <eos>	[4.98940372467041, 7.805072784423828, 5.047430038452148, 4.664027214050293, 5.845051288604736, 4.569292068481445, 3.889096736907959, 2.7292747972751386e-07]	[1.714010238647461, 11.005508422851562, 4.234410285949707, 10.030021667480469, 9.06489086151123, 8.451321601867676, 4.169460296630859, -0.0]
Carlos had not ever cooked . <eos>	[4.989198684692383, 5.521040916442871, 5.151365280151367, 5.360212326049805, 4.008609294891357, 3.724123477935791, 2.7285017267786316e-07]	[10.558174133300781, 4.547446250915527, 4.470409393310547, 9.126477241516113, 11.836286544799805, 4.294991493225098, -0.0]
Carlos had probably ever cooked . <eos>	[4.988078594207764, 5.520076274871826, 5.153905868530273, 5.245940208435059, 3.748194694519043, 3.7168006896972656, 2.7189011575501354e-07]	[10.547502517700195, 4.543239593505859, 8.773578643798828, 9.9920654296875, 11.44970703125, 5.70689582824707, -0.0]
Patrick had not ever lifted some shoes . <eos>	[4.989209175109863, 6.264293670654297, 5.169716835021973, 4.957682132720947, 3.8506038188934326, 3.585423469543457, 2.513601303100586, 3.6545698642730713, 2.7890928322449327e-07]	[9.428888320922852, 4.878176689147949, 4.740243911743164, 8.421889305114746, 10.259788513183594, 6.21762752532959, 10.651147842407227, 3.084591865539551, -0.0]
Patrick had fortunately ever lifted some shoes . <eos>	[4.989216327667236, 6.265004634857178, 5.17057466506958, 4.763832092285156, 3.8001813888549805, 3.71067476272583, 2.7393760681152344, 3.711836099624634, 2.777127576791827e-07]	[9.42512035369873, 4.879263877868652, 12.43566608428955, 9.321639060974121, 9.718149185180664, 5.871005058288574, 10.395188331604004, 3.3665685653686523, -0.0]
Michael can not ever spin around . <eos>	[4.990331172943115, 6.145407199859619, 5.165599346160889, 5.086697101593018, 4.979227542877197, 3.9946448802948, 4.392062187194824, 2.886425818360294e-07]	[8.043193817138672, 8.176170349121094, 4.565235137939453, 8.965730667114258, 10.656721115112305, 4.516548156738281, 2.8454885482788086, -0.0]
Michael can fortunately ever spin around . <eos>	[4.99046516418457, 6.143664360046387, 5.164572715759277, 5.538118362426758, 4.956197738647461, 3.954657554626465, 4.09841251373291, 2.89679832121692e-07]	[8.044498443603516, 8.17281723022461, 13.88305950164795, 9.789645195007324, 9.949023246765137, 4.143415451049805, 2.6402273178100586, -0.0]
