William has declared there to be no guests getting fired . <eos>	[5.545644283294678, 6.133668899536133, 4.964780330657959, 3.8451156616210938, 2.2551183700561523, 0.622772753238678, 3.234133243560791, 6.58621072769165, 3.49843692779541, 5.404870986938477, 2.893561601638794, 2.80495953575155e-07]	[7.7842206954956055, 9.074834823608398, 7.225194931030273, 6.356386184692383, 4.827924728393555, 0.08664894104003906, 1.9667434692382812, 10.379528045654297, 9.781375885009766, 6.883143424987793, 1.2284774780273438, -0.0]
William has obliged there to be no guests getting fired . <eos>	[4.9885382652282715, 6.40439510345459, 5.059576511383057, 4.666211128234863, 1.3505613803863525, 5.488264560699463, 5.498932838439941, 5.670886039733887, 3.277270793914795, 5.407925605773926, 3.0207629203796387, 2.8129460361014935e-07]	[7.404213905334473, 6.271144866943359, 12.157552719116211, 8.13564682006836, 0.2482585906982422, 2.5800304412841797, 3.875049591064453, 6.317596435546875, 10.106931686401367, 7.086864471435547, 1.7681045532226562, -0.0]
Richard believed there to be many boxes stunning Ellen . <eos>	[4.9896955490112305, 6.328496932983398, 1.9815713167190552, 1.5548131465911865, 0.5379073619842529, 3.321904420852661, 6.789836883544922, 2.2573962211608887, 3.2584216594696045, 4.835063457489014, 2.648964709806023e-07]	[8.012731552124023, 8.194380760192871, 5.007898330688477, 6.746788024902344, 0.06627655029296875, 5.729029655456543, 10.228425979614258, 17.470623016357422, 13.606144905090332, 2.7629213333129883, -0.0]
Richard sways there to be many boxes stunning Ellen . <eos>	[4.9882001876831055, 6.3289899826049805, 4.638542175292969, 3.3914742469787598, 5.629920482635498, 4.44830322265625, 5.877099990844727, 2.3504016399383545, 3.0156784057617188, 4.94798469543457, 2.6524816121309414e-07]	[8.01270580291748, 1.9143877029418945, 11.059630393981934, 5.025354385375977, 1.8200712203979492, 5.950640678405762, 10.171075820922852, 16.75652503967285, 13.36829948425293, 2.437532424926758, -0.0]
Teresa finds there to be many bananas stunning Claire . <eos>	[4.989721775054932, 5.410257339477539, 3.9421582221984863, 4.147124290466309, 2.788045883178711, 3.729968309402466, 6.580240249633789, 2.6831979751586914, 2.7195234298706055, 4.240612506866455, 2.954884052996931e-07]	[11.835281372070312, 5.866002082824707, 8.590492248535156, 3.1512575149536133, 0.4930992126464844, 7.411154747009277, 10.922203063964844, 16.2170467376709, 10.393318176269531, 3.232625961303711, -0.0]
Teresa swayed there to be many bananas stunning Claire . <eos>	[4.990344047546387, 5.410811424255371, 5.636508941650391, 3.4623894691467285, 5.998174667358398, 6.046411037445068, 6.304667949676514, 2.657729148864746, 2.925100803375244, 4.268523216247559, 2.728170045429579e-07]	[11.827807426452637, 13.757171630859375, 8.090991973876953, 1.7717437744140625, 4.5576677322387695, 8.290420532226562, 12.155056953430176, 17.305355072021484, 12.266489028930664, 2.16949462890625, -0.0]
Mary can declare there to be some ladders falling . <eos>	[4.9873857498168945, 6.0532121658325195, 4.646063804626465, 4.153106212615967, 3.062408924102783, 1.7190744876861572, 4.317255973815918, 6.432735443115234, 3.427584409713745, 3.6144328117370605, 2.8005194963043323e-07]	[8.605020523071289, 7.3890228271484375, 8.177261352539062, 8.105975151062012, 2.72454833984375, 0.27407264709472656, 4.793859481811523, 13.995548248291016, 9.726056098937988, 4.3920745849609375, -0.0]
Mary can entreat there to be some ladders falling . <eos>	[4.988828659057617, 6.052557945251465, 4.648456573486328, 5.133590221405029, 3.8680057525634766, 5.851729393005371, 5.341901779174805, 5.1356201171875, 3.427109718322754, 3.693331718444824, 2.7887375608770526e-07]	[8.606425285339355, 7.386547565460205, 4.838891983032227, 8.307180404663086, 3.301823616027832, 2.944399833679199, 5.837596893310547, 13.231917381286621, 9.643221855163574, 3.7655467987060547, -0.0]
An actress would n't declare there to be a print looking like that ice . <eos>	[4.988865852355957, 6.437875747680664, 4.372520923614502, 4.699697971343994, 4.231773376464844, 3.6993370056152344, 3.4788260459899902, 1.8002656698226929, 2.993168830871582, 6.55000114440918, 4.526601791381836, 2.5064358711242676, 3.0366413593292236, 4.421030521392822, 4.495781421661377, 2.7226181487094436e-07]	[5.635444641113281, 8.013294219970703, 5.324857711791992, 5.844463348388672, 9.745430946350098, 7.741921424865723, 2.971487045288086, 0.28008079528808594, 0.6725645065307617, 9.281106948852539, 12.109283447265625, 4.019050598144531, 4.142701148986816, 13.586631774902344, 2.3835630416870117, -0.0]
An actress would n't command there to be a print looking like that ice . <eos>	[4.986238956451416, 6.439414024353027, 4.372236251831055, 4.700550079345703, 4.233199119567871, 3.962614059448242, 3.1765058040618896, 5.358473777770996, 3.887558937072754, 6.504103183746338, 4.886649131774902, 2.761160373687744, 3.314049243927002, 3.962428092956543, 4.338953018188477, 2.6927989438263467e-07]	[5.634306907653809, 8.017650604248047, 5.321139335632324, 5.84461784362793, 10.065043449401855, 6.934595108032227, 4.090267181396484, 2.475830078125, 0.8565616607666016, 10.74715805053711, 11.9473876953125, 4.584953308105469, 4.490422248840332, 13.551438331604004, 2.1470794677734375, -0.0]
