Mark figured out that most governments appreciate Steve . <eos>	[5.545644760131836, 5.4361772537231445, 4.11683988571167, 4.251634120941162, 4.271294593811035, 2.605541706085205, 4.8109331130981445, 4.164252281188965, 3.7720961570739746, 2.7071169483861013e-07]	[8.92378044128418, 14.633735656738281, 2.970444679260254, 2.7638845443725586, 6.4289631843566895, 10.443825721740723, 10.393842697143555, 10.14417552947998, 4.173880577087402, -0.0]
Mark figured out who most governments appreciate Steve . <eos>	[5.545644760131836, 5.4361772537231445, 4.11683988571167, 4.251634120941162, 5.288768768310547, 5.0287628173828125, 5.148716449737549, 4.0430426597595215, 5.114970684051514, 2.7312333372719877e-07]	[8.92378044128418, 14.633735656738281, 2.970444679260254, 5.135550498962402, 7.895083427429199, 13.432287216186523, 9.670013427734375, 9.595136642456055, 2.920785903930664, -0.0]
Danielle finds out that many organizations have alarmed Chad . <eos>	[5.545644760131836, 4.502504825592041, 4.193147659301758, 3.1350390911102295, 4.611514091491699, 3.622248888015747, 3.94930362701416, 5.514188766479492, 4.008999347686768, 3.071333408355713, 2.736578608164564e-07]	[12.0977783203125, 8.48458480834961, 1.8905448913574219, 0.95465087890625, 6.657902717590332, 9.324481010437012, 1.0887117385864258, 12.525510787963867, 12.150229454040527, 1.3625907897949219, -0.0]
Danielle finds out who many organizations have alarmed Chad . <eos>	[5.545644760131836, 4.502504825592041, 4.193147659301758, 3.1350390911102295, 5.0780792236328125, 4.606046676635742, 4.24062967300415, 4.979307174682617, 3.138633966445923, 3.108530044555664, 2.759819039965805e-07]	[12.0977783203125, 8.48458480834961, 1.8905448913574219, 4.558643341064453, 8.475203514099121, 9.902414321899414, 1.2628450393676758, 13.283737182617188, 15.09119987487793, 1.3146553039550781, -0.0]
Veronica investigated that students might remember Julie . <eos>	[5.545644760131836, 4.712268829345703, 4.094598293304443, 5.414710998535156, 4.699804782867432, 4.509605884552002, 4.967479705810547, 4.328357219696045, 2.7396220048103714e-07]	[11.826702117919922, 14.700393676757812, 4.470396995544434, 8.498538970947266, 4.989920616149902, 7.246262550354004, 10.578885078430176, 2.2182464599609375, -0.0]
Veronica investigated who students might remember Julie . <eos>	[5.545644760131836, 4.712268829345703, 4.094598293304443, 5.3355712890625, 5.23433780670166, 4.418896675109863, 4.312521457672119, 4.177910804748535, 2.7309431516187033e-07]	[11.826702117919922, 14.700393676757812, 6.228793144226074, 11.643268585205078, 5.454938888549805, 5.646038055419922, 10.977635383605957, 1.5065603256225586, -0.0]
The Impressionists learn that some stories ca n't sound like Carl . <eos>	[5.545644760131836, 7.150014877319336, 3.42475962638855, 3.0884532928466797, 4.638620376586914, 4.941385269165039, 4.310189247131348, 0.13548493385314941, 3.513327121734619, 4.450747966766357, 4.617884635925293, 4.52967643737793, 2.8035111654389766e-07]	[5.106276512145996, 12.385988235473633, 12.406343460083008, 1.9247522354125977, 5.234743118286133, 7.6888322830200195, 9.536789894104004, 0.022958755493164062, 8.641979217529297, 1.273040771484375, 10.647714614868164, 3.7820053100585938, -0.0]
The Impressionists learn who some stories ca n't sound like Carl . <eos>	[5.545644760131836, 7.150014877319336, 3.42475962638855, 3.0884532928466797, 5.293247222900391, 4.710475921630859, 4.578617095947266, 0.1656966507434845, 5.029238224029541, 3.9245097637176514, 4.8481125831604, 4.678328514099121, 2.8065977630831185e-07]	[5.106276512145996, 12.385988235473633, 12.406343460083008, 7.433399200439453, 7.581951141357422, 7.594352722167969, 8.703832626342773, 0.03388786315917969, 7.7158966064453125, 1.555893898010254, 9.720759391784668, 3.535470962524414, -0.0]
The waiters learn that most guests would n't have every hospital . <eos>	[5.545644760131836, 7.150014877319336, 6.256845474243164, 2.9551808834075928, 4.64881706237793, 2.9292023181915283, 4.943178176879883, 4.741741180419922, 4.852239608764648, 4.575571060180664, 6.542027473449707, 5.320764541625977, 3.0615734658567817e-07]	[5.106276512145996, 1.6874046325683594, 11.553319931030273, 1.1851081848144531, 6.789799213409424, 9.527078628540039, 4.624856948852539, 5.320160865783691, 2.2932748794555664, 8.699546813964844, 8.491619110107422, 3.332146644592285, -0.0]
The waiters learn what most guests would n't have every hospital . <eos>	[5.545644760131836, 7.150014877319336, 6.256845474243164, 2.9551808834075928, 4.373904228210449, 4.7998366355896, 4.484897136688232, 4.911177635192871, 4.654149055480957, 3.339494466781616, 3.5716543197631836, 4.806482791900635, 2.890294581447961e-07]	[5.106276512145996, 1.6874046325683594, 11.553319931030273, 4.873112678527832, 7.223689079284668, 8.998945236206055, 3.677654266357422, 7.07188606262207, 3.075593948364258, 9.126596450805664, 10.904182434082031, 2.091249465942383, -0.0]
